{'短评内容': '吵', '短评打分': 3}
{'短评内容': '人住后立马退房！', '短评打分': 2}
{'短评内容': '打京东白条订的 没入住酒店 没得退款', '短评打分': 1}
{'短评内容': '酒店环境一般，没有热水，水压低，房间相对陈旧，有股味，毛巾很久还给客户使用，感觉不值这个价格，停车方便！', '短评打分': 2}
{'短评内容': '没有提供早餐，不能加床适合带小孩，位置中心，有足够停车位。', '短评打分': 5}
{'短评内容': '酒店服务很好，房间还算大的了，卫生很干净，服务也周到', '短评打分': 5}
{'短评内容': '环境还不错，价格优惠', '短评打分': 5}
{'短评内容': '还不错，服务也可以', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '网络不好', '短评打分': 4}
{'短评内容': '入住时间快', '短评打分': 5}
{'短评内容': '环境还可以，交通方便，有停车场，', '短评打分': 4}
{'短评内容': '很不错。多好次了，多的不说了', '短评打分': 5}
{'短评内容': '很一般！', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '总体感觉还算过得去！地方比较小，选择没那么多！', '短评打分': 3}
{'短评内容': '还可以，比较方便', '短评打分': 5}
