{'短评内容': '干净，就是隔音差', '短评打分': 5}
{'短评内容': '性价比较高', '短评打分': 4}
{'短评内容': '电梯上写有的一些东西没有，如台球，自助洗衣，咖啡...', '短评打分': 4}
{'短评内容': '周围环境很好，清一色的早餐管饱肚子是最重要的。整体有待改善，还会再去的！', '短评打分': 3}
{'短评内容': '环境非常不错，春节打算带父母来住两天，放松一下', '短评打分': 5}
{'短评内容': '房间很好，服务也很到位，服务员很耐心', '短评打分': 5}
{'短评内容': '不错,就是酒店地点有点偏,周围没有超市等,晚上没地方可以逛.不过酒店温泉还是可以的.有宝贝的可以带来玩玩.', '短评打分': 4}
{'短评内容': '地点有点偏,不过温泉还是可以的,宝贝们玩的很高兴,游泳池有儿童区域,有宝贝的可以来玩下.整体还是挺好的.', '短评打分': 4}
{'短评内容': '只有一间别墅 整个十一的行程在预订的时候出了很多次岔子 包括这里确认了又说没房入住以后叫放水 打了两次电话才来人 麻将机出了问题无法使用 打了三次电话且亲自去到前台才解决晚上池子里已经落满了虫子 再想泡不给放水了 理由是过了十点半水闸关了离店总之并不满意 以后不会再去', '短评打分': 5}
{'短评内容': '房间设施不错的 比大床房好 干净卫生 前台接待也还不错', '短评打分': 5}
{'短评内容': '温泉挺好的！ 温泉挺好的！ 温泉挺好的！ 温泉挺好的！ 温泉挺好的！', '短评打分': 5}
{'短评内容': '房间太小 房间内心设施不全  温泉水质不好 酒店内的泳衣太贵 算不上3星酒店 下次不会选择', '短评打分': 3}
{'短评内容': '酒店温泉还行，但是房间很一般，普通招待所的感觉……', '短评打分': 3}
{'短评内容': '勉强可以，价格不贵', '短评打分': 4}
{'短评内容': '只是这次的房间噪音实在太大。不知是啥发动机的声音，实在是难忍，好在这个价位，含早餐、温泉，是不错了。温泉也挺不错的。', '短评打分': 5}
{'短评内容': '去泡温泉确实是个好地方，单存住宿就很一般了，床品旧，舒适还行吧，早餐更是一般。', '短评打分': 3}
{'短评内容': '地理位置偏僻，服务太差，普通单间要240，毛巾、浴巾破损，管理也不行，没有给蚊香器，还偏说给了，进去吃了几个小菜要81，还说超过15分钟，就要付洗澡钱，幸亏我据理力争，没有付冤枉钱，总之一句话----太差了！', '短评打分': 1}
{'短评内容': '经常去颐家温泉泡啊，所以这家酒店住太多次了，还是老样子，不错，就是早餐不怎么地', '短评打分': 5}
{'短评内容': '住很多次了，每次都要写吗，好麻烦啊，以后能不能把经常重复住的省略掉？', '短评打分': 5}
{'短评内容': '住过好多次了，酒店设施还行，主要是泡颐家温泉方便啊，不要出门就到了，都是去泡温泉的。建议去颐家的朋友住这里。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '硬件设施在度假村中还行，内部管理差了点，温泉跟汤山的比有点差距', '短评打分': 1}
{'短评内容': '床单枕头套不换 还很有理说是忘记了', '短评打分': 3}
{'短评内容': '太舒服的温泉了，服务超级好，而且干净，晚上泡着温泉看着天空是特别美妙的享受。强烈推荐，而且价位也不贵，我们一家人一起去的，很开心', '短评打分': 5}
{'短评内容': '温泉很棒. 房间简洁。 干净.  餐厅菜肴口味不错. 唯一一点 就是菜价有点贵. 可能是因为春节的原因.', '短评打分': 5}
{'短评内容': '酒店还不错，温泉小了点，不过人很少。', '短评打分': 3}
{'短评内容': '客房和温泉设施尚可，但客房床上用品已很旧，建议更换，餐厅品种和服务时间不行。', '短评打分': 5}
{'短评内容': '好，除了这个字没有别的.VIP的客房，室外的温泉池，都妙不可言。', '短评打分': 5}
{'短评内容': '露天温泉的环境很好，很有特色。可能是人少的原因，早上自助餐没开，只有一些简易的食物，价格不贵。', '短评打分': 5}
