{'短评内容': '周边非常热闹，吃很方便酒店条件有待提高', '短评打分': 4}
{'短评内容': '酒店没有早餐，不过周边有几家，在隔壁酒店旁的小餐馆吃了早餐热干面，居然比想象中好吃的多，小惊喜～至于这家99酒店（叫不知在携程为毛叫“地一栈”，导航到这找八圈没人知道）的适不适合带孩子神马的，大家记得人家是快捷酒店就对了，价格（市场浮动超级大，请有心理准备）和所有设施及服务成正比。看照片吧，也就这样了，你们懂的', '短评打分': 5}
{'短评内容': '淋浴房都没有，卫生很差，电视没台，拖鞋没有，牙膏挤不出来，水壶没有，台盆漏水，窗户关不起来，空调不行，还306元一晚住的，太坑人了', '短评打分': 1}
{'短评内容': '还比较满意', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '还说什么连锁酒店，酒店室内卫生环境非常差，墙角漏水发发霉，厕所是用阳台改成的，天花板有小蜘蛛和蜘蛛网，原本付了全额订了两个晚上的，住了一个晚上赶紧退房走人，宁愿浪费一个晚上的房费也不住了。', '短评打分': 1}
{'短评内容': '66666便宜。。好。。。', '短评打分': 5}
{'短评内容': '价格实惠，房间也不错', '短评打分': 3}
{'短评内容': '赞赞赞', '短评打分': 5}
{'短评内容': '特别值，房间特别好，性价比简直赞的不能更赞！可惜忘了拍照。。', '短评打分': 5}
{'短评内容': '很不错、经济又实惠、五星好评！', '短评打分': 5}
{'短评内容': '还是蛮好的', '短评打分': 5}
{'短评内容': '订的麻将双人房，比想像中的会好点，唯一的遗憾就是电视的台太少了！', '短评打分': 3}
{'短评内容': '前台MM态度好，比较干净！', '短评打分': 3}
{'短评内容': '网速很好，设备齐全，整洁干净', '短评打分': 3}
{'短评内容': '本酒店周边旅游景点，离光谷等都比较近，酒店卫生不错，推☺荐大家入住哦！', '短评打分': 3}
{'短评内容': '不错  不错，也不太贵', '短评打分': 3}
