{'短评内容': '还可以啊！', '短评打分': 5}
{'短评内容': '双人房挺好的', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '换房间了大床', '短评打分': 4}
{'短评内容': '总体不错，还有早餐', '短评打分': 4}
{'短评内容': '洗手台旧了点 其他都很好', '短评打分': 5}
{'短评内容': '還可以哦，价格有奌高', '短评打分': 3}
{'短评内容': '纱窗没有有蚊子纱窗没有有蚊子纱窗没有有蚊子纱窗没有有蚊子纱窗没有有蚊子纱窗没有有蚊子纱窗没有有蚊子纱窗没有有蚊子', '短评打分': 5}
{'短评内容': '希望下次来有纱窗了。希望下次来有纱窗了。希望下次来有纱窗了。希望下次来有纱窗了。希望下次来有纱窗了。', '短评打分': 5}
{'短评内容': '拜托装个纱窗好吗？好多蚊子啊～拜托装个纱窗好吗？好多蚊子啊～拜托装个纱窗好吗？好多蚊子啊～拜托装个纱窗好吗？好多蚊子啊～', '短评打分': 5}
{'短评内容': '装修后设施好点了，早餐还是差。', '短评打分': 3}
{'短评内容': '边上药店吃的很多很方便', '短评打分': 5}
{'短评内容': '很方便', '短评打分': 5}
{'短评内容': '交通便利，干净整洁，休闲舒适。', '短评打分': 4}
{'短评内容': '都是一般，且价高。', '短评打分': 3}
{'短评内容': '酒店位置很好，周边交通、吃喝都很方便，房间设备显旧，但是还比较干净，最棒的是每个房间都有单独的WIFI！速度很快！总之在温州出差、游玩、办事住是比较值得的。', '短评打分': 4}
{'短评内容': '环境还行，交通比较便利，沃尔玛，各路车站都在附近~~', '短评打分': 5}
{'短评内容': '环境不错设施也很好。服务态度也不错。就是空调有点小不给力。跟换风机一样的', '短评打分': 5}
{'短评内容': '房间小，其他的还行，位置很好，周围有很多吃的。', '短评打分': 3}
{'短评内容': '挺好的商务酒店，服务态度也不错。就是门面有点小。', '短评打分': 5}
{'短评内容': '还不错，细节比较到位，推荐', '短评打分': 3}
{'短评内容': '下次去温州还会入住，对面有吃饭的地方，特价房小了点', '短评打分': 5}
{'短评内容': '位置很好，在市区中心，性价比高，已经入住过两次，以后就选这家了', '短评打分': 5}
{'短评内容': '在温州地区来说性价比还是比较高的，不过没早餐或早餐不咋的', '短评打分': 5}
{'短评内容': '床很舒服，隔音也還好，睡了一個好覺。不過藝龍是無早餐的費用，而他們卻在住房時附上早餐卷，最後結帳時又把早餐給算上了。怪我忘了這事，因為附近吃是很方便的事，實在不用在餐廳吃早餐。', '短评打分': 5}
