{'短评内容': '卫生条件稍差', '短评打分': 4}
{'短评内容': '价格很便宜，但厕所不太好闻，房间里熏香很重，晚上车的声音好大。', '短评打分': 3}
{'短评内容': '酒店位置不错，旁边的停车场也比较大', '短评打分': 5}
{'短评内容': '老酒店，设备陈旧破烂，屋内很重异味，卫生间玻璃门坏后无门，关键热水一点都不热，没法洗澡，最最最难受车辆的噪音太大了无法睡觉。', '短评打分': 2}
{'短评内容': '可以，还不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '真的觉得好差……卫生环境不太好，门后的防盗链条都没有，住一晚太吓人了，隔音效果也不太好，本来过去太晚了、唉', '短评打分': 3}
{'短评内容': '位置不错，环境一般', '短评打分': 5}
{'短评内容': '习惯好评。', '短评打分': 5}
{'短评内容': '房间床单上有污渍，毛巾很黑，根本不能使用。电视网络电视开启麻烦，之前没看到提示所以一直没有看电视，电话打不出去，打总机都不行，清早不知几点电话响了，迷迷糊糊接起来说的网络费用到期让交费用，然后把儿子也吵醒了就不睡觉了。酒店在马路边一晚上都很吵。做为酒店人对此经历也是无语。虽说价格便宜，但此经历确实很伤心。', '短评打分': 3}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '赞', '短评打分': 5}
{'短评内容': '很一般，照片上一看以为床就20平方米大小，结果是一个房间估计就那么大   热水要等好几分钟，也不热，就是达到水不冰凉的地步   其它的就很一般', '短评打分': 3}
