{'短评内容': '网上订的，以为很好，入住后7楼房间异味让人头疼，后来换了房间……这个价感觉不值', '短评打分': 3}
{'短评内容': '周边很繁华，很方便', '短评打分': 5}
{'短评内容': '还好吧。前台帅哥很好。', '短评打分': 5}
{'短评内容': '还算可以吧。房间有点旧了。在老城区', '短评打分': 5}
{'短评内容': '客房干净、床很舒服。房间很小。面积不大', '短评打分': 5}
{'短评内容': '位置很好，周围很清静，楼下一条街都有各式小吃', '短评打分': 5}
{'短评内容': '航展期间，价高质差', '短评打分': 3}
{'短评内容': '酒店整体还可以，位置不是太好。在老城区一条小街上，也无公交。周围是民居和小商铺。附近也无象样的餐馆。在珠海是环境较差的地方。周围卫生也不太好。似乎旅行社的人多。无车的散客不建议住。早餐与四星级宾馆相去甚远，不如不开。服务，卫生和设施都不错。电梯只有一部，房间电开关不合理。装修很新。离海边远。', '短评打分': 4}
{'短评内容': '酒店地理位置不错，周边交通配套比较全，出行便利；整体的装修、硬件配置还不错，房间挺干净的，推荐入住。', '短评打分': 5}
{'短评内容': '这家酒店挺满意的，干净，整洁', '短评打分': 5}
{'短评内容': '房间整洁，服务好床铺干干净净', '短评打分': 5}
{'短评内容': '去情侣路很近，房间干净，地毯跟墙纸好像换过新的一样，卫生好，前台妹子服务态度极好，赞，以后还是会经常去的', '短评打分': 5}
{'短评内容': '挺好的性价比高', '短评打分': 5}
{'短评内容': '性价比非常高，寝具都是新的，很干净，隔音效果很多，外面很大雨，关了窗户就听不到了。非常值得推荐。前台客服态度友善，办理入住只付房费，无押金，退房时给了房卡就可以走了，感谢酒店的信任。还会再次入住。', '短评打分': 5}
{'短评内容': '快捷酒店，无功无过。不错，不错，周边吃饭不是太方便。', '短评打分': 5}
{'短评内容': '麻雀虽小 五脏俱全', '短评打分': 5}
{'短评内容': '周边环境不错，吃饭很方便！酒店有些偏小！', '短评打分': 5}
{'短评内容': '干净，环境好，大爱哦', '短评打分': 5}
