{'短评内容': '酒店环境不错！就是内部消费有点偏高！', '短评打分': 5}
{'短评内容': '早餐还可以，有停车场', '短评打分': 5}
{'短评内容': '特别好的酒店', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '服务态度好，设施比较好，价格适中，性价比高。', '短评打分': 4}
{'短评内容': '只能说很一般，毕竟一分钱一分货，大喷雾是坏的，床单上有两个很大的补，穿一次性鞋被地毯的钉子扎了脚。', '短评打分': 5}
{'短评内容': '这个酒店还不错。', '短评打分': 4}
{'短评内容': '服务环境都好', '短评打分': 5}
{'短评内容': '好。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '这家前台服务员简直是看不起网上预定入住的，入住差不多半个小时！服务员一个劲的大眼瞪小眼的大嗓门！非常郁闷', '短评打分': 3}
{'短评内容': '不错，很喜欢，出差经常住这，推荐推荐！服务员态度太差，投诉后有好转！', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '因为在三楼唱歌，所以喝醉酒的不二之选。不过为什么一双拖鞋牙刷都要收费', '短评打分': 3}
{'短评内容': '卫生条件优，服务很一般', '短评打分': 3}
{'短评内容': '一般般，不过还算很便宜', '短评打分': 3}
{'短评内容': '酒店一般般住的还行，下次也找别的酒店住吧！', '短评打分': 3}
