{'短评内容': '110定的，怎么收了139呢', '短评打分': 4}
{'短评内容': '挺好的，下回还回选择那', '短评打分': 5}
{'短评内容': '挺好，价位还好吧', '短评打分': 5}
{'短评内容': '环境还不错，总体来说全是一次比较愉快的体验', '短评打分': 5}
{'短评内容': '卫生差', '短评打分': 1}
{'短评内容': '很好的酒店，虽然不豪华，但地理位置和服务都好！', '短评打分': 5}
{'短评内容': '酒店非常不错，住着舒服，服务也不错', '短评打分': 5}
{'短评内容': '酒店非常不错，住着舒服，服务也不错', '短评打分': 5}
{'短评内容': '还不错还不错', '短评打分': 5}
{'短评内容': '服务态度非常好，性价比超高，以后还会选择这个酒店，支持一下，出门还得选携程，方便快捷，还能省RMB.哈哈～', '短评打分': 5}
{'短评内容': '3인실이 있어서 좋았고, 위치도 좋고 방도 깨끗하고 깔끔했습니다. 특히 방이 넓어서 좋았습니다.', '短评打分': 4}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '酒店地点非常方便，服务态度也不错，性价比高', '短评打分': 5}
{'短评内容': '房间大', '短评打分': 3}
{'短评内容': '我是早上8.45分去前台结账，服务态度极差，我欠你钱啊！穿个貂皮就和我态度不好啊！房间特别冷。这是最后一次住这个店还开不出发票。得到其他的店去开，真是郁闷啊！', '短评打分': 1}
{'短评内容': '就是有点冷，空调不好用，可否温度再高点', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '酒店真不错。双人间的两张床，很大。每张床睡两个中等身材的人都没问题。卫生间是全透明玻璃的，开始还想太不方便了，后来发现，可以边如厕边看电视。因为是提前预定的，所以超便宜。建议大家如果准备7、8月份的旅游旺季去，一定要提前预定。房价差有大概一倍。', '短评打分': 5}
{'短评内容': '7月31日入住的，帮朋友定的。事后朋友说是非常不错的一家酒店，再有需要还来。', '短评打分': 5}
{'短评内容': '七月二十四日至二十七日入住金洲爱丹路店感觉很好,服务员态度热情,环境卫生条件好,安全便利,早餐丰富可口,总之非常满意下次还要住这家店。', '短评打分': 3}
{'短评内容': '酒店前台服务不人性化，必须要12点退房，早餐质量差，房间厕纸如同路边小摊，对身体不好。下次不会考虑入住。', '短评打分': 3}
{'短评内容': '条件很好，服务到位，', '短评打分': 3}
{'短评内容': '大堂不怎么好，是在三楼，房间刚装修好，环境不错。', '短评打分': 3}
{'短评内容': '不错，挺好的，环境装修都不错，热水也很快，房间也挺宽敞，网速也不错就是隔音效果差一点点···', '短评打分': 5}
{'短评内容': '酒店服务很好，设施不错，很好。', '短评打分': 3}
{'短评内容': '停车难啊。。。', '短评打分': 3}
{'短评内容': '订的尊雅大床房，房间宽敞，很干净，床睡起来也舒服。地理位置离市中心不远。美中不足就是电视频道少。', '短评打分': 3}
{'短评内容': '交通便利，不偏僻，环境不错，很干净，服务态度很好，有需要会及时解决', '短评打分': 5}
{'短评内容': '非常值得推荐的一个酒店，酒店装修环境比较大气高档，个人比较喜欢洗澡的时候超大出水量，这个顶喷大花洒很难得（超赞），带笔记本上网那是没话说了 速度快的惊人！！！\n房间很大很宽敞，卫生很干净，服务员的态度很好。希望商家再接再励！下次出差还会来。', '短评打分': 5}
{'短评内容': '一起订了两个房间，酒店很不错，房间很大宽敞，卫生干净，住着放心。在延吉也算是品牌酒店了，出门在外还是选品牌，住的放心，睡的安心....\n推荐入住！！！！！！！！！！', '短评打分': 5}
{'短评内容': '第一次到延吉，是在网上看到评论订的酒店，非常开心的一次出行！！！\n酒店装修独特，房间风格比较新颖，住着舒服，关键是工作人员的服务很满意，心情不错.！酒店不错！推荐！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '床是真的挺舒服。。新装修的缘故，室内还是有气味，灰尘也比较大，浴室墙面我冲了一下居然冲下来满地的石灰粉。。座便器的一次性垫子是要收费的，在此提醒其他游客。。总体五颗星给四星吧', '短评打分': 5}
{'短评内容': '这家酒店的整体装修很有档次，网速那真是快的惊人。房间很宽敝。服务非常好！床特别大！睡得很舒服！非常值得推荐！！！！！', '短评打分': 3}
{'短评内容': '  有点冷空调不可以开，其他的都挺好。。。', '短评打分': 3}
{'短评内容': '每次到延吉出差都到金洲假日酒店，这家新店第一次来感觉很不错，装修很有品味，在三线城市很难得。房间空间够大，大床很舒服，网速超快（绝对给力），前台服务很热情，态度很好。下次出差还会再来，值得推荐！！！', '短评打分': 5}
{'短评内容': '刚入住，酒店房间不错，只是洗浴间稍微有点小，还有没有地巾和衣架，望店家能完善下。推荐朋友入住。', '短评打分': 5}
{'短评内容': '定的梦幻大床房，感觉不错，挺温馨的，床够大，房间很干净，设施也比较新，网速超快，地理位置离市中心很近，前台服务员和客房服务员的服务态度很好~唯一不足就是房间没有窗户，好像是我定的这类房没有窗户，因为比较便宜，总的来说还是很满意的。下回还会来，还是住有窗户的吧，比较舒心，不然会很压抑。', '短评打分': 5}
{'短评内容': '房间很小，很冷，隔音极差。唯一好的就是位置比较方便和服务人员不错。', '短评打分': 1}
{'短评内容': '环境条件都不错~床也很舒服！就是没有CCTV5', '短评打分': 5}
{'短评内容': '环境不错。很干净。。。。床很大也很舒服。。内饰装修的较豪华。。品位不错！', '短评打分': 5}
