{'descr': '不错不错不错不错不错不错不错不错不错不错不错不错', 'star': 5}
{'descr': '还算不错～老板人也很好', 'star': 5}
{'descr': '支付不能刷信用卡，周边都是公寓，靠着中科院，设施有些陈旧，但服务态度很好，周边有超市和地铁站，在附近算是价格比较便宜点', 'star': 4}
{'descr': '无早餐 服务好', 'star': 5}
{'descr': '交通便利，距知春路地铁站很近，设施齐全，适合家庭入住', 'star': 5}
{'descr': '位置还算处在中心', 'star': 5}
{'descr': '不错 挺好的', 'star': 5}
{'descr': '老板的发型真的不错！', 'star': 4}
{'descr': '很好，很好，很好，很好。', 'star': 4}
{'descr': '去附近的地方出差，实在没合适的地方，随便定了一个，一般吧。主要就是离要去的地方近点，其他还真说不上什么好不好的。', 'star': 4}
{'descr': '一般吧', 'star': 4}
{'descr': '很不舒服的一次经历，出差最好不要选择这样的酒店，优点是楼下打车方便，出租车聚集，设施很旧，床单有洞，房间有蚊子，只有老式除虫菊蚊香，味道很大，卫生纸是我见过的质量最差的那种，无线还行，电视不清楚', 'star': 4}
{'descr': '还不错，性价比较高，比较适合商务出差。', 'star': 4}
{'descr': '不错的一家公寓式酒店，交通很便利，离知春路地铁站特别近，就是没有免费停车，住了10多天停车费有点微贵。', 'star': 5}
{'descr': '第二次住了，挺不错的', 'star': 5}
{'descr': '酒店位置非常好，离地铁13号线知春路站很近房间里很干净.', 'star': 3}
{'descr': '还可以 关键是离目的地很近，可是蚊子很多，夜里没睡好', 'star': 4}
{'descr': '房间面积挺大的，晚上热水不够热。酒店地点在知春路A口出来，向着腾讯视频的方向，走到快到腾讯视频的时候转弯，还算是挺好找', 'star': 3}
{'descr': '酒店式公寓就是服务人员太不专业\n退房时木有半个小时真的很难走出去哎', 'star': 1}
{'descr': '酒店式公寓就是服务人员太不专业\n退房时木有半个小时真的很难走出去哎', 'star': 1}
{'descr': '一般般了,没以前同等价位的条件好,就是比较宽敞.卫生中下', 'star': 3}
{'descr': '一般般了,没以前同等价位的条件好,就是比较宽敞.卫生中下', 'star': 3}
{'descr': '环境还不错，就是公寓标志不明显害的我好找', 'star': 3}
{'descr': '环境还不错，就是公寓标志不明显害的我好找', 'star': 3}
{'descr': '价钱有点贵，房间有味，卫生间不好。位置不错，离地铁站较近', 'star': 5}
{'descr': '价钱有点贵，房间有味，卫生间不好。位置不错，离地铁站较近', 'star': 5}
{'descr': '公寓不是正规的酒店，是私人拥用的房子拿来出租的，房间还挺大的，有洗衣机，炉灶，只适合长期出差的，最好自已准备洗漱用品，床单及毛巾担心他们洗不干净。', 'star': 5}
{'descr': '公寓不是正规的酒店，是私人拥用的房子拿来出租的，房间还挺大的，有洗衣机，炉灶，只适合长期出差的，最好自已准备洗漱用品，床单及毛巾担心他们洗不干净。', 'star': 5}
{'descr': '房间舒适度是很高的，而且房间也很不错，整洁干净，住着方便出行.所以整体来讲还不错.', 'star': 5}
{'descr': '房间舒适度是很高的，而且房间也很不错，整洁干净，住着方便出行.所以整体来讲还不错.', 'star': 5}
{'descr': '酒店周边逛街购物的地方还是挺多的，而且大型超市也比较方便过去，房间宽敞明亮，性价比高住着舒适就好.', 'star': 5}
{'descr': '酒店周边逛街购物的地方还是挺多的，而且大型超市也比较方便过去，房间宽敞明亮，性价比高住着舒适就好.', 'star': 5}
{'descr': '地段好，距离地铁站是比较近也行很方便，而且客房条件也不错，舒适度还是蛮高的.', 'star': 5}
{'descr': '地段好，距离地铁站是比较近也行很方便，而且客房条件也不错，舒适度还是蛮高的.', 'star': 5}
