{'短评内容': '房间有点旧', '短评打分': 4}
{'短评内容': '硬件设施还可以，干净整洁。价格比较实惠，性价比高。酒店地理位置好.有点吵，不过方便中转.早班飞机人很少，班车有点旧，开车几分钟就到了。', '短评打分': 5}
{'短评内容': '服务热情，接送机场服务好，房间比较宽敞，一楼就餐方便，是乘机旅客的理想选择。', '短评打分': 4}
{'短评内容': '总体来说性价比很高', '短评打分': 4}
{'短评内容': '当天飞机因天气原因取消了，不得已住进豪雅。房间还算干净，周边环境很一般，飞机的噪音太响，一整晚都没睡着。', '短评打分': 3}
{'短评内容': '还不粗的', '短评打分': 5}
{'短评内容': '酒店不错，服务周到，离机场近', '短评打分': 5}
{'短评内容': '没什么好说的，离机场近而已。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '代人预订，不知道', '短评打分': 5}
{'短评内容': '酒店很干净，有接机服务很方便...早餐也不错，离开机场很近，方便第二天转机.前台服务也很到位，早上还给叫个醒。', '短评打分': 4}
{'短评内容': '酒店设施一般，还有一个分店，预定时不要订错了，有一个离机场很远', '短评打分': 4}
{'短评内容': '机场坐飞机比较好比较近，酒店提供免费借送机，环境也不错', '短评打分': 5}
{'短评内容': '酒店大巴送机服务和叫醒服务不错，床品也不错，睡着很舒服，在机场附近一点都不吵，就是附近没有什么吃饭和买东西的地方，卫生间的设施有些陈旧，我是出差定的四间房，临时改变成三间，因为到店比较晚想把一间改为第二天续住酒店就是不同意，又浪费了一间房间的288元，这点有点处理的不灵活', '短评打分': 3}
{'短评内容': '酒店大巴送机服务和叫醒服务不错，床品也不错，睡着很舒服，在机场附近一点都不吵，就是附近没有什么吃饭和买东西的地方，卫生间的设施有些陈旧', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '位置离机场很近，下机休息很方便，服务态度不错，很准时的提醒赶飞机时间。', '短评打分': 4}
{'短评内容': '这应该是我住过最差的宾馆之一了！300多的宾馆跟住100块的没啥区别！床垫弹簧突出！床单上面一片黄！后来叫人来又给铺上一个床单才敢睡！最可气的那么冷的天！没暖气！也没取暖器！冷死我了！洗个澡出来只发抖！要不是附近没啥酒店有空房可以搬，都想不要这钱搬其他酒店去了', '短评打分': 2}
{'短评内容': '房间还算干净，就是有点味道。', '短评打分': 3}
{'短评内容': '不是酒店有车去接，根本找不到。环境一般，400多感觉不值。', '短评打分': 1}
{'短评内容': '帮同事预定的！有接机服务！据说很一般！机场附近的酒店除了朗豪和希尔顿之外都差不多的！', '短评打分': 5}
{'短评内容': '还不错。。。地理位置很好。~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '给国外客人预订的，客人还比较满意。客人是晚上9.00多到的，酒店有专人负责帮忙接机，然后负责给客人拿行李。比较不错。', '短评打分': 5}
{'短评内容': '酒店距离机场比较近，而且酒店有专门到机场接送的车子，比较方便。还不错哦', '短评打分': 5}
{'短评内容': '服务不错。虽然离机场很近，但是没有听见飞机起降的声音，休息还好！接送服务很方便。', '短评打分': 5}
