{'短评内容': '有点偏僻房间有点小', '短评打分': 3}
{'短评内容': '环境不错，挺好的，价格也可以，完全能接受', '短评打分': 5}
{'短评内容': '环境好，干净，舒适，价格不贵，值得推荐', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '隔音真心不好    早上被整个走廊的聊天声吵醒的', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '条件还行', '短评打分': 5}
{'短评内容': '定的138大床  无窗。房间面积够大 ，电视WiFi. 都有，一次性拖鞋收费 。房间在地下室，潮湿，穿的白衬衫放一晚就潮了。空调需要叫服务员打开和关闭，房间内没有独立开关。除了蚊子，有蝇虫。', '短评打分': 5}
{'短评内容': '不错，挺方便的', '短评打分': 5}
{'短评内容': '地点位置不错,服务态度很好,适合出差商务', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '别提了 大东北零下十几度 现在房间没有暖气 有空调不给使用 服务态度全是 差评  退房还要提前24小时通知 酒店不然会多扣一天费用 是的 已经扣了。但是携程网会补给我 就算是这样 心里也不爽啊。算了 太多了 希望大家也不要去体验了', '短评打分': 1}
{'短评内容': '别提了 大东北零下十几度 现在房间没有暖气 有空调不给使用 服务态度全是 差评  退房还要提前24小时通知 酒店不然会多扣一天费用 是的 已经扣了。但是携程网会补给我 就算是这样 心里也不爽啊。算了 太多了 希望大家也不要去体验了', '短评打分': 1}
{'短评内容': '竟然是地下…', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
