{'短评内容': '感觉很不错', '短评打分': 5}
{'短评内容': '酒店不错、干净卫生、整洁；酒店前台服务非常好、酒店设备差、空调漏水、厕所吓人！酒店隔音效果好、安静！', '短评打分': 5}
{'短评内容': '装修很旧', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '周围环境不错，配套设施也好，就是被子、枕头给人感觉太粗糙，扎肉，床垫太硬，除了睡觉不舒服，其他的都不错。', '短评打分': 4}
{'短评内容': '总体还可以吧 ', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '很好很满意', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 4}
{'短评内容': '酒店位置绝佳，对做家具的人来说是最方便的地方，现在发现了一个问题，携程网上的价格比酒店前台贵了很多，真的太失望了，有点被宰了的感觉，我用携程网订酒店这么多年了，想想都觉得亏大了', '短评打分': 4}
{'短评内容': '可以性价比比较高  送入住酒店', '短评打分': 3}
{'短评内容': '太贵 档次和价格不相配  没拖鞋，空调不行', '短评打分': 3}
{'短评内容': '整体还不错吧，环境很好，赞一个', '短评打分': 5}
{'短评内容': '酒店不错，就是携程对用户态度没以前好，服务没以前好了～有点店大欺客的感觉', '短评打分': 5}
{'短评内容': '宽带都不能用，知道这样一定不住', '短评打分': 2}
{'短评内容': '属于经济型酒店，价格与性价比基本成正比吧！', '短评打分': 5}
{'短评内容': ' 太简陋了，房门锁是坏的，沐浴液和洗发液根本压不出来。幸好自己带的有！', '短评打分': 3}
{'短评内容': '早餐不好吃，早餐不好吃，早餐不好吃，早餐不好吃，', '短评打分': 5}
{'短评内容': '一般吧，装修比较简单，吃饭比较方便，出差住也可以了。 ', '短评打分': 5}
{'短评内容': '风格OK,太旧,早餐简单的要死,不过龙江也实在没什么酒店可以选.下次可能会选7天', '短评打分': 1}
{'短评内容': '酒店不错，但旁边配套设施一般。没什么饭店可以选择。', '短评打分': 5}
{'短评内容': '商务酒店，还不错的配置。早饭也还可以。这个地方就是没有出租，都是黑车。', '短评打分': 5}
{'短评内容': '客房内的配置设施都挺不错的，相对比较齐全一些，而且服务也好.', '短评打分': 5}
{'短评内容': '环境不错，布局也挺温馨的，住着感觉很好，主要是服务好，热情周到.', '短评打分': 5}
{'短评内容': '环境很好，位置也不错，出行方便.客房隔音不错挺安静的.', '短评打分': 5}
{'短评内容': '环境好，装修好，舒适度高，条件不错.', '短评打分': 5}
{'短评内容': '酒店的花园设计的挺漂亮，服务上也很热情周到，感觉还不错。', '短评打分': 5}
{'短评内容': '环境还不错，明亮干净，布置挺温馨，感觉很舒适。', '短评打分': 5}
{'短评内容': '服务上热情周到，房间里干净舒适，住的还挺满意的。', '短评打分': 5}
{'短评内容': '房间布置的挺有档次，美式。欧式的家具都有，打扫也很干净，住的舒适。', '短评打分': 5}
{'短评内容': '酒店比较漂亮，我住在8412，房间面对花园泳池，很漂亮。如果去龙江高明那边办事开车很方便。酒店有停车位。', '短评打分': 5}
