{'短评内容': '环境很好，设备也不错，首先房间很大，价格也很实惠，酒店也比较有档次，离市区也不远，很好的一次很好的体验.....真的很满意，下次朋友来还去这里！', '短评打分': 5}
{'短评内容': '干净卫生喜欢5分', '短评打分': 5}
{'短评内容': '晚上临街有点吵，环境不错', '短评打分': 4}
{'短评内容': '干净卫生，安静整洁，不愧是老牌宾馆，好评！！停车也方便，周围生活便利，出行方便！支持森都，以后在淮南只住森都', '短评打分': 5}
{'短评内容': '天天调价格 有时间用别的方式付不了房费 闹心', '短评打分': 1}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '好！！！！！！！！！！！！！！！！！！！！！！！！！！！！？？？？？？？？？？？？？？？？？？？？？', '短评打分': 5}
{'短评内容': '有点老的酒店，比较便宜', '短评打分': 4}
{'短评内容': '总体来说还是不错的。就是夜里靠近公路有一点吵', '短评打分': 4}
{'短评内容': '哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '设施较陈旧，服务一般', '短评打分': 3}
{'短评内容': '还可以，贵了点！！！！！！！', '短评打分': 3}
{'短评内容': '干干净净就看见奶奶家', '短评打分': 3}
{'短评内容': '总体来说还是不错的。设施虽然有点旧，但还是比较干净的，墙上有回潮的迹象。', '短评打分': 4}
{'短评内容': '酒店不新，但位置不错，服务很好', '短评打分': 5}
{'短评内容': '有点历史了，设施还算干净整洁', '短评打分': 4}
