{'短评内容': '环境，交通都还好，价格也公道', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '酒店设施陈旧，房间很小，光线很差……下次不会来住', '短评打分': 1}
{'短评内容': '性价比尚可，服务不错', '短评打分': 5}
{'短评内容': '服务不怎么样。房间小。烧水壶还是坏的。杯子的杯口也是坏的。不怕可以把嘴巴给刮了吗。', '短评打分': 3}
{'短评内容': '之前评过了噢……', '短评打分': 5}
{'短评内容': '位置挺好...室内不是很大！喝茶挺方便！适合招待客人......可惜没有体育频道.....要改进哟……', '短评打分': 5}
{'短评内容': '成都的三天都在这里住的还不错就是门口招牌没灯晚上回来有时候都看不到', '短评打分': 5}
{'短评内容': '挺不错的离宽窄巷子走路二十多分钟', '短评打分': 5}
{'短评内容': '房间很小，用品看起来有点旧', '短评打分': 3}
{'短评内容': '干净，卫生，整洁，服务好，环境好', '短评打分': 5}
{'短评内容': '这已经是我第二次入住在一家酒店了。这是一家经济型的酒店。性价比绝对高。最值得表扬的是酒店工作人员的服务态度，使得我这样的外地人有宾至如归的感觉。以后来成都，这将是我的首选酒店。', '短评打分': 5}
{'短评内容': '房间卫生间没通风口，不过床还很舒服，总体还行', '短评打分': 5}
{'短评内容': '还行，比较安静！', '短评打分': 5}
{'短评内容': '前台的袁美女服务态度非常好。我离开的时间把手机忘记在房间了，在飞机场联系小袁，她马上让服务员去找，找到了，马上告诉我，让我回去拿。非常感谢。', '短评打分': 5}
