{'短评内容': '很好', '短评打分': 5}
{'短评内容': '电梯不给力，卫生上，洗脸盆有小虫子飞，建议认真处理卫生', '短评打分': 5}
{'短评内容': '酒店条件一般，地板卫生有点差，门窗不太安全，房间隔音效果很不好，隔壁是ktv，到下半夜都能听见音响声，房间小型的，感觉有点挤，味道臭，刚住进去就有小广告卡片从门缝进来，不知道那么多好评怎么得来的。', '短评打分': 4}
{'短评内容': '不错 下次再来', '短评打分': 5}
{'短评内容': '酒店位置不错，逛街的好地方！', '短评打分': 4}
{'短评内容': '隔音超差，房间还小！', '短评打分': 5}
{'短评内容': '强', '短评打分': 5}
{'短评内容': '总的来说是不错的，但是房间隔音是真的差', '短评打分': 5}
{'短评内容': '楼上是酒吧，有点吵', '短评打分': 4}
{'短评内容': '11111111111', '短评打分': 4}
{'短评内容': '。。。。这楼太难找', '短评打分': 5}
{'短评内容': '酒店卫生还不错，值得推荐。可惜没有停车位，比较不太方便', '短评打分': 5}
{'短评内容': '房间设施很好，酒店服务也不错，前台很热情，卫生到位，就是隔音一般。', '短评打分': 5}
{'短评内容': '还好吧', '短评打分': 5}
{'短评内容': '过了很久了才来点评的，位置相当好，就在五星街里面，虽然房间有些小但是布置得也很不错，就是隔音不好，不过性价比不错', '短评打分': 5}
{'短评内容': '挺好的，就是床小了点！', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '我也没去过，也不知里面如何', '短评打分': 5}
{'短评内容': '还是不错的', '短评打分': 5}
{'短评内容': '小，挤，隔音差，其他还行', '短评打分': 3}
{'短评内容': '五星街，在市中心。交通便利。环境非常不错', '短评打分': 5}
