{'短评内容': '宾馆的环境不错，周边生活设施齐全。', '短评打分': 5}
{'短评内容': '还不错，环境好，服务好', '短评打分': 5}
{'短评内容': '每次都来南园宾馆住，房间服务都很好，有特色，超赞！', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '酒店环境很好 感谢办入住的朱佳明和吕巧巧 礼宾小伙很热情 卢一鸣很细心', '短评打分': 5}
{'短评内容': '服务好！房间好，风景好！！！', '短评打分': 5}
{'短评内容': '酒店环境好，服务人员态度好，还免费做了升级。', '短评打分': 5}
{'短评内容': '服务态度好，酒店挺大的，挺满意的', '短评打分': 5}
{'短评内容': '环境不错，服务态度很好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '服务超好～', '短评打分': 5}
{'短评内容': '酒店的免费讲解很好 满满历史感', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '订购快捷，价格优惠，不错。', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '第二次入住，环境优美，服务好。有历史', '短评打分': 5}
{'短评内容': '第一次在京东上订酒店，结果不单价格秒了某程网服务也棒棒的', '短评打分': 5}
{'短评内容': '非常喜欢的酒店，景色美丽，服务周到，早餐特别好吃', '短评打分': 5}
{'短评内容': '有特色的老五星，早餐不错，房间有点小，地毯旧了，台盆下水有问题，但服务不错。', '短评打分': 4}
{'短评内容': '有特色的老五星，服务很好，早餐也很不错，房间有点小，地毯旧了，淋浴设施可以调温很好，应该会推荐朋友去住。', '短评打分': 5}
{'短评内容': '非常愉快的旅行，入住很顺利，京东就是靠谱', '短评打分': 5}
{'短评内容': '很不错的园林式酒店，古色古香。', '短评打分': 5}
{'短评内容': '位置优越，环境不错，去苏州首选酒店，没有之一。', '短评打分': 5}
