{'短评内容': '电话是传真号码一直无人接听，打的士到店', '短评打分': 3}
{'短评内容': '地理位置合适，在车站附近，无论是去重庆还是去下面的小地方。\n价格合理。吃饭的地方附近也有，好吃的地方也不少。可以去周围转转。', '短评打分': 5}
{'短评内容': '房间倒是挺干净，就是卫生间的设施有点陈旧了，该换了，房间挺宽敞。', '短评打分': 3}
{'短评内容': '小城市，没有办法，只能住他了，下次还会去吧', '短评打分': 5}
{'短评内容': '个人感觉前台不太专业，虽是二星级的，但客房设施和卫生如能进一步加强就更好了。', '短评打分': 5}
{'短评内容': '我住的705房间，房间到是很干净、整洁。但地板已坏踩上去出现空响；而且宾馆没有专用的停车地点，客户要到外面去停车且要自己支付停车费，给客户带来了不必要的麻烦和额外费用支出。希望改进！', '短评打分': 5}
{'短评内容': '我住的房间给我的第一印象是干净，住下来感觉挺好，睡的很香！', '短评打分': 5}
{'短评内容': '宾馆的位置还可以，离高速很近，而且周边吃饭的地方也很好找到。', '短评打分': 5}
{'短评内容': '交通便利，去往高速路很方便，附近的环境也还不错，下次应该还会去住的。', '短评打分': 5}
{'短评内容': '离汽车站很近，方便我坐车，卫生打扫的也很干净，关键是价格实惠啊！', '短评打分': 5}
{'短评内容': '房间里面收拾的挺干净的，感觉很舒心，前台的服务员，态度也挺好的。', '短评打分': 5}
