{'短评内容': '房间不是很大，感觉特别紧凑！卫生什么的还是比较好的！', '短评打分': 5}
{'短评内容': '塞小卡片的人太多 背街 周边环境很安静 马桶有问题 无线信号还可以 洗澡龙头不行 勉强用吧 周边小吃很多', '短评打分': 4}
{'短评内容': '环境好，前台的姑娘很漂亮。看着都舒心，下次还去那里住', '短评打分': 5}
{'短评内容': '之前担心周边工地施工会吵，去了发现，工地房子已经封顶，在内部装修，所以晚上不会吵了。酒店离复旦大学南门近，周边餐厅多。房间大，卫生间比较干净。一楼有公共空间，书香汉庭，适合会客聊天办公。2楼早餐，这个价位来说意外的好了，餐厅干净利落。交通的话到国权路地铁站骑小黄车大概8分钟吧，个人觉得还是很方便的', '短评打分': 5}
{'短评内容': '酒店离复旦大学南门近，周边餐厅多。房间大，特别提一句，床垫很舒适，自己的老腰感觉很好，住过那么多酒店，4星5星的都有，第一次夸奖酒店的床垫！2楼早餐，这个价位来说意外的好了，餐厅干净利落。交通的话到国权路地铁站骑小黄车大概8分钟吧，个人觉得还是很方便的', '短评打分': 5}
{'短评内容': '就是快捷酒店，没啥好说的', '短评打分': 5}
{'短评内容': '价格在那，还不错，还有窗', '短评打分': 5}
{'短评内容': '上次来还好，这次来窗外就是施工工地，第二天考试，半夜就有施工的声音，一夜都没睡好', '短评打分': 4}
{'短评内容': '环境不错，特别适合考生，下楼就有小饭店，附近有超市水果店，挺方便的。步行到复旦小区大约要15分钟。', '短评打分': 5}
{'短评内容': '很好很不错，很干净。', '短评打分': 5}
{'短评内容': '为何担保金没退，能速度点不，，，', '短评打分': 5}
{'短评内容': '干净卫生。', '短评打分': 5}
{'短评内容': '还行吧，公出入住，周围交通比较方便', '短评打分': 4}
{'短评内容': '还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行还行', '短评打分': 4}
{'短评内容': '汉庭还是比较好的，安静，卫生也很不错。', '短评打分': 5}
{'短评内容': '酒店干净，卫生，价格适中，满意', '短评打分': 5}
{'短评内容': '1111111122把', '短评打分': 4}
{'短评内容': '第一次用京东订酒店，比较汗。由于酒店说通过京东定的，无法联系的上客户，晚于18:00到店的，就给我取消了，幸亏酒店没有住满。。。。', '短评打分': 4}
{'短评内容': '多次入住，总体而言和五角场只有几站路的公车，酒店和复旦大学及上海财经大学都很近，交通便利，但卫生间内地砖偏滑，如果不小心弄湿很容易滑倒。', '短评打分': 5}
{'短评内容': '十分靠近复旦，特别适合来复旦会同学或者看孩子的人士居住。', '短评打分': 5}
{'短评内容': '环境很好，安静，卫生状况还行，房间设施偏旧。', '短评打分': 5}
{'短评内容': '晚上有莫名持续噪音，好在自己习惯，可以接受', '短评打分': 3}
{'短评内容': '住了两晚，一晚是大床房，一晚是高级大床房，结果都是两张一米的床拼起来的，两张床还不一样高，床又硬，睡得难受，被子又脏。房间里除了床几乎没别的空间。墙壁很脏，有鞋印。电视机很破，很糊糊，颜色失真，图象扭曲。吹风机等了一天才借到。隔音很差，晚上是路上的车吵，早上的时候，走道上人说话的声音，声声入耳。\n', '短评打分': 1}
{'短评内容': '总体来讲房间宽度偏小，房间门隔音效果有待加强，走廊内有人讲话房内听得到。', '短评打分': 5}
{'短评内容': ' 环境还不错', '短评打分': 3}
{'短评内容': '房间设施比较成旧，而且比较小，好在离复旦考试近，还提供外卖服务，价格也实在的。', '短评打分': 5}
{'短评内容': '床很大很舒服 电视机色彩不对', '短评打分': 3}
