{'短评内容': '晚上很晚本来看到有很便宜的双床的，结果定太晚了没有了，不过还好定到了房间，大晚上服务的老板也还热情，只是床没1.8米的。总体来说还算可以。', '短评打分': 4}
{'短评内容': '我预定拿两个单间:，，，但是去的时候却告诉我没有了。', '短评打分': 2}
{'短评内容': '环境有点不敬人意，价格偏高，咨询旅游的事情好像有点不耐烦', '短评打分': 3}
{'短评内容': '设施有些简陋', '短评打分': 3}
{'短评内容': '卫生间与洗澡间太挤了，房间内设施不够', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '床垫硌得慌，房间不隔音', '短评打分': 4}
{'短评内容': '超值，就在游客中心门口，非常方便，晚上还可以去夷陵长江大桥下散步，夜景非常美。', '短评打分': 5}
{'短评内容': '这个房间非常棒，就在游客中心的门口，超级方便，服务也不错，也干净，又安静。超值。推荐推荐！！', '短评打分': 5}
{'短评内容': '还好吧', '短评打分': 4}
{'短评内容': '环境还行，就是厕所有异味，非常难闻', '短评打分': 4}
{'短评内容': '行', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '交通极为便利，服务也周到，唯一就是隔音不佳！这个价位，算很不错了！', '短评打分': 5}
