{'短评内容': '装修太久，房间太小，服务一般，楼道脏兮兮，再不会光顾。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '汉庭一直挺喜欢', '短评打分': 5}
{'短评内容': '火车站旁，位置好，携程订房较实惠，性价比高', '短评打分': 4}
{'短评内容': '相当不错', '短评打分': 5}
{'短评内容': '酒店不错的哦', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '非常非常给力', '短评打分': 5}
{'短评内容': '非常非常给力', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好，很好很好很好很好很好很好，很好很好很好很好很好很好，很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '挺好的，只是六点之前到了不让入住', '短评打分': 5}
{'短评内容': '房间有点小，射灯很暗，整体环境还可以！空间很小！', '短评打分': 0}
{'短评内容': '很满意的一次住宿，赞！', '短评打分': 5}
{'短评内容': '很方便，就在火车站旁边，非常近，去市区的公交车也很方便。当然了，周边是不行街，噪声比较大，这也是没法子的事。', '短评打分': 5}
{'短评内容': '房间小', '短评打分': 3}
{'短评内容': '离火车站近，很方便。', '短评打分': 4}
{'短评内容': '酒店环境非常好适合入住', '短评打分': 5}
{'短评内容': '位置好，很方便，就在火车站边上的步行街，就是网络太差劲', '短评打分': 5}
{'短评内容': '就在火车站边上的步行街上，非常方便，位置绝佳。双床房空间也不错，房间也很安静，唯一不满意的就是网络太差了！！！！网速也很慢，希望改进', '短评打分': 5}
{'短评内容': '非常好。', '短评打分': 5}
{'短评内容': '还可以，交通方便，餐饮方便', '短评打分': 4}
{'短评内容': '地处火车站附近、交通方便、环境一般、早餐可以、房间少空调遥控器！', '短评打分': 4}
