{'descr': '空间挺大的，服务员人也很好。', 'star': 4}
{'descr': '考试就近订的，结果隔音实在太差，晚上一点半的时候还能听到隔壁的人讲话声音，不过地方近', 'star': 4}
{'descr': '额还不错', 'star': 5}
{'descr': '有点美式田园风的房间，面积会比上海的连锁快捷大几平米。床硬一些就好了，灯不是很亮。', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '脏', 'star': 5}
{'descr': '很好??????', 'star': 5}
{'descr': '太差', 'star': 1}
{'descr': '还可以', 'star': 4}
{'descr': '周围环境很好，临靠小区，比较安静。宾馆卫生，就是光线又点暗！住了两天很不错的感觉，以后还会光顾！', 'star': 5}
{'descr': '很意外，超乎想象的好，以后来，就住这里。', 'star': 5}
{'descr': '像私人旅馆，比一般的经济型连锁酒店要差一点。', 'star': 3}
{'descr': '还行', 'star': 4}
{'descr': '一般般，住在一楼，当晚进去女朋友看见虫了，吓坏了，卫生间有臭气，淋浴花洒还是半坏不坏的，女朋友很不开心，服务不错', 'star': 3}
{'descr': '挺好的，看夜场电影就定了个离得近的酒店，环境还好，就是老板有点猥琐，问我们要不要电动床，有点醉…', 'star': 5}
{'descr': '交通方便，周围环境还不错，老板人也可以，服务好，卫生也不错', 'star': 5}
{'descr': '不错，很方便，较为舒适', 'star': 5}
