{'descr': '很好', 'star': 5}
{'descr': '还好吧，随便住住', 'star': 4}
{'descr': '对应这样的低价，服务和设施就值', 'star': 4}
{'descr': '前年来的时候很好，怎么两年后成这样了？', 'star': 2}
{'descr': '挺好的', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '很好很好很好', 'star': 5}
{'descr': '距离出差地相对最近的一个酒店，虽然还是很远，卫生不是非常满意，其他还算OK，窗户一直关不紧实在差评。', 'star': 5}
{'descr': '不好打车  离地铁站较远', 'star': 4}
{'descr': '态度热情 房间大小好评', 'star': 3}
{'descr': '第二次住，这次前台居然要我交接机费，，，明明说免费接机，开始就搞的不愉快。然后之前在楼下，房间里面都是烟头，换了一间楼上的。之前没觉得有什么异样。第二天早上起来到机场，准备吃面包才发现，我带的面包被老鼠啃了一块下去。卫生条件堪忧。', 'star': 4}
{'descr': 'good', 'star': 5}
{'descr': '服务不错', 'star': 4}
{'descr': '有接送机服务，十多分钟到机场，很方便，酒店比较干净。', 'star': 5}
{'descr': '离机场很近的酒店，有机场班车接送，比较方便。房间内配置尚可，只是不该看到那一只小强在刚进房间时候向我示威。', 'star': 5}
{'descr': '位置不好  酒店环境和服务也不好 从哪里再到别的地方去也不方便', 'star': 1}
{'descr': '不错，接送机很快，店内住宿也不错，靠市内，吃饭方便。下次还光顾', 'star': 4}
{'descr': '还可以，离机场近', 'star': 3}
{'descr': '服务不错，条件不错，隔音不好需改进', 'star': 3}
{'descr': '定位i高了   也就值100元，还特别吵', 'star': 1}
{'descr': '交通方便，环境还不错，不远就是电影学院和地铁站，出门不用愁', 'star': 5}
{'descr': '预订了128元的,去到话没有房,最终住了188元的.一晚都很吵,根本没法入睡.', 'star': 1}
{'descr': '条件很不错，还有车到机场接，非常满意', 'star': 3}
