{'短评内容': '挺不错的，房间小点，枕套竟然有窟窿，价格可以再降低一下', '短评打分': 5}
{'短评内容': '地理位置好、环境好！服务好、下次光临', '短评打分': 5}
{'短评内容': '服务更好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '特别好', '短评打分': 5}
{'短评内容': '非常差劲的体验', '短评打分': 2}
{'短评内容': '服务好，态度好，酒店干净卫生！', '短评打分': 5}
{'短评内容': '卫生条件极差，臭气熏天，太晚了，没地方去，以后再不会住这里了', '短评打分': 3}
{'短评内容': '还好了', '短评打分': 5}
{'短评内容': '为什么非得15个字 酒店一般 卫生挺差', '短评打分': 3}
{'短评内容': '房间还行，就是淋雨水好小', '短评打分': 5}
{'短评内容': '很不错，下次再来', '短评打分': 5}
{'短评内容': '还不错，值得推荐！下次还会住！', '短评打分': 3}
{'短评内容': '酒店房间很小，还商务大床房，要不是老婆说累了，肯定不会入住，进房间灯很暗，洗澡下水口不是最低处，脸盆处都是水，失望，以后不会再住，不推荐入住。', '短评打分': 2}
{'短评内容': '总体还不错', '短评打分': 4}
{'短评内容': '性价比比较高   住的人比较多 ', '短评打分': 4}
{'短评内容': '非常满意！床上用品新的，房间也新装修了，标间一大床、一小床、空间大，交通方便，出门好吃的很多！', '短评打分': 3}
{'短评内容': '很满意，酒店很干净', '短评打分': 3}
{'短评内容': '这家宾馆干净环境服务非常好 下次还会再来 谢谢 ', '短评打分': 5}
{'短评内容': ' 房间还不错,就是有点什么味儿。', '短评打分': 3}
{'短评内容': '订好了一个房间，也确认了，但是入住的时候被告知没有收到订单，而且房间已满，是不是把我的订单房间给了别人了，郑重鄙视~如果谁要订这个酒店一定要考虑好哦……', '短评打分': 1}
{'短评内容': ' 房间挺舒服的…睡的舒服，心情自然就好了，不错不错，下回还来…', '短评打分': 3}
{'短评内容': '酒店很干净，地理位置也不错，服务员很热情，期待下次再入住。', '短评打分': 5}
{'短评内容': '性价比挺高.', '短评打分': 3}
{'短评内容': '酒店房间挺干净的,只是被子有些薄.服务周到.', '短评打分': 3}
{'短评内容': '房间很干净，地理位置也不错，三人间很宽敞，就是三人间洗漱品准备了两人份的，需要改善', '短评打分': 5}
{'短评内容': '该酒店位置不错，比较清静。就是外出就餐需要走的路程较远。卫生收拾的比较干净。总体说性价比比较高的。', '短评打分': 5}
{'短评内容': '服务态度还行', '短评打分': 3}
{'短评内容': '卫生环境差', '短评打分': 3}
{'短评内容': '很好。很干净。。不错。环境好。服务好。离市中心也近。很方便。', '短评打分': 5}
{'短评内容': '卫生情况一般，窗户很差，一点不隔音，楼下是商铺，6点多就被吵醒了。房价不值', '短评打分': 1}
{'短评内容': '一般的酒店，什么都是一般，不过位置还是不错的。', '短评打分': 5}
{'短评内容': '挺不错的,就是房间有点小，不过总体来说还是不错的', '短评打分': 5}
{'短评内容': '酒店还是不错的，地理位置还行，离汽车总站不远', '短评打分': 5}
