{'短评内容': '还可以&hellip;&hellip;', '短评打分': 5}
{'短评内容': '整体还可以，附件稍微冷清了点', '短评打分': 5}
{'短评内容': '还行吧，离国展近', '短评打分': 5}
{'短评内容': '给同事订的', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '没吃早餐～位置离虹桥枢纽挺近的，打车不贵', '短评打分': 5}
{'短评内容': '还不错，', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '卫生一般可接受，前台态度也不错，设备是莫泰标配，略微老旧。但是周围什么也没有，吃饭自己解决吧……跟如家是连在一起的，随便睡一觉还行吧', '短评打分': 3}
{'短评内容': '靠近展馆，很方便', '短评打分': 4}
{'短评内容': '不太满意', '短评打分': 1}
{'短评内容': '还可以   总体', '短评打分': 4}
{'短评内容': '这个地方并不太好，虽然离机场火车站比较近，但是根本走不到，打车单程要20多元，把这些成本加上去还不如住地铁站旁边的。而且酒店是在两条马路的中间，虽然要的是离马路比较远的房间，但车辆的呼啸声还是很大。周围比较荒，没有商店，房间也比较老，卫生一般，虽然重新装修过但也和新店有差距。下次不会再选择。', '短评打分': 3}
{'短评内容': '出差，离会展中心较近，还是比较方便的，就是太偏，没啥吃的', '短评打分': 5}
{'短评内容': '感觉不错，对出差的人来说比较方便。', '短评打分': 5}
{'短评内容': '地理位置对赶飞机或者火车的人来说还是很不错的，到机场和火车站只有5-10分钟的车程，酒店还有免费的班车。离国家会展中心也比较近，就是周围没什么吃的，比较荒凉。服务还是不错的，酒店也弄得很干净，最主要是有个双玻璃的窗户，可以当阳台使用，这个设计很不错。下次肯定还会入住的。', '短评打分': 5}
{'短评内容': '靠机场和火车站很近，很方便，服务也不错。', '短评打分': 5}
{'短评内容': '酒店有接送服务，不错，酒店质量一般吧，但是离火车站近啊！', '短评打分': 5}
{'短评内容': '交通很方便，附近环境也不错，下次赶飞机还住这里', '短评打分': 5}
{'短评内容': '唯一的优点就是离虹桥够近，其他的实在是一般。', '短评打分': 5}
{'短评内容': '离虹桥打车不到20元，蛮近的。但是房间太小了，很闷，隔音效果不好，走廊里大声说话晚上很吵······总之，一般···', '短评打分': 5}
{'短评内容': '性价比蛮高的,有班车接送很方便,就是房间有点小,', '短评打分': 3}
{'短评内容': '酒店很差，没有办法才住在那里的，实在不符合MOTEL的感觉', '短评打分': 1}
{'短评内容': '虹桥机场出来有专车接送，这点比较好。被安排在2楼，房间有异味，然后去服务台换到6楼，比较好说话。', '短评打分': 5}
{'短评内容': '到了虹桥火车站后有车会接送到酒店，也有车会接送到虹桥火车站和机场~服务态度也不错~', '短评打分': 5}
{'短评内容': '环境还好就是远了一点', '短评打分': 3}
{'短评内容': '房间不错\n在大上海这样的房间性价比算是比较高的了', '短评打分': 5}
{'短评内容': ' 特价房性价比不错，比汉庭要好，只是离虹桥火车站远了点，打的要25元。返回有每小时一班5元班车，还行。', '短评打分': 3}
{'短评内容': '晚上的噪音很大，住进去都12点多了 早上5点多就离开的，就这么几个小时还被噪音折腾，也许是地理位置的问题 感觉很差，下次应该不会再去', '短评打分': 1}
{'短评内容': '老牌连锁酒店,值得信赖', '短评打分': 3}
{'短评内容': '房间很小很小，不过还算比较整洁有序。在上海这个寸土寸金的地方，他的价格算是很便宜了，所以还是推荐一下吧。', '短评打分': 5}
{'短评内容': '1.从地段上讲，虽然离着机场挺近，3公里左右的车程，但是附近没有任何一路公交车是直接到地铁和机场的，所以从交通上来讲，完全是外界隔离的状态\n2.酒店内部十分整洁，挺干净，酒店里有各种帮助手册，看着挺贴心。只是前台服务太差了，不是说服务态度，是说工作效率。我在房间里给前台大电话，打了半个小时还没打进去，打通了也没人接，这一点很诧异，不知为何。因为我亲自去前台看了一下，没有人办理入住，也没人在接电话，', '短评打分': 1}
{'短评内容': '应该改名叫招待所。前台的扑克脸无语了', '短评打分': 3}
{'短评内容': '酒店交通总体来说还可以，酒店有自己到虹桥枢纽的班车，就是吃饭不太方便，周围只有个小超市', '短评打分': 5}
{'短评内容': '该酒店距离虹桥高铁站比较近，打车约20.环境还可以，靠近沪青平公路，打车进入时，注意行车的方向，', '短评打分': 5}
{'短评内容': '酒店还行，就是有点儿偏僻。另外据说一楼的特价房潮湿？不知道，前台是这么说的，但是我们住的是五楼。', '短评打分': 5}
{'短评内容': '性价比很高，房间入住也比较舒服，就是上午退房人多时服务态度还要提升，服务人员无法做到有条不紊。', '短评打分': 5}
{'短评内容': '不错，价格很合适，位置也很好！…………………………        ', '短评打分': 5}
{'短评内容': '还不错…很实惠！就是吃饭不方便！', '短评打分': 3}
{'短评内容': '十莫泰服务垃圾，骗顾客', '短评打分': 3}
{'短评内容': '不错,还有班车送,', '短评打分': 3}
{'短评内容': '位置比较偏，吃东西不方便，虽然楼下有餐厅，但是菜式也不多，我个人不怎么喜欢', '短评打分': 1}
{'短评内容': '交通不太方便\u3000\u3000免费班车还收费５元\u3000\u3000有意思', '短评打分': 5}
{'短评内容': '这有酒店就是为了让去虹桥机场 火车 站赶路的客人住 的，别的没有什么 说的，就是方便，早上有专车送到虹桥机场 和火车 站。', '短评打分': 5}
{'短评内容': '不错,干净、方便、快捷!', '短评打分': 3}
{'短评内容': '房间太小，不到10平方米，以后不再住了.没有附近上次住的如家的好。', '短评打分': 1}
{'短评内容': '莫泰服务还行,是个连锁酒店,但客房细节有问题:窗户没窗纱,打开后有蚊子;空调位置不合适,冷空气冲大半个床吹,不盖被子没法睡,盖了被子太热.', '短评打分': 3}
{'短评内容': '住着很舒服，价位可以，同时周围的配套计较齐全，交通方便。', '短评打分': 5}
{'短评内容': '酒店很干净住着舒服价钱也公道早上还有专车送真是不错', '短评打分': 3}
{'短评内容': '好！干净整洁，离虹桥火车站很近，方便。……\n\n\n', '短评打分': 5}
{'短评内容': '环境设施不错，也蛮好找，挺好的，就是有点吵', '短评打分': 5}
{'短评内容': '，环境不错，价格便宜，还有班车接送，给个好评，浴室沐浴露清洁人员忘加了', '短评打分': 3}
{'短评内容': '很干净，服务态度挺好', '短评打分': 3}
{'短评内容': '房间很小，真的很小，但如果只是睡一觉也就无所谓了。', '短评打分': 5}
{'短评内容': '感觉不爽，不知道是不是非官网定的原因，和其他莫泰有很大区别', '短评打分': 1}
{'短评内容': '感觉都不错，他的配送早餐也不错，虽然酒店比较小，但是也可以了，就是他写着在地铁口附近，但是还是要走十几分钟的路程，客房的服务还不错，房间的舒适度还可以，卫生还行。', '短评打分': 5}
{'短评内容': '很好.干净.卫生.', '短评打分': 3}
{'短评内容': '位置偏，交通不放便。', '短评打分': 3}
{'短评内容': '综合不错。。。交通方便，房间也不错。呃，附近吃饭不太方便', '短评打分': 5}
{'短评内容': '价格在上海来讲很低了，还有免费停车场最大优势。晚上宁愿从巿内到这儿住。', '短评打分': 5}
{'短评内容': '便宜。。。环境也还好，就是外出打车不便。自驾没问题', '短评打分': 5}
{'短评内容': '不好  不是很干净 没有电吹风  总的来说挺破的。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '物廉价美', '短评打分': 3}
{'短评内容': '酒店离虹桥机场很近，房间性价比比较高，第二天一早还有车送到飞机场和火车站（10元/人）。不足的地方就是房间应该经常开窗通风，里面的味道不大好闻，还有蚊子。', '短评打分': 5}
{'短评内容': '房间尚可，希望有专车接送。', '短评打分': 3}
{'短评内容': '很一般的，卫生比较差，隔音效果很不好的，对不起这个价格', '短评打分': 5}
{'短评内容': '宽带宽带宽带速度速度速度向蜗牛蜗牛蜗牛宽带宽带宽带速度速度速度向蜗牛蜗牛蜗牛', '短评打分': 5}
{'短评内容': '还可以，挺方便的，夜里虹桥打车过去打车25元', '短评打分': 3}
{'短评内容': '干净，性价比高，但交通及其他配套不是很方便。接送车到虹桥收费１０元不合理，也不给莫泰的票，让人感到很不正规。', '短评打分': 5}
{'短评内容': '酒店很不错，位置也很方便，网速还超快，很难得，比很多城市的200元的房子还合算', '短评打分': 5}
{'短评内容': '还可以，就是坐车到酒店麻烦', '短评打分': 3}
{'短评内容': '如果单纯是为了赶飞机或赶火车，住这家酒店挺好的，房间里的窗户有个露台，还放了一个大靠枕和一个小抱枕，很惬意，每天有多趟开往虹桥机场和虹桥火车站的班车，人少就是辆小车，多点就是辆商务车，10元/人，很方便。唯一的缺点就是太偏僻了，交通不便。', '短评打分': 5}
{'短评内容': '到酒店时前台说查不到我的订单，给她看了手机确认短信才开了房。后来办了莫泰的会员卡，可以帮我免费换到6楼的大床房，价格一样，但安静很多。他们的班车只到虹桥2号航站楼和火车站，我去虹桥1号楼只好打车去了。前台态度不错，就是从机场去莫泰没有班车地铁很不方便。', '短评打分': 5}
{'短评内容': '还经济实惠，就是晚上有点吵', '短评打分': 3}
{'短评内容': '离虹桥枢纽很近很方便，价格也相当的便宜，强烈推荐', '短评打分': 5}
{'短评内容': ',酒店不错，交通便利', '短评打分': 3}
{'短评内容': '住宿条件还可以，不过交通稍有不便，来回赶车不方便', '短评打分': 5}
{'短评内容': '酒店环境换哈，但就是太偏啦，去晚了没有饭店，只有到小店买方便面，哎，就是吃饭不方便啊。', '短评打分': 5}
{'短评内容': '还可以。要从高铁南出口出。否则打车费很高。去高铁站还有班车。一般吧', '短评打分': 5}
{'短评内容': '我去上海的时候就住的这家酒店，性价比很高，经济实惠，早餐很不错！', '短评打分': 5}
{'短评内容': '住宿可以', '短评打分': 3}
{'短评内容': '点评晚了，还不错，感觉房间有点小，但挺干净的，对得起这个价格，下次还会再来。', '短评打分': 5}
{'短评内容': '酒店环境不错，就是真的比较偏~凌晨从机场出来打的还被司机骂！！！', '短评打分': 5}
{'短评内容': '主要是离上海虹桥火车站方便，整体还可以，不过刚进房间有烟味，味道不是很好。', '短评打分': 5}
{'短评内容': '位置有点偏，但服务、配置都还算不错，而且价格比较合理。', '短评打分': 5}
{'短评内容': '酒店真的很不错哦，环境也很好，强烈推荐大家。', '短评打分': 5}
{'短评内容': '第二次入住，同样是特价房，比第一次入住要满意的多，这次住的是不临路房，安静，装修精致，只要150元/晚，从虹桥火车站过来的，建议从南广场打车。', '短评打分': 5}
{'短评内容': '什么破酒店，宽带根本没反应，一个离间三个网线的头，轮流插完也无法上网。自己带的3G也没法上，把信号都弄没了，手机也上不了网。出了酒店到了马路就能上。没办法，为了省点费用还是选择了这里。', '短评打分': 1}
{'短评内容': '此酒店为快捷商务酒店服务很好，价格优惠，住的挺舒服的', '短评打分': 5}
{'短评内容': '酒店环境一般，服务态度还不错。', '短评打分': 3}
{'短评内容': '价格合理，在上海不错了，帮助叫出租车，服务不错，早餐不好。', '短评打分': 5}
{'短评内容': '确实交通不方便，从火车站出口处打的夜里28。', '短评打分': 3}
{'短评内容': '我无语了   最主要的是网速太**慢了 1.5g的文件我传了一晚上都没传完  垃圾', '短评打分': 1}
{'短评内容': '总体环境还可以，离虹桥枢纽也不远，酒店还有班车到虹桥，不过有点贵，要10块，不过也比打的便宜。地方有点偏，房间卫生还可以吧，性价比比较高，推荐。', '短评打分': 5}
{'短评内容': '总体来说还不凑，周围环境一般，较为干净!!', '短评打分': 5}
{'短评内容': '房间就是太小了，就是挺近的。', '短评打分': 3}
{'短评内容': '房间环境很好经济实惠', '短评打分': 3}
{'短评内容': '房间虽然小 但是还相对比较干净 不过这次住的房间空调的滤网不晓得多久没有清洗了 一打开后霉味超级重 ', '短评打分': 5}
