{'短评内容': '环境静谧，交通尚便利。与锦江之星比邻。', '短评打分': 3}
{'短评内容': '酒店环境不错，适合度假，前台的服务也很好，希望酒店能尽快解决上网问题，我可以建议你们酒店可采用无线，这样你们用最短的时间、最少的费用解决客人的上网需求。\n距离厦门北火车站大约有30公里，打的40分钟就能到，很方便。', '短评打分': 5}
{'短评内容': '早餐差，房间没有网线，其他的还可以。地方倒是安静。', '短评打分': 1}
{'短评内容': '服务员态度好，待人热情，房间装修的比较简约，卫生一般，性价比还可以', '短评打分': 5}
{'短评内容': '服务员态度很好，周到热情，而且很负责，住宿环境不错，蛮安静的，性价比还可以', '短评打分': 5}
{'短评内容': '室内很安静，卫生条件不错，打扫的很干净，服务周到，其他都一般', '短评打分': 5}
{'短评内容': '酒店的卫生条件很不错，蛮干净的，价格合理，一些基础的硬件设施还算齐全，住着还一般', '短评打分': 5}
{'短评内容': '酒店的条件一般而且里面比较陈旧了和别的快捷酒店比的话差别很大，交通还是比较方便，态度一般早餐也很不好只能算将就能吃，而且酒店总体看的话和网站上宣传的真的不一样。', '短评打分': 1}
{'短评内容': ' 房间隔音太差。无窗，感觉憋闷', '短评打分': 5}
{'短评内容': '安全卫生    性价比蛮高     服务态度好  连锁酒店就是不一样   下次还会考虑入住该酒店   ', '短评打分': 5}
{'短评内容': '环境蛮好,很满意', '短评打分': 5}
{'短评内容': '还不错，就是比较难找，周围没有什么标志性建筑', '短评打分': 5}
{'短评内容': '酒店的卫生好，位置好，服务也很好很不错的酒店。', '短评打分': 5}
{'短评内容': '房间装饰的温馨，舒适。当时入住的是圆床房很浪漫。', '短评打分': 5}
{'短评内容': '酒店面积不大，房间布局设计的舒适紧凑。', '短评打分': 5}
{'短评内容': '就是位置不太好找，其他的都还可以', '短评打分': 5}
{'短评内容': '地理位置不错，就是环境一般，隔音效果差，枕头不舒服\r\n', '短评打分': 1}
{'短评内容': '酒店很安静，这点挺好，不影响客人休息，睡眠质量很好。', '短评打分': 5}
{'短评内容': '不错，就是小了点', '短评打分': 5}
{'短评内容': '房间布置的比较简洁，卫生打扫的还可以，服务很热情，感觉还不错。', '短评打分': 5}
{'短评内容': '这家店位置还挺不错的，逛街购物也很方便.', '短评打分': 5}
{'短评内容': '服务上很不错，办事很周到，态度很热情，感觉很亲切。', '短评打分': 5}
{'短评内容': '酒店干净简洁，服务上很周到，价格很合理。', '短评打分': 5}
{'短评内容': '酒店设施齐全布局 合理，虽然店面很小布置的却很好。', '短评打分': 5}
{'短评内容': '这家店给人感觉很干净，床单枕头都比较舒适。', '短评打分': 5}
{'短评内容': '酒店的配置齐全达标，房间面积不是很宽敞。其它都还好。', '短评打分': 5}
{'短评内容': '就是早餐很一般。', '短评打分': 5}
{'短评内容': '位置不错，毗邻珠江路，离新街口也不远，价格也算合适，性价比算是中上，服务员态度很好，让人觉得很贴心', '短评打分': 5}
{'短评内容': '我个人还是比较喜欢如家类型的,这家酒店感觉还可以了,就是装潢上没有如家那么温馨.', '短评打分': 3}
