{'descr': '整体还不错，蛮好的，推荐。。。干净，房间不大', 'star': 5}
{'descr': '隔音不好', 'star': 3}
{'descr': '交通方便，价格便宜，房间很小，多数房无窗（或天窗），宽带速度尚可。', 'star': 3}
{'descr': '房间挺大，也很干净，在一个类似小区的地方里面，所以很安静，离和平西桥地铁站很近，出行方便，就是那几天房价有点小贵。', 'star': 5}
{'descr': '挺好的，环境、卫生、服务态度都挺好的。就是感觉餐厅的吃的不是特别好，不全。还有就是感觉服务人员忙不过来。', 'star': 5}
{'descr': '本来预订的房间电视坏了不能看电视，后来免费升级换到的其他房间，不错，谢谢', 'star': 5}
{'descr': '服务周到，虽然有烦人的小广告，服务员及时采取了措施', 'star': 3}
{'descr': '适合商务出差住宿', 'star': 5}
{'descr': '服务很好、到位；地理位置优越，离地铁5号线和平西桥出口很近', 'star': 5}
{'descr': '环境还行，就是隔音太差，晚上还没起来呢，外面走路说话的声音，感觉好像没有门那么大声。', 'star': 1}
{'descr': '还是绕行吧~~ 原以为正规而且干净，谁知地板都起毛了~~ 屋子空间小，不透气。床也不太舒服，最可气的是早餐要么就好好做，非要做的像盐场出来的，没法忍受呀。。。简单吃点回去再吃点面包什么的。。。下次我一定不去了。。。。。每下次。。。。', 'star': 1}
{'descr': '＋酒店环境还可以，服务态度挺好', 'star': 3}
{'descr': '如家（和平西桥店）离地铁很近，出行挺方便的。', 'star': 5}
{'descr': '环境还行，就是隔音太差，晚上还没起来呢，外面走路说话的声音，感觉好像没有门那么大声。', 'star': 3}
{'descr': '还好 工作人员蛮热情.床不太舒服.手机充电器也能借到', 'star': 3}
{'descr': '環境不錯，', 'star': 3}
{'descr': '蛮干净的，挺好的！床单很漂亮！价格也还算优惠！下次来还可以选择这里！', 'star': 5}
{'descr': '还可以，房间空间小了点。粉色被子很漂亮。。。。', 'star': 1}
{'descr': '住了十多天，不错的酒店，位置很好，交通方便，就是第一次不大好找', 'star': 5}
{'descr': '住了十多天，不错的酒店，位置好，方便，就是第一次不大好找', 'star': 5}
