{'短评内容': '房间大', '短评打分': 5}
{'短评内容': '非常涵好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '非常好，服务热情，前台姐姐漂亮', '短评打分': 5}
{'短评内容': '酒店干净整洁', '短评打分': 5}
{'短评内容': '有事，没去，应该不错', '短评打分': 5}
{'短评内容': '卫生干净，房间很大！', '短评打分': 5}
{'短评内容': '房费也不贵，值得入住！', '短评打分': 5}
{'短评内容': '不错，房间很大！性价比高！', '短评打分': 5}
{'短评内容': '在这里住了很多次！', '短评打分': 5}
{'短评内容': '房间挺大的！', '短评打分': 5}
{'短评内容': '房间床头柜那边有一股很难闻的味道', '短评打分': 2}
{'短评内容': '真的很不错', '短评打分': 5}
{'短评内容': '价格实惠，性价比高。。。', '短评打分': 5}
{'短评内容': '很不错，环境比较安静，卫生不错，', '短评打分': 5}
{'短评内容': '真的很好啊', '短评打分': 5}
{'短评内容': '价格合理 房间空间大 采光好 比较舒适啦', '短评打分': 5}
