{'短评内容': '整体还可以，就是房间没有图片上那么大，服务不错。', '短评打分': 3}
{'短评内容': '，还可以，就是房间小点了。', '短评打分': 3}
{'短评内容': '  这个价位还可以吧，主要是交通便利，有点小潮湿…', '短评打分': 3}
{'短评内容': '还可以，服务很好退房也快！', '短评打分': 3}
{'短评内容': '隔音非常不好！一大早隔壁看电视，我听电视！根本睡不好！不会再来！', '短评打分': 3}
{'短评内容': '在西安经济型的这个价位相对酒店设施还行，唯一缺点就是隔音效果不佳，凌晨三点多一个叫床的把我吵醒，这个叫了个把小时。', '短评打分': 5}
{'短评内容': '总体上装修的可以，吧台美眉很友善，但是房间超级不隔音，从4点开始就有叫床的，8点服务员就拿着对讲机喊谁谁谁退房之类的。第一次住酒店发现洗浴用具需要买，但是不贵只要3块钱。\n毛巾只有1套很讨厌。。。。', '短评打分': 1}
{'短评内容': '房间里没有一张桌子，好几个灯坏了，热水要好久才有，浴室里淋浴跟马桶没有帘子隔开。唯一比较好的是离市中心很近，到火车站或钟鼓楼、南门都只需一辆车（603路）', '短评打分': 1}
{'短评内容': '服务很好、环境很温馨、价格也合适、就是房间有点小，隔音貌似不好！反正挺好的。赞！', '短评打分': 5}
{'短评内容': '房间很小，环境很吵。整个没心情，下次绝不入住这样的酒店。', '短评打分': 1}
{'短评内容': '酒店很满意、服务也很好！感觉物超所值！下次有机会也去那！', '短评打分': 5}
{'短评内容': '房子很小，而且只有一套洗浴用具，床很硬，2层的房子都没窗户', '短评打分': 1}
{'短评内容': '交通方便。卫生还可以！房间太小了！一直在装修，房间的味道太大了！', '短评打分': 1}
{'短评内容': '服务态度很好，房间小了点不过很整洁，交通也很方便，值得推荐...', '短评打分': 3}
{'短评内容': '酒店装修后味道太大 并且床很硬！住起来很不方便！但是酒店的位置很好找！', '短评打分': 1}
{'短评内容': '凑合，房间满大，装饰很甜美，不过很多设计不是很人性化，特别是浴室。服务态度挺好，但可提供给游客的信息太有限了', '短评打分': 5}
