{'短评内容': '还行吧！', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间较大，卫生较好，价格合适，交通方便，我住房间内无wiFi。', '短评打分': 5}
{'短评内容': '房间除了不能上网，其它都还不错', '短评打分': 5}
{'短评内容': '整体环境不错，位置比较偏，周围交通不便，楼下就是餐饮，油烟较重。国庆价格也贵。实在找不到住处也行。', '短评打分': 3}
{'短评内容': '房间不错，整洁干净，床很舒服。', '短评打分': 3}
{'短评内容': '离盘溪市场近，附近公交站多，地理位置可以。就是设施有点陈旧，但是房间挺大的，卫生再做好些就可以咯！', '短评打分': 5}
{'短评内容': '还不错，挺大的', '短评打分': 5}
{'短评内容': '房间里空间比较大，装潢一看就是新的那种，房间比较满意。十分不满意的是前台的戴眼镜的小妹，真的太2了，服务态度点都不好，好心好意的请问一个问题，她不做任何回复，再问，直接给你说，这个事情你不用管，我不关心的我问你搞毛，问就就是我关心的，我关心的，我就要了解，而且看房的钱也开错了，看见我们是外地的，本来是148的，开成168，要是我们不问，不是又要遭20块钱。 前台小妹私心很重啊，各位朋友去的话，一定', '短评打分': 1}
{'短评内容': '环境还是可以,比较安静,就是有点偏僻,吃饭不是很方便', '短评打分': 5}
{'短评内容': '环境不错，价格合理，周围也比较安静，值得推荐！！！！', '短评打分': 5}
