{'短评内容': '没有早餐，位置在市中心。', '短评打分': 5}
{'短评内容': 'Wi-Fi好、热水快、房间干净卫生舒适、交通方便、停车方便、空调效果好、设施设备好、空气好、一起都好。', '短评打分': 5}
{'短评内容': '位置很好', '短评打分': 3}
{'短评内容': '很好，服务好，干净，', '短评打分': 5}
{'短评内容': '经济实惠，性价比高，体验好，服务好，很周到，热情礼貌，环境好，网络好，客房干净，楼道整洁，热水给力，洗澡水温度很好，地理位置优越，地段好，去哪都方便，房间地板干净明亮很好，住的非常舒服，很好的一次入住体验，希望下次还有机会入住，非常值得推荐，方便快捷，被套舒适，床单非常舒适，暖气给力，非常暖和，地板好，大堂明亮视觉好，棒棒哒，电视好，设施完善很好，沐浴露很好，洗发水好，枕套好，房间空间大，墙面美观', '短评打分': 5}
{'短评内容': '还行。。。。。。。', '短评打分': 5}
{'短评内容': '一般。。。。。。。', '短评打分': 5}
{'短评内容': '还不错。。。。。', '短评打分': 5}
{'短评内容': '每一次，不论到哪个城市，选择的都是7天连锁酒店，因为住的，舒心，放心，安心！', '短评打分': 5}
{'短评内容': '不错 非常干净。', '短评打分': 5}
{'短评内容': '基本还可以，只是空调还是经常要保养一下子效果就更好了', '短评打分': 5}
{'短评内容': '还可以，但就是空调效果不是很好', '短评打分': 5}
{'短评内容': '好好讲话', '短评打分': 5}
{'短评内容': '还好 考研预定的', '短评打分': 5}
{'短评内容': '好', '短评打分': 0}
{'短评内容': '房间设施设备好，Wifi速度快，房间卫生干净，地理位置很好，服务的态度很好，附近有收费停车场停车非常方便', '短评打分': 5}
{'短评内容': '房间设施设备好，地理位置好，价格比较优惠，前台的服务态度很好，Wifi速度快，空调给力', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '酒店设备设施比其它店比好，卫生间卫生干净，服务员服务很好，很热情。房间大，空调和网络给力。好评！', '短评打分': 5}
{'短评内容': '好，给个赞', '短评打分': 4}
{'短评内容': '位置好，其他的一般般，性价比高', '短评打分': 4}
{'短评内容': '还不错。主要便宜。', '短评打分': 4}
{'短评内容': '房间很空旷，挺喜欢的，就是不提供洗漱用品，还要另买，不方便', '短评打分': 4}
{'短评内容': '有史以来住过最差的七天没有之一。', '短评打分': 1}
