{'descr': '还可以，这价位不错了', 'star': 4}
{'descr': '环境一般般，热水器是烧电的，只够一个人洗。', 'star': 3}
{'descr': '还可以', 'star': 4}
{'descr': '服务态度特别好             主动给我们换了个大一点的房                   ', 'star': 4}
{'descr': '床还不错，非常舒适宽敞', 'star': 4}
{'descr': '一般一般', 'star': 3}
{'descr': '还行', 'star': 5}
{'descr': '挺好', 'star': 5}
{'descr': '交通很方便环境也不错', 'star': 5}
{'descr': '环境设施都还不错 关键是有厨房！', 'star': 5}
{'descr': '就在客户对面，很方便', 'star': 5}
{'descr': '有自带的厨房 电磁炉 厨具都是有的 很方便', 'star': 5}
{'descr': '老板人很好 房间什么都有 值得拥有', 'star': 3}
{'descr': '还不错 交通很便利 到哪也停近', 'star': 3}
{'descr': '一般般 感觉和凑合 有的地方有点不干净', 'star': 3}
{'descr': '地理位置好，离市中心近，房间宽敞。', 'star': 3}
{'descr': '地理位置好靠市中心，房间挺大的。', 'star': 3}
{'descr': '酒店不錯，就是有點小貴。床大得可以打功夫。但電視只能收看小數機個台。', 'star': 5}
{'descr': '酒店地理位置很好，距离新街口很近，出行方便，来南京游玩的朋友可以考虑', 'star': 5}
{'descr': '还可以。房间挺大的，但是挺简陋。价格还可以，离市里很近。', 'star': 5}
