{'短评内容': '酒店不能加床，环境不错，尤其是一楼大厅格局优雅，有书架，看书老好了！', '短评打分': 4}
{'短评内容': '有停车场，', '短评打分': 5}
{'短评内容': '很不错，继续入住', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很不错，这里住过很多次', '短评打分': 5}
{'短评内容': '服务热心，环境优雅，值得推荐！', '短评打分': 5}
{'短评内容': '房间很干净，舒适安全，实惠。', '短评打分': 5}
{'短评内容': '服务很完善，有免费的饮品很好，入住舒适很不错的体验', '短评打分': 5}
{'短评内容': '健健康康', '短评打分': 5}
{'短评内容': '一路四川玩回来，自然选择宜必思，必须的特棒，干净整洁，舒服，主要标间都是两个大床，这对出来玩的宝宝那就是一个享受，感谢有你，宜必思', '短评打分': 5}
{'短评内容': '来西安是第一次住这个连锁的酒店，离办事地点近，周围交通方便，房间虽小但设备齐全，卫生不错，服务周到，下次还来。', '短评打分': 5}
{'短评内容': '酒店服务挺好，就是电视太古董了。', '短评打分': 5}
{'短评内容': '服务很好，位置也很好找，在高新区比较便利，方便商务客，周围吃的也好解决。就是卫生间排风扇坏了。总统不错。', '短评打分': 5}
{'短评内容': '不错，一直住他们家。', '短评打分': 3}
{'短评内容': '比想象中好多了。又宽敞服务也不错！', '短评打分': 3}
{'短评内容': '干净宽敞超级棒！！！', '短评打分': 3}
