{'短评内容': '磨房200活动是订的，预订给广州追风骑士团的队友一起住的。环境不错，有停车场，离神光山风景区不远，服务也很好，挺好的！', '短评打分': 5}
{'短评内容': '酒店很安静', '短评打分': 5}
{'短评内容': '卫生干净，服务较好。', '短评打分': 5}
{'短评内容': '酒店位置好，环境也不错', '短评打分': 5}
{'短评内容': '方便又干净', '短评打分': 5}
{'短评内容': '好的地方推荐', '短评打分': 4}
{'短评内容': '房间味道很重，有股霉味，而且感觉很脏，不晓得是什么鬼，酒店还不承认。重来没住过这么差酒店，给人的感觉就像路边野酒店来着。', '短评打分': 1}
{'短评内容': '房间有股味道，设备比较旧，墙壁都掉落了。', '短评打分': 2}
{'短评内容': '清静，早些通知前台第二天早上就给送早餐，房间够大，离市区很近。', '短评打分': 5}
{'短评内容': '说好的返现又没有', '短评打分': 4}
{'短评内容': '偏远，其他不错', '短评打分': 4}
{'短评内容': '环境好，很安静，', '短评打分': 5}
{'短评内容': '乘车方便', '短评打分': 4}
{'短评内容': '房间很大，不错', '短评打分': 4}
