{'短评内容': '整体还行，不过被如家收了，不知道涨不涨价！', '短评打分': 5}
{'短评内容': '挺好的，每次到蚌埠都选择E家，物美价廉！要是早餐再多些水果更好！', '短评打分': 5}
{'短评内容': '这个酒店地理位置不错，但停车不方便，酒店内房间不大，但很干净、给人温馨的感觉，总体上还不错的。', '短评打分': 5}
{'短评内容': '地理位置不错~但是房间很小~服务还不错！', '短评打分': 5}
{'短评内容': '就算一般吧，房间比较小，交通比较方便，用品稍显陈旧', '短评打分': 5}
{'短评内容': '性价比很高，酒店价格不高，环境较好，隔音效果不错，早餐也不错', '短评打分': 5}
{'短评内容': '基本还行，就是房间太小，稍显陈旧，交通比较便利还是不错的', '短评打分': 5}
{'短评内容': '干净，便宜，总的说来还是不错的，有用的到的可以考虑下', '短评打分': 3}
{'短评内容': '挺不错的酒店，干净，装修风格让人感觉很舒适，还送早餐，值', '短评打分': 3}
{'短评内容': '首先此店的位置是在淮河路与升平路的交界口并不是淮河路工农路交界，其次靠近铁道，晚上是火车信号叫的不停，一大早汽车喇叭叫的不停，房间不隔音，房间墙壁破损没有修复，卫生间淋头坏了都不更换，不但用不舒服而且还浪费水，镜子上只有两个挂钩，如果换做衣柜镜岂不更好，还有就是被套及毛巾浴巾接触皮肤感觉如同抹布一般，太粗糙了，同时收费的东西比较多，一般像洗发液沐浴液都是免费的，可在这要收2元/袋，虽然不太贵但是不', '短评打分': 1}
{'短评内容': '地理位置不好 门很小 前台服务较冷漠 客房大姐和工程阿叔都还蛮热情的\n早餐很干净 房间也很干净 最郁闷的事 到了前台我报了预定 前台说我来晚了 房间没留 我说我到电话过来说会晚到 电话里答应保留房间的 后来前台找了很久找到我的预定单 然后告知我 房间只剩下 没有窗户的房间 也凑合了 进去一看 房间超小 很闷 只有小小的透气窗 狭窄极了 反正我不推荐此酒店 无论服务还是房间都没有任何性价比 ', '短评打分': 1}
{'短评内容': '本来期待着第三次的入住，不过相信这次应该是最后一次入住了。酒店设施略显陈旧，毛巾床单已经发旧、廊灯频闪。不过一分价格一分货，房间价格不算太高，所以没有太多期待。酒店隔音效果不是太好，偏偏隔壁住了个极其亢奋的住客，各种砸墙声、谩骂声、怒吼声，大动作······反映给前台，答应说稍等，帮我看看，结果等到第二天退房，也没人来理会！这就是E家快捷酒店的服务意识：敷衍···', '短评打分': 1}
{'短评内容': '整体感觉还不错，以后办事出差入住可以考虑的酒店', '短评打分': 5}
{'短评内容': '价格比较实惠，才122元，物超所值。周围交通方便，酒店里边服务设施齐全，干净卫生，洗澡的沐浴液和洗发水不好，都不知道多长时间了。总体挺好吧，还有免费早餐，早餐不错，比较全，还免费，绝对超值。', '短评打分': 4}
{'短评内容': '条件还可以，就是设施有点旧', '短评打分': 3}
{'短评内容': '性价比比较高，位置非常好，早餐一般。房间有点小。', '短评打分': 5}
{'短评内容': '第三次预定，第二次和第三次同一个房间，感觉不错，环境很好，早餐也不错。', '短评打分': 3}
{'短评内容': '就是简单的快捷酒店。不要要求什么高的。比较干净，还可以 交通。', '短评打分': 5}
{'短评内容': '房间小，设施陈旧，毛巾和洗漱用品很成问题，还有被子很薄，睡得不舒服。', '短评打分': 5}
{'短评内容': '卫生间的味道太重，512的淋喷头坏得一塌糊涂。', '短评打分': 1}
{'短评内容': '感觉这个价位和这样的房价不相衬。关门关窗后，味道很大。', '短评打分': 1}
{'短评内容': '交通方便，条件不错，服务态度比较好。\n但是附近吃饭地方少\n', '短评打分': 5}
{'短评内容': '服务非常好 环境也挺不错 交通方便 房间性价比挺高地', '短评打分': 5}
{'短评内容': '小小的很温馨，很喜欢红格子的窗帘和浅绿色的被套，入眼很舒服。但是保洁阿姨的工作态度有待改正。', '短评打分': 5}
{'短评内容': '还可以，虽说房间不大，还算是干净，离蚌埠市中心也近。下次还会住！', '短评打分': 5}
{'短评内容': '旁边应该是有个机房，噪音还是很大的，如果喜欢安静的朋友就不是特别推荐了，离百货大楼那边很近，其他硬件还都很不错', '短评打分': 5}
{'短评内容': '酒店还行，挺安静的。就是房间空调制热效果比较差一点。', '短评打分': 5}
{'短评内容': '服务太度较好,地断方便。就是路边车多晚上很吵。', '短评打分': 3}
