{'短评内容': '停车方便 实惠 一个人住可以的', '短评打分': 4}
{'短评内容': '第一次入住，环境不错，非常适合出差旅行。离皮革城也近。', '短评打分': 5}
{'短评内容': '位置不错，安静！', '短评打分': 5}
{'短评内容': '还可以。实惠', '短评打分': 5}
{'短评内容': '一个人，这价格，都懂', '短评打分': 2}
{'短评内容': '可以的，服务很好', '短评打分': 5}
{'短评内容': '还不错，而且靠近网吧', '短评打分': 5}
{'短评内容': '价格便宜，环境不错。', '短评打分': 4}
{'短评内容': '环境不错，价格便宜，设施齐全，位置好找，旁边有饭店，有网吧。装修相对落后，时间有点久，还是老彩电，网络不稳定。', '短评打分': 4}
{'短评内容': '电视太落伍了，WIFI不是很好', '短评打分': 4}
{'短评内容': '价格合理，经济实惠。坏境还是过得去，位置好找，整体都还满意，一份价格一分货，就是前台服务水平有待提高，说话态度不是很友好。', '短评打分': 4}
{'短评内容': '价格合理，经济实惠。坏境还是过的去，位置好找，整体都还满意，一分价格一分货，这样的价格在海宁不好找，下次还会再来。', '短评打分': 5}
{'短评内容': '安静 交通便利', '短评打分': 5}
{'短评内容': '老人家住的很开心，表示下次还会来', '短评打分': 5}
{'短评内容': '酒店距离皮革城约一站路。住宿环境较安静。但周边吃饭的点较少，除了沙县小吃。适合一个人吃饭的地方距离约一公里。房间很大热水充足。', '短评打分': 3}
{'短评内容': '靠近皮革城，交通较方便，隔音效果有待加强', '短评打分': 4}
{'短评内容': '还行吧～环境卫生一般般吧', '短评打分': 4}
{'短评内容': '特价房价格便宜, 位置也还不错, 距离皮革城1站路.\r\n装修很一般给人感觉档次很低, 而且没有什么风格. 房间里的配置非常简单, 真的是睡一觉的地方. 电视频道很多, IPTV的很多付费频道也是可看的.\r\n京东订的房间,确认短信也收到了. 到了酒店居然告诉我没有任何我订房间的记录. 好在房间充足, 在我出示了短信后给了一个房间. 万一客满了就烦人了.哪个环节出了纰漏? 给人感觉很不稳妥啊.', '短评打分': 4}
{'短评内容': '酒店还算干净.设备很简单.不过这个价格这种房也算不错了', '短评打分': 5}
{'短评内容': '还不错,空间蛮大的,卫生间搭配的也好!就是床单看起来不舒服!不过我还是推荐朋友来的!', '短评打分': 5}
{'短评内容': '性价比高，总体比较干净，毛巾浴巾太旧，建议自备，', '短评打分': 5}
{'短评内容': '性价比高，总体比较干净，毛巾浴巾太旧，建议自备，', '短评打分': 5}
{'短评内容': '服务态度很好滴，首先住店就是要心情愉快啦，因为有杂音和床的问题换了2次房间，服务人员都给换了，而且距离皮革城大概15分钟的步行时间，直线距离。好像是在附件看到的比较大的酒店了。也很好找，标志很明显。不错的选择。', '短评打分': 5}
{'短评内容': '酒店不错，房间大也很干净。离中国皮革城只有一站路的距离，很方便。', '短评打分': 5}
{'短评内容': '房间不错，很大，我订的特惠房，不过记得特惠房没有一次性备品的，要自带，也不错的，有电梯，尤其提一下前台服务很不错的，我因为买的衣服要打包，前台帮我找了半天才找到一个箱子，如果去海宁住这里不错的，离皮草城一站地', '短评打分': 5}
{'短评内容': '金狮100很不错哦，地点虽然离市中心远了点，但交通便利，到皮革城很近，换乘到海宁西站的公交很方便。特别是房间很宽敞，是2米宽的床，睡得很舒服。', '短评打分': 5}
{'短评内容': '酒店还不错，干净、卫生，而且离皮革城很近，有直接到皮革城的公交车，打车到火车站最多不过10元，很方便，服务也不错，下次还会住这里。', '短评打分': 5}
{'短评内容': ' 很好，服务也不错。下次还住这。', '短评打分': 3}
{'短评内容': '初次入住，不过房间很干净，很舒服，态度也不错，下次有机会还会选择这家的。', '短评打分': 5}
{'短评内容': '价钱还可以，就是服务态度不好，交通不是很方便。厕所里居然有虫子。被子倒是很干净，卫生间的毛巾很旧，看上去不太干净，没敢用', '短评打分': 5}
{'短评内容': '都蛮好 就是交通和吃饭不太方便', '短评打分': 3}
{'短评内容': '我已入住，谢谢', '短评打分': 3}
{'短评内容': '位置好、交通方便、停车场在小区里边、安全可靠、买皮革城较近。', '短评打分': 5}
{'短评内容': '这家宾馆以前也住过，主要是挺干净的，装饰简单而大方，价格上非常实惠，所以总体上还可以！', '短评打分': 5}
{'短评内容': '环境很好，推荐，但是可以多玩玩，离皮草城很近。', '短评打分': 5}
{'短评内容': '真诚、干净、安静、放心、舒心，非常值得信赖的旅店', '短评打分': 5}
{'短评内容': '本酒店干净整洁服务好', '短评打分': 3}
