{'短评内容': '一般般   很差', '短评打分': 3}
{'短评内容': '空调太旧了，开久了噪音非常大。蚊子比较多', '短评打分': 4}
{'短评内容': '地理位置还可以，但是房间确实不行', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店一般化，下次可以不用考虑了。', '短评打分': 5}
{'短评内容': '型刚中有柔，尽显青岛地域建筑风情。房间内厅和卧室都是正南向的。宽敞的阳台，将蓝天、海水和阳光融合在一起，白天可感受阳光的明媚，晚上可享受满天星光的浪漫。...', '短评打分': 5}
{'短评内容': '一般般 价钱在那呢', '短评打分': 2}
{'短评内容': '小而温馨的快捷酒店，来了好多次，渐渐的熟悉了很多，感觉真的简单方便，好似无锡也有了家的感觉，呵呵，蛮不错的~', '短评打分': 4}
{'短评内容': '经济实惠的快捷酒店，对于经常要来无锡办事的人，是不错的选择，服务员态度很温馨，房间不豪华，但是很干净没异味，只是周末节假日稍稍贵些。', '短评打分': 4}
{'短评内容': '因为离办事点近，故而选择贝壳，前台服务态度很好，服务员打扫也比较到位，虽然硬件设施不是最好的，但感觉温馨就可以了。', '短评打分': 4}
{'短评内容': '房间虽小但干净整洁，前台服务好，交通便利。', '短评打分': 3}
{'短评内容': '好，都挺好的，wifi给力，交通方便，环境也好', '短评打分': 3}
{'短评内容': '还不错，比较干净', '短评打分': 5}
{'短评内容': '就是挺小的。。', '短评打分': 4}
{'短评内容': '无', '短评打分': 4}
{'短评内容': '本人夜间如住该酒店，要求中午12：30延迟退房，总台一位小伙子说不允许，我要求通融下，依然不可以，最后我说12：15可以吗，前台坚持声称要12：00出来，真的非常坚持原则。给客人一点方便都没有。真是非常坚持，不错的酒店。值得推荐这种原则化', '短评打分': 1}
{'短评内容': '很好,很方便,以后到无锡还还是会去住这个酒店', '短评打分': 5}
