{'短评内容': '服务一般般', '短评打分': 2}
{'短评内容': '真的蛮失望，一个大北京城酒店，好歹一天420！微波炉都没有，谁信啊！就不给热一下肯德基，对面两百多的速八都有微波炉，', '短评打分': 3}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '前台接待服务很好，很贴心，房问设施很好，值得推荐。', '短评打分': 5}
{'短评内容': '设施比较陈旧，周边吃饭的地方走路要五分钟。酒店自助餐既不实惠，菜品做的也不好。很糊弄。', '短评打分': 4}
{'短评内容': '很好房间很干净整洁', '短评打分': 5}
{'短评内容': '两会啊，麻烦死了', '短评打分': 5}
{'短评内容': '出差住这边 提早了一天过来就自己携程上定了 ，感觉还不错 吃喝玩乐都有很方便.唯一不足的一点就是隔音效果不是很好 这是宾馆的通病 我自己也是经营宾馆的 可以理解！', '短评打分': 5}
{'短评内容': '环境幽雅！室内空气流通还不错！房间设施合理，具有居家居住的感觉，很温馨，也很方便！周围有喷泉广场，亭台楼阁，小桥流水，惬意极了！忙碌一天后休闲的好地方……', '短评打分': 5}
{'短评内容': '房间不错，没有窗户，但是贴了风景油画，不至于感觉那么闷，设施齐全，卫生整洁干净，推荐！', '短评打分': 5}
{'短评内容': '不错！一如既往！', '短评打分': 5}
{'短评内容': '服务态度积极', '短评打分': 5}
{'短评内容': '已经入住过好多次了，性价比非常高，每次的入住都很满意', '短评打分': 4}
{'短评内容': '第一次住，哪里好说不上。早餐太差！', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 4}
{'短评内容': '还可以的', '短评打分': 5}
{'短评内容': '酒店很好，挺不错，就是周边环境一般', '短评打分': 5}
{'短评内容': '可以的可以', '短评打分': 5}
{'短评内容': '开会，第一次入住，感觉挺好！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '位置好，出行方便', '短评打分': 5}
{'短评内容': '没窗户还是不舒服!', '短评打分': 4}
{'短评内容': '环境很好，象度假村的感觉', '短评打分': 3}
{'短评内容': '房间环境干净，卫生。但前台服务差', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '性价比还行，健身房设备有些陈旧。总的来说还不错，下次还定此酒店。', '短评打分': 5}
{'短评内容': '酒店在南三环和南四环之间，外面的环境不是很好，但是进去后还不错，房间很大，很安静。', '短评打分': 5}
{'短评内容': '酒店的环境还不错，服务也很好，我去晚了过了预留房间的时间，但仍然给保留了房间。', '短评打分': 5}
{'短评内容': '位置去我办事地方比较方便，价格觉的还不错，房间住着也还行，服务态度还算可以。', '短评打分': 3}
{'短评内容': '离南苑机场很近交通也可以，房间也很好住着也很舒服，性价比还行，服务态度都不错。', '短评打分': 5}
{'短评内容': '酒店的设施卫生还好，出行还是挺方便交通不错而且离我的公司也很近，价格还是有点高，服务倒是一般。', '短评打分': 3}
{'短评内容': '酒店的设施卫生还行，酒店的位置挺好找只是打车不好打，服务态度也就普通，价格还是一般。酒店普通的一个酒店。', '短评打分': 1}
{'短评内容': '酒店的环境还是比较不错，位置还是挺好找的但是出行不是太方便，服务还行吧，价格还是略高不过还可以接受。', '短评打分': 5}
{'短评内容': '房间不小，设施较新，停车方便，环境不错。早餐简单点，房间还没热风，睡觉有点冷', '短评打分': 3}
