{'短评内容': '挺不错的~不过宾馆附近在装修，晚上噪音实在有点大啊', '短评打分': 5}
{'短评内容': '说句实话，这个酒店性价比很高，干净，设施齐全，价格合理，出行也方便，唯一美中不足的就是街口修路，晚上有噪音', '短评打分': 5}
{'短评内容': '室内环境不错，希望路早日修好。', '短评打分': 3}
{'短评内容': '酒店还不错，就是目前最酒店门口道路施工', '短评打分': 3}
{'短评内容': '总体来说还不错，房间挺大的，就是卫生间有点小', '短评打分': 3}
{'短评内容': '干净、整洁、时尚、大气。。喜欢。但愿门前施工早点结束。', '短评打分': 5}
{'短评内容': '刚刚入住进来！房间一半！但是床还是很舒服地！总体还不错！', '短评打分': 3}
{'短评内容': '很干净，房间大，性价比不错，不过网上可以预定的房型不多。', '短评打分': 5}
{'短评内容': '还可以，不提供洗漱，价格贵，环境挺好的，对面就有饭店，交通便利。', '短评打分': 5}
{'短评内容': '酒店隔音效果不好，电视不清晰，容易看坏眼睛。其它的都很好', '短评打分': 5}
{'短评内容': '住着还不错。不过我分不出他家的2店和1店有什么区别。  估计住的房型一样所以是一样的。。。。', '短评打分': 5}
{'短评内容': '正好在这上面定了5次了 可以充话费了 vvvvv', '短评打分': 5}
{'短评内容': '梧州玫瑰湖大酒店>的评梧州玫瑰湖大酒店>的评梧州玫瑰湖大酒店>的评梧州玫瑰湖大酒店>的评梧州玫瑰湖大酒店>的评', '短评打分': 5}
{'短评内容': '   我孩子在东北师大附中考试 10日下午入住的 今天也就是11日中午12点就不让住了 太没道理了', '短评打分': 3}
{'短评内容': '入住过好几次了，感觉不错，就是服务不太周到，大床房B没有热水器', '短评打分': 5}
{'短评内容': '装修很好，干净清爽，热水这次也很给力~前台服务热情，就是隔音效果差了点，在房间里说话声音要是大了在门口就能听见。。不过总体还是很好的，适合年轻人居住', '短评打分': 5}
{'短评内容': '房间很大，也是头一次见到有酒店的窗户这么大，特别有家的感觉。就是房间里的毛巾和浴巾实在太破了。总体来说还是很好~', '短评打分': 5}
{'短评内容': '还不错的酒店  干净 床比较大 还算舒服  住过好几次了', '短评打分': 5}
{'短评内容': '还不错，房间够大，周边也很方便，下次还住', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '就房间跟酒店条件来说，算是不错的，面积至少有2个其他的快捷酒店大床房那么大，酒店的装饰跟房间的装饰就很温馨，更像是一个卧室的感觉。热水也不错，虽然是电热水器，一个人足够了。但是最让我郁闷的是酒店后面就是一所学校，每天一大早同学们早操的声音，震耳欲聋，如果是早上很早就出去了，不会有影响，如果想稍微睡下懒觉的话那简直太崩溃了。感觉房价更像是为情侣准备，套套啥的一应俱全。不过当然是要收费的。另外，牙具肥', '短评打分': 1}
{'短评内容': '房间比同标准的酒店大，设施还不错，值得推荐\n就是酒店正门前面的马路是土路，可能在修路吧，车经过时沙尘较明显', '短评打分': 5}
{'短评内容': '哎，破地放热水器还坏了，牙具还收费', '短评打分': 3}
{'短评内容': ' 不错！！！房间好大', '短评打分': 3}
{'短评内容': '酒店环境地理位置都不错，就是被褥不干净，还有食物污渍，因为不明是什么物质，作为食物污渍总没有那么恶心些，当时入住太晚也没心思让换了，还是影响了心情。希望改进！', '短评打分': 5}
{'短评内容': '还可以....就是附近在施工不太好..凑字数......', '短评打分': 5}
{'短评内容': '不错，就是贵点，房间很大', '短评打分': 3}
{'短评内容': '真的很不错·· 很干净而且很舒适··下次去长春还想去这里', '短评打分': 5}
{'短评内容': '其他的还不错，房间挺大，尤其前台的服务人员态度很好。就是两点不太理想：1、下午本来想休息下，但是保洁人员大下午的用吸尘器吸走廊，门还不隔音弄得我脑仁都疼。2、连个香皂都不提供还要论套收费，建议把香皂单独拿出来。', '短评打分': 5}
{'短评内容': '服务很好，很周到，房间很大，还有宽带，速度还不错，性价比高', '短评打分': 5}
{'短评内容': '酒店还算干净，服务一般,因为当时需要网络，没上去，叫服务员来的很慢', '短评打分': 5}
{'短评内容': '床非常非常之好。但装修稍嫌简单。总体说休息是很不错的。', '短评打分': 5}
{'短评内容': '这个酒店刚开业我就住过，这次来发现位置挪了，酒店房间环境还算可以，服务感觉实在是很一般，我去的比较早，前台小姑娘可能比较困，爱理不理的，郁闷。门市价比网上预订要贵10元，住了一晚上就想改成网上预订，已经和前台说过了，说是可以的，谁知道去办手续的时候，前台换了人，非得说是这样就必须换房间，我KAO，都是同样型号的房间，十分不明白为什么就得换，其他人就算也订了，难道连房号也订了，而且我还提前问过前台，', '短评打分': 1}
{'短评内容': '各方面都比较不错，干净、卫生、舒适，有机会一定会再去的', '短评打分': 5}
{'短评内容': '房间面积大服务好推荐入住', '短评打分': 3}
