{'短评内容': '是你！是我带', '短评打分': 5}
{'短评内容': '位置很不错', '短评打分': 4}
{'短评内容': '还不错，很划算', '短评打分': 5}
{'短评内容': '酒店位置一般，附近都在修路！无早餐！', '短评打分': 3}
{'短评内容': '环境很好，卫生很干净，交通超级方便 ，距离火车站超级近，这样出去耍的时候就很方便，酒店人员可以说是超级热情', '短评打分': 5}
{'短评内容': '一般般吧，不是很好', '短评打分': 5}
{'短评内容': '小卡片太多了，每次开门都没吓，还以为是什么掉下来', '短评打分': 5}
{'短评内容': '总体上还是可以的。', '短评打分': 4}
{'短评内容': '酒店算是性价比比较高的啦  在一个巷子里   比较安静   唯一觉得不太好的就是空调声音有点高  推荐', '短评打分': 5}
{'短评内容': '周边环境很安静，吃东西也很方便，好评！', '短评打分': 5}
{'短评内容': '酒店干净，周围也很清静，推荐入住.', '短评打分': 5}
{'短评内容': '房间卫生还是不错，周边交通比较方便，设备稍微旧了些，整体还是挺好的！', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 3}
{'短评内容': '条件还可以，经济型酒店', '短评打分': 3}
