{'短评内容': '位置好的，出行住住就这样子了', '短评打分': 4}
{'短评内容': '位置佳，海景美，服务好', '短评打分': 5}
{'短评内容': '很好，海景房的景色极美，服务热情', '短评打分': 5}
{'短评内容': '停车方便。酒店位置也很好。', '短评打分': 5}
{'短评内容': '石浦观景台宾馆，交通方便，住宿干净，整洁，价位实惠，附近商业设施也非常齐全，非常好，每次来都会住在这里。', '短评打分': 5}
{'短评内容': '不错，旁边就是海', '短评打分': 5}
{'短评内容': '性价比很高的酒店大堂气派位置很好', '短评打分': 5}
{'短评内容': '饭店设施很好，位置也好，海景房开窗就是码头，早上在房内就可以看到日出。马路对面可以免费停车，出门沿海堤走4站就到古城，晚上没有人气，第二天沿海堤开车15分钟到渔村也没有人气。', '短评打分': 5}
{'短评内容': '地理位置蛮好，出门就是码头 步行即可到达周边的海鲜排挡 只可惜我们到的时候是禁渔期 否则就可以海鲜大餐了 下次再去哦', '短评打分': 5}
{'短评内容': '家庭房，分开两间。十分不错，', '短评打分': 4}
{'短评内容': '宾馆位置很好，出门就是海边，遗憾的是没有看到日出，旁边就是海鲜街，吃饭很方便卫生还可以', '短评打分': 5}
{'短评内容': '酒店比较干净，出行方便，老板比较客气。', '短评打分': 3}
{'短评内容': '非常好!价格公道卫生非常好!', '短评打分': 3}
{'短评内容': '我的五十块返回的怎么没有，艺龙有点坑爹', '短评打分': 3}
{'短评内容': '小镇一般，酒店也一般', '短评打分': 3}
