{'短评内容': '在京东定酒店真的很便宜，这里很划算，含四张温泉票呢', '短评打分': 5}
{'短评内容': '不错，加油', '短评打分': 5}
{'短评内容': '不错，加油', '短评打分': 5}
{'短评内容': '房间太冷了，半夜冻醒和儿子抱团取暖，餐饮服务很到位，虽然有个小插曲，但是餐厅一位男经理处理得当，前台服务较差，态度冷漠无笑脸可言', '短评打分': 4}
{'短评内容': '酒店设施和内地城市三星级酒店差不多，房间稍微大一些，有道大堂都是透风的，早餐的笋烧的不错，含温泉票也已经可以接受了', '短评打分': 4}
{'短评内容': '旧', '短评打分': 1}
{'短评内容': '酒店年限较长，设施较为老旧，进入酒店房间有一个很重的发霉味，总体不是很满意。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '醉温泉还可以，房间节假期涨价幅度很大，服务没有跟上。大堂还行，房间的床很小，一个房间的水小的根本没法洗澡，前台电话标识都不对的，联系不上的，小孩早餐要收费，不太满意。', '短评打分': 2}
{'短评内容': '这个是测试', '短评打分': 4}
{'短评内容': '好、、、、、、、、、、', '短评打分': 5}
{'短评内容': '。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店设施陈旧了点，温泉还行', '短评打分': 5}
{'短评内容': '前台服务态度差', '短评打分': 4}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '之前来住的时候是华美达，现在就只是醉温泉了，酒店管理还不错，房间也ok，但是温泉感觉比之前管理差很多。', '短评打分': 5}
{'短评内容': '之前来住的时候是华美达，现在就只是醉温泉了，酒店管理还不错，房间也ok，但是温泉感觉比之前管理差很多。', '短评打分': 5}
{'短评内容': '之前来住的时候是华美达，现在就只是醉温泉了，酒店管理还不错，房间也ok，但是温泉感觉比之前管理差很多。', '短评打分': 5}
{'短评内容': '环境很好，卫生也不错已经是第二次入住了！', '短评打分': 5}
{'短评内容': '性价比超高的酒店套餐，送了二位温泉，大床房比较宽敞，500元的套餐超值', '短评打分': 5}
{'短评内容': '酒店服务态度还可以，就是忘了送水果，可后来提醒后补了', '短评打分': 3}
{'短评内容': '这是我第二次住该酒店，复式家庭房真的很不错哦，楼上是大床，楼下两间小床，电视也有两台，空调很给力，唯一的不足之处在于洗澡必须去楼上。对该酒店的设施及服务都很满意，泡温泉有车接送，早餐自助餐也非常好吃，吃了挺多的，非常愉快的旅途，以后还会去！', '短评打分': 5}
{'短评内容': '已经来过几次了，感觉不错！', '短评打分': 4}
{'短评内容': '很不错的酒店，离醉温泉很近，而且有专车接送。早餐也很丰富。以后会多次入住。主要是为了泡温泉哦~~~~~', '短评打分': 5}
{'短评内容': '不错，四星档次吧，赠送了2张温泉门票，不错', '短评打分': 5}
{'短评内容': '不错，四星档次吧，赠送了2张温泉门票，不错', '短评打分': 5}
{'短评内容': '酒店很大，管理比较规范，整体不错。但是如果考虑泡温泉的话一定要买含温泉的套餐，否则当场买就实在太贵了。温泉一般，不值238元的价格，就山顶的游泳池是亮点。', '短评打分': 5}
{'短评内容': '总体上不错，前台服务不错，比较周到；早餐在黄山也属于比较好的水平；而且酒店门口有到温泉的摆渡车。唯一的问题是离开市区稍远，出入叫车都不是很方便。', '短评打分': 5}
{'短评内容': '虽然有点偏，距离景区也很远，但是酒店的环境好，里面的设施也不错，房间宽敞，这样的酒店房价算公道。', '短评打分': 5}
{'短评内容': '酒店比较新，还有一股味道，建议过一段时间再入住', '短评打分': 1}
{'短评内容': '还不错 就是有点潮 还不错 就是有点潮 还不错 就是有点潮', '短评打分': 5}
{'短评内容': '还不错 就是潮点 还不错 就是潮点 还不错 就是潮点 还不错 就是潮点', '短评打分': 5}
{'短评内容': '看上去是正规的4星酒店。行政间宽敞舒适，窗外山景。送新鲜水果，温泉票。温泉户外SPA挺好，早餐品种也多。但是酒店管理还是需要改进。\n1.大堂服务人员找不到去温泉穿梭巴士司机，先说等5分钟，后说再等等，半小时后说司机另有任务不能来。\n2.去休闲中心足浴，被告知公布的标价是清水泡脚价格，加30元给药水和按摩油。\n3.没有投诉渠道，前台找经理投诉，经理不现身，在电话里问前台，客人是男是女。\n\n还有一些细', '短评打分': 5}
{'短评内容': '泡温泉倒是满方便的，只是酒店感觉是改建的，比一般的华美达系列档次低。早餐品种还算丰富～', '短评打分': 5}
{'短评内容': '酒店住着很舒服，早餐接近4星标准，地点稍偏一点，环境很好。在黄山市边上，距黄山景区南大门70多公里。离黄山机场很近，但机场服务很差，出租车虽然是官方（穿制服）管理的，却都不打表，到这个酒店张口就要50元，很欠管，也没人能管（至2012年6月仍是这样）。酒店要是有接送机服务就好了。', '短评打分': 5}
{'短评内容': '酒店设施不错服务好都来住吧', '短评打分': 3}
{'短评内容': '价格偏高，酒店环境还不错。就是对温泉失望了，不值这个价格。早餐很丰富。酒店离黄山一个小时', '短评打分': 5}
{'短评内容': '价格有点偏高，奔着温泉去的，发现就是室内游泳池，还以为有套餐里包括spa有点小失望呢。', '短评打分': 5}
{'短评内容': '住了两晚，感觉不错，早餐也还可以．温泉票子很实惠，比外面便宜许多，温泉很好，地方大，池子多，与老公一起享受了三个小时，真是尽兴！下次还来泡温泉住这里．', '短评打分': 5}
{'短评内容': '酒店房间偏小，地点偏，早餐质量差，房间墙壁发霉，大床房卫生间玻璃透明，没东西遮挡，垃圾的设计', '短评打分': 1}
{'短评内容': '该酒店位于黄山市区3号出口3公里处，交通便捷，地理位置得天独厚，酒店建有4栋楼，含有住房、餐饮、健身、温泉、按摩等项目，餐厅早餐也不错，住房配套的238元/张的温泉套票更使人享受爬山之后的放松感觉。', '短评打分': 5}
{'短评内容': '之前就去过一次，房间环境好，泡温泉也很方便，只是叫出租车不太容易，礼宾部总是想推荐宾客坐酒店的专用车，当然价格也贵一些而且不开票，这点做的不好', '短评打分': 5}
{'短评内容': '房间宽敞，白色的浴袍，还有贵妃椅，享受假期哦！', '短评打分': 5}
{'短评内容': '房间不错，但观光车服务跟不上。', '短评打分': 3}
{'短评内容': '酒店环境还行，但是图片里面的游泳池根本就不是酒店的游泳池，而是附近的醉温泉的图片，这个有点误导客人的，让我很失望。可能是因为节假日去的，性价比并不高，但是相对于爬黄山的劳累来说，还是要住好一点的酒店慰劳自己，至少有顿丰盛的早餐可以享用，否则黄山之行就只剩下疲惫和酸痛了。', '短评打分': 5}
{'短评内容': '房间乾凈但沒浴缸', '短评打分': 3}
{'短评内容': '离温泉只有500米距离，酒店前台订的温泉票可打折，可能是假期，早餐时人太多', '短评打分': 5}
{'短评内容': '环境不错，房间大小设施都可以，就是卫生间小了点', '短评打分': 3}
{'短评内容': '因为不在景区,所以找得有点困难。酒店招待很多泡温泉的团队客，入住结账都等很久。早餐好多人，品种到挺丰富的。房间里的设施很好，客人很多，原定的房型没了，给升级成复式的， 感觉很棒！ 正好两个人一人一层，互不干扰，有自己的空间。 总体来讲，服务和设施都很好。', '短评打分': 5}
{'短评内容': '酒店还行，免费升级了去套房，温泉的小鱼池需另收费的', '短评打分': 3}
{'短评内容': '還不錯套票挺划算有徽劇和溫泉和早餐690元行政房. 房間也不錯就是廁所太小了', '短评打分': 5}
{'短评内容': '很好，对得起这个价!!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '很好,下次还会去!', '短评打分': 3}
{'短评内容': ' 总体很超值，徽韵很好看，温泉也很赞。', '短评打分': 3}
{'短评内容': '酒店非常不错，离醉温泉四五百米路，很清静。周边的配套正在完善，就是不知为什么房间内水很小。', '短评打分': 5}
{'短评内容': '酒店非常好， 只是位置离市区有点远。 到了酒店因为没有我订的房间， 免费升级到套房。 免费的早餐还可以。', '短评打分': 5}
{'短评内容': '酒店都没有Standard的吗，还没去酒店打电话给总机问路，最少打了4次，还没说明白，有次还莫名其妙的挂我电话，转个电话也不知道转哪去了，最后还是自己打车去的。然后去了前台，Check in的时候，前台除了给我们房卡收钱之外，什么也没说，早餐退房时间，就连电梯都不知道在哪。希望可以改进。哎……', '短评打分': 1}
{'短评内容': '酒店不错，还有温泉票赠送，环境也不错，全家出行，挺满意的', '短评打分': 5}
{'短评内容': '酒店位置和设施均好，距离温泉很近且有观光车接送，值得肯定。\n', '短评打分': 5}
{'短评内容': '酒店位置很好，开车高速3号出口下来右转2、3公里就到了。房间很大宽敞，早餐很丰富，床也很舒服。我们住的房间打开窗户还可看到新安江，景色很美。温泉泡得很舒服，环境很棒，适合情侣家人度假。下次和朋友还会再来。', '短评打分': 5}
{'短评内容': '酒店比较旧，人很多，房价又高，温泉人太多了，很脏。价格完全不能跟他的房间质量成正比。再也不去住了。', '短评打分': 1}
{'短评内容': '房间的空调声音太大，就是不热，憋了一晚，第二天赶紧走，早上13个人碰面都说晚上冻死了，很难受。价格太高。', '短评打分': 1}
{'短评内容': '去黄山泡温泉很方便，温泉到酒店有专车，凭房卡买温泉票还有优惠，真的很不错，下次还会来', '短评打分': 5}
{'短评内容': '离温泉近。房间面积大。地理位置也不错.过年人太多了。。。', '短评打分': 5}
{'短评内容': '大年初二去的，外面下着雪，酒店非常繁忙，离醉温泉很近，温泉很好，但不能泡久，要是能每周去一次，更好。', '短评打分': 5}
{'短评内容': '房间很大，床很舒服，就是房间的空调声音太大，空调关掉还有一种嗡嗡的声音，很难受。价格高。', '短评打分': 1}
