{'短评内容': '有停车位，很贴心', '短评打分': 5}
{'短评内容': '交通很方便', '短评打分': 5}
{'短评内容': '价格交通方便', '短评打分': 5}
{'短评内容': '床够大，早餐能吃饱，没窗户。环境不错。', '短评打分': 5}
{'短评内容': '确实还不错，价格合理环境不错。早餐有点简陋，房间没有窗户，整体好评！', '短评打分': 5}
{'短评内容': '位置比较方便 ..................', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '价格挺贵的，比扬州市区的价格还要高！房间还不错，不过这个性价比就差太多了！而且房间还没有窗户，房间里面也没有吹风机！蚊子还多。。。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还不错，就是空调不算太好制热', '短评打分': 5}
{'短评内容': '还行吧还行吧还行吧还行吧还行吧还行吧还行吧！', '短评打分': 3}
{'短评内容': '感觉很满意，是住店首选，可惜今天回上海了。哈', '短评打分': 5}
{'短评内容': '2楼的火锅不错，原先有的免费早餐没有了有点遗憾', '短评打分': 4}
{'短评内容': '2楼的火锅不错，原先有的免费早餐没有了有点遗憾', '短评打分': 4}
{'短评内容': '总体还不错、就是有点棉絮之类的东西、让人不舒服！', '短评打分': 3}
