{'descr': '不错的挺好', 'star': 4}
{'descr': '还行性价比', 'star': 5}
{'descr': '空调是坏的，排气扇是坏的，房间的隔音效果特别不好，隔壁打呼噜都能听得清清楚楚，唯一好的就是位置，离地铁站很近。早餐没在那儿吃过，不知道怎么样。', 'star': 3}
{'descr': '性价比挺低的 宾馆内空气不好', 'star': 3}
{'descr': '隔音太美了，门关不严，外面还能看到屋里。如果没有其它选择可以接受，也可以先看下房间，再选择，交通倒是挺便利。', 'star': 4}
{'descr': '不错不错。就是早餐不行。隔音也不咋地', 'star': 1}
{'descr': '什么都没有   吹风机没有  抽水马桶坏的  空调坏的  免费给我住  也不会住了 第一次在携程订到这种房间。', 'star': 3}
{'descr': '设施很久了！卫生间排水不是很畅通！！！被子很久，看起来很脏！房间很暗……', 'star': 3}
{'descr': '房间设施真的很差，刚开始空调不行，阿姨上来搞半天，无线网不行，阿姨说是因为电视没开，结果电视开了又不行，协商换房间也不愿意。很失望的一次。', 'star': 3}
{'descr': '不错，很好', 'star': 3}
{'descr': '一般', 'star': 2}
{'descr': '一般', 'star': 2}
{'descr': '还不错，就是无线有点慢', 'star': 5}
{'descr': '还可以吧 挺好的！！', 'star': 3}
{'descr': '市中心，非常方便，前台很好，房间偏小，没有窗户，对于市中心来说，性价比还行吧', 'star': 5}
{'descr': '没窗房压抑，制度十分没人情味，晚上八点入住，第二天起晚，推后半小时退房也要多交钱。别的酒店可以延后一到两个小时。', 'star': 3}
{'descr': '新街口市中心，非常方便。交通吃住都很方便。', 'star': 5}
{'descr': '就在新街口市中心，非常方便。门面很小，不起眼。', 'star': 5}
{'descr': ' 住了两次都没窗户，房间挺大的，因为周日钟点房多等到6点才有房，这次收银员不错态度和蔼，比上次的好很多，不过酒店位置不错，房间也不错', 'star': 3}
{'descr': '情侣房没看出来有什么特色，到店了还没有房间…………', 'star': 1}
{'descr': '我是三点半的样子去的 到了那 竟然让我5点再过去 有人定钟点房了 还带这样的吗 既然我已经定了 怎么还给别人 我要是一两点就去了 让我去哪？？？？', 'star': 1}
{'descr': '不是很好，尤其是卫生间水量特小，感觉对不起那价格', 'star': 3}
{'descr': '位置很不错  就在新街口  逛街比较方便  但房间有点小  床比较大  但质量不好  睡着不舒服  不过这个价位 凑合吧', 'star': 5}
{'descr': '把标间换成了电脑房，房间无窗，床前没有台灯，有一大床一小床，觉得就是一家三口也够住了，还算比较安静', 'star': 3}
{'descr': '市中心很实惠,缺点是席梦思明显能感到弹簧。', 'star': 3}
{'descr': '酒店很不错，电视挺好的！', 'star': 3}
{'descr': '离新街口很近，今后出差到是很方便。房间很小，适合商旅人士。', 'star': 5}
{'descr': '很好很温馨，房间很小，但是很舒服，还有电脑，就是下水道有点不通', 'star': 5}
{'descr': '隔音不太好，摆设还行，房间灯光有些压抑，床有点短。', 'star': 5}
{'descr': '条件都挺好的，有电脑还有无线网，就是房间隔音效果不好，隔壁房间看电影的声音都听得到。。。', 'star': 5}
{'descr': '还好', 'star': 3}
{'descr': '＋房间挺大，位置很好，就在新街口，价格便宜，就是色调偏暗，适合中年人住', 'star': 3}
{'descr': '酒店挺好的,只是前台脸色有点不好,希望能改进', 'star': 5}
{'descr': '房间小，价格贵都不是问题。问题是房间在厨房旁边。吵死了。。。居然连油烟味都跑房间里了。。。', 'star': 1}
{'descr': '离地铁近，离市中心近，价格便宜，服务还行，性价比算高的！', 'star': 5}
{'descr': '价格合理，服务人员热情周到，整体水平还是不错的.', 'star': 5}
{'descr': '性价比很高，适合一般群体消费，价格适中住着舒适就好.', 'star': 5}
{'descr': '还可以吧111111111111111111111', 'star': 5}
{'descr': '酒店门面不是很好找，室内环境还算不错，空间小了点不过布局还可以.', 'star': 5}
{'descr': '地段好，在闹市区交通出行很便利，就是周边环境有点乱，其它各方面都还不错.', 'star': 5}
{'descr': '客房干净整洁，而且旁边就是商业中心，购物出行很方便.', 'star': 5}
{'descr': '＋房间还行，就是水很小', 'star': 3}
{'descr': '＋酒店卫生条件不错，前台服务很好。', 'star': 5}
{'descr': '地段很好，在新街口，但其它就不怎么样了，比较旧，卫生间又很小！', 'star': 1}
{'descr': '酒店除了位置在新街口好点外，其他都不行。房间超小，价格还不实惠，周日一早从6点就开始吵，休息都休息不好。肯定不会再住了', 'star': 1}
