{'短评内容': '老板人很不错，环境也很好。有几部就到古城了，很方便', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '卫生中下，价格中上，位置中上，设施中下，性价比五十分', '短评打分': 3}
{'短评内容': '环境很一般，只有几间房，热水来的很慢，床板硬，只是立南门比较近', '短评打分': 3}
{'短评内容': 'Weak wifi, bedsheets has moldy smell', '短评打分': 3}
{'短评内容': '房间很大，也很干净，在古城南门外，定的价格238，有点贵了', '短评打分': 3}
{'短评内容': '酒店离古城南门大约50米，洗澡水挺大，而且也热，就是房间有点儿潮湿，卫生也不错，除了价位有点儿高，其舍都不错，还是推荐入住的！', '短评打分': 3}
{'短评内容': '环境还不错，卫生和设施有待提高。', '短评打分': 4}
{'短评内容': '住3天到这里', '短评打分': 4}
{'短评内容': '位置在古城南门边方便，提供短程免费接送很厚道，价格合适，值得入住。', '短评打分': 5}
{'短评内容': '位置在古城南门附近，去古城很方便，店主热情，亲自开车接我们到客栈。房间干净，卫浴用品都是名牌产品，热水很冲，总之是个性价比很高的地方。', '短评打分': 5}
{'短评内容': '还可以就是贵了点', '短评打分': 3}
{'短评内容': '到店没房，也没有解决好', '短评打分': 3}
{'短评内容': '很好哦 客房很干净 木制的家俱一股古木的沉香 卫生间还提供了飘柔和强生的洗漱用品呢 PS下次还会光顾 老板是个大帅锅 哈哈', '短评打分': 5}
{'短评内容': '离古城很近，步行只要2分钟就到古城南门。酒店装修朴实温馨。价格也公道。顶一个！', '短评打分': 5}
{'短评内容': '客栈可以挺温馨，但是门前在修路，太难走了，呵呵。', '短评打分': 3}
