{'短评内容': '性价比算比较高了，住了很多次了', '短评打分': 5}
{'短评内容': '一般般吧，这个价格还是比较贵的，房间比较小，厕所也比较小，但是房间相对还是比较敞亮的，热水还没有试过，等等试试看', '短评打分': 4}
{'短评内容': '还行吧，房间不大周边比较热闹', '短评打分': 4}
{'短评内容': '环境不错，卫生干净，价格也实惠', '短评打分': 5}
{'短评内容': '房门和卫生间的门都无法关上或锁上，隔音效果真心不好，空调性能有问题，冷天吹出来是冷风而且声音太吵太吵了。酒店服务还可以，交通出行也很方便，不过相关设施真心需要完善一下啦！', '短评打分': 4}
{'短评内容': '特别垃圾的酒店，不会再入住第二次，服务的莫名其妙。', '短评打分': 1}
{'短评内容': '房间一般 比较老了 睡了一觉就走的 还算凑活 价格便宜', '短评打分': 5}
{'短评内容': '环境不错不错', '短评打分': 5}
{'短评内容': '酒店非常干净卫生，客服人员态度也非常好', '短评打分': 5}
{'短评内容': '地方还不错 把。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错，都还行', '短评打分': 5}
{'短评内容': '离地铁站很近，在居民小区内，吃饭出行都很方便。房间有点小，但是很温馨，样样俱全，不错，值得推荐！好！', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '总体还好，价格便宜，交通方便，房间还行，晚上还是比较安静的。就是服务有待改进，卫生间太小，还没有洗头膏，吹风机也没有。', '短评打分': 5}
{'短评内容': '很不错，舒心，实惠。', '短评打分': 5}
{'短评内容': '酒店位于居住区，总体来说还是不错的。推荐吧', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '将将就就', '短评打分': 2}
{'短评内容': '还不错，还不错，还不错，重要的事情说三遍', '短评打分': 5}
{'短评内容': '首先，停车不方便，再就是电梯等待时间太久，房间隔音效果不理想，但总体环境还可以！', '短评打分': 4}
