{'短评内容': '感觉还不错，就是设备老了点', '短评打分': 4}
{'短评内容': '地理位置好，客房干净而且安静，前台服务员热情，交通方便，旁边美食多多，十分满意，下次有机会再去入住。', '短评打分': 5}
{'短评内容': '环境不错，交通也很便利。', '短评打分': 5}
{'短评内容': '房间大', '短评打分': 5}
{'短评内容': '酒店还不错、推荐！', '短评打分': 5}
{'短评内容': '还可以 价格不算贵', '短评打分': 5}
{'短评内容': '不错房间很大', '短评打分': 5}
{'短评内容': '酒店内有KTV ，窗户的隔音和隔温较差，早餐档次低，不符合酒店定位。服务还不错！', '短评打分': 4}
{'短评内容': '酒店内有KTV ，窗户的隔音和隔温较差，早餐档次低，不符合酒店定位。服务还不错！', '短评打分': 4}
{'短评内容': '整體來說还是可以的', '短评打分': 4}
{'短评内容': 'wifi网速不錯，可惜沒有了有綫寛帶', '短评打分': 4}
{'短评内容': 'wifi网速不穩定，特別在浴室範圍', '短评打分': 4}
{'短评内容': '酒店整体还可以，只是毛巾等用品卫生情况不够', '短评打分': 4}
{'短评内容': '已经是第二次入住了，环境不错，比较安静，舒适，服务态度也很好！给赞一个！下次出差还会继续定这酒店。。。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '设施严重老化', '短评打分': 3}
{'短评内容': '酒店设施齐全，服务周到，周围出行方便。', '短评打分': 5}
{'短评内容': '酒店环境不错哈，4星的就是价格高点，房间还是挺好的，领导满意', '短评打分': 5}
{'短评内容': '下订单非常方便，酒店不错，满意', '短评打分': 5}
{'短评内容': '酒店房间大. 设备新. 住得舒适.\n可是有收费电影观看. 不小心按了看了不够15分钟就收了58元.看一天也是收58. 应该要有明显的收费提示。 年纪稍大的入住看不清也不了解很容易就按错观看.', '短评打分': 5}
{'短评内容': '房间很大很新，就是隔音稍差。', '短评打分': 3}
{'短评内容': '广州云丽大酒店房间宽敞，设施齐全。', '短评打分': 3}
{'短评内容': '酒店的床垫太不舒服了，你可以感觉下面的弹簧顶着你的腰的感觉。房间很大的霉臭味。早餐的很差。不会再住这个酒店了。', '短评打分': 1}
{'短评内容': '客人去广州旅行，给客人订的，我不太清楚，不过看大家评价挺好的！', '短评打分': 5}
{'短评内容': '新酒店，硬件设施不错，住着还比较舒服。人员管理和服务方面有待提升，但是总体还是不错，人员不是很专业，但是态度不错。', '短评打分': 5}
{'短评内容': '住了几次了，停车不太方便，酒店还是不错的，结账就超慢，20分钟还没查好房，不好！', '短评打分': 1}
{'短评内容': '酒店比较新，周边设施相当多，唯一遗憾的是价格高，性价比不行！', '短评打分': 1}
{'短评内容': '酒店很新 但楼下的酒吧超级贵州 早餐不够丰富 但收十八元 合理', '短评打分': 5}
{'短评内容': '房间条件不错，就是早餐有点晚，说的7点，到7点10分食品都没有上齐。', '短评打分': 5}
{'短评内容': '不错的酒店，房间宽敞，网速快速，床单很干净，值得推荐。', '短评打分': 5}
{'短评内容': '窗户打不开，房间还不错，床很大，暖气不足，睡了一晚被子还不暖', '短评打分': 5}
