{'短评内容': '停车可停放在蜈支洲岛乘船码头门口的临时停车场，不收费的，步行五至十分钟到酒店。这里唯一优点就是下门就是海边。但是毕竟是价格比较低的民宿，住宿环境与设施就与价格对号了……我家有点接受不了，我下次还是订酒店好了……附近村民很多小店做生意的，将就几餐问题不大，味道就因人而异了……我就是舍不得这么方便的海滩，在附近选了两家民宿，住了两晚～其实附近民宿水平都差不多,要是接受不了环境差，还是直接选蜈支洲岛上的', '短评打分': 4}
{'短评内容': '有蚊子，床铺很潮湿，环境很差，设施设备没有，感觉很不爽', '短评打分': 3}
{'短评内容': '还不错。 ', '短评打分': 5}
{'短评内容': '海边的民宿客栈，地点不好找，因为在村子里，众客栈之中。后面就是海，浪大可以冲浪。离码头也近，停车可以直接停到码头免费停车场。就是楼与楼之间间隔密集，网络信号不稳定。', '短评打分': 4}
{'短评内容': '出了后门就是大海这一点比较好，其他的都不怎么样', '短评打分': 4}
{'短评内容': '出门就是海，老板很热情。服务很好。', '短评打分': 5}
{'短评内容': '位置不错，方便，老板很热情', '短评打分': 5}
{'短评内容': '老板很热情，酒店位置很好，性价比高', '短评打分': 5}
{'短评内容': '旅馆，经常住酒店的不要去', '短评打分': 3}
{'短评内容': '没啥好评价的，反正这景点附近都是便宜没好货，好货不便宜，既然已经定了不能退了就硬着头皮住吧，反正就这样了，酒店设施图片就别信了，看看就行了。', '短评打分': 2}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '海景真心不错，海滩也很好耍，那个浪哦爽翻了，不过海边不是很干净，还有可能有玻璃片，地方环境不错，就是有点难找路，酒店的饭店真的像其他评论那样，不是很好吃', '短评打分': 5}
{'短评内容': '那里沙滩上有飞虫，咬了后奇痒，我们回来半个月了，大家都复发，奇痒无比。大家谨慎。', '短评打分': 4}
{'短评内容': '挺不错的酒店，老板服务挺热情的。就是我住的房间插座太少，烧个水就没法充电了，能充电了还只能充一部手机', '短评打分': 5}
{'短评内容': '胜在周边环境好，店家服务态度是很生硬的，完全没有热情可言。 我去年住这里，今年也住了，明年应该不会再选择这里了', '短评打分': 4}
