{'短评内容': '被单子稍微有点脏，不过还可以接受 电梯真像80年代的， 其他都还好 感觉价格贵了点', '短评打分': 5}
{'短评内容': '感觉还可以。就是厕所不好。很脏乱的感觉，房间还算好。 电视机果然真的只有4个频道。电脑着实的卡啊。不过好在价格还算可以看。', '短评打分': 5}
{'短评内容': '服务员态度不好。特别那天到的时候在大堂，估计是老板还是什么对着我大呼大叫的。除了去上海外滩，东方明珠方便外没有什么', '短评打分': 1}
{'短评内容': '离南京路不是太远，比较安静，服务态度还好。', '短评打分': 5}
{'短评内容': '电视只有三四个频道，而且非常糊，不推荐！', '短评打分': 1}
{'短评内容': '地脚很好，前台服务不错，虽在弄堂里，但是屋里环境还是可以的，家庭房很大，有30多平', '短评打分': 5}
{'短评内容': '看情况推荐；基本我的好朋友我是不会建议去，唯一值得推荐是，前台大叔和服务员态度好；空间还不是很小，但是就是连个放电脑的地方都没有，还有就是灯让人觉得很压抑不舒服；隔音不好，隔壁的唱歌还好只是哼唱还不到扰民；本来订了两天最后还是只住一天；上去的时候门不清楚怎么开，刚好遇见清洁阿姨让她帮忙开，问她说：“是不是钥匙问题，她居然说是我的问题；你就帮忙开就好了还口气不好的说是我的问题，一下子让我觉得有点火，', '短评打分': 1}
{'短评内容': '位置离南京路很近，所以适合经济型的游客，在步行街逛累了走几步就回去休息', '短评打分': 5}
{'短评内容': '优点是离外滩比较近，晚上可以逛到很晚，房间还不错，当时走的时候毛衣忘带了，还好扫地的阿姨打电话到前台通知。', '短评打分': 5}
{'短评内容': '设备很简陋，插头就一个，电视只能播放上海地方台的。半夜还有人到本人房间开门。', '短评打分': 1}
{'短评内容': '服务态度不错，床很小没网，房子有些旧，低处南京东路附近但不好找啊。', '短评打分': 1}
{'短评内容': '还可以，不是很吵，有窗户', '短评打分': 3}
{'短评内容': ' 条件一般，在南京路旁边这样的价格已经不错了', '短评打分': 3}
{'短评内容': '酒店位置非常好，房间也算是干净。非常适合我们这种对条件要求不是太高的学生。这个地段，这个条件，非常的实惠。意外的发现小小酒店竟然还有电梯，不错不错。当然，设施还是相对简陋了一些，电视只有3个台，两个不知所云的台，一个中央一套。卫生间的灯不知道为什么坏了。如果您是学生，选这里，没错的。', '短评打分': 5}
