{'短评内容': '位置不错，交通便利，服务周到，就是无线网络不太稳定。', '短评打分': 5}
{'短评内容': '看似挺大的一个酒店，位置也挺好，可惜酒店设施陈旧，生意不好。', '短评打分': 4}
{'短评内容': '酒店设施较陈旧，无线网根本联不上，唯一的优点是有早餐。最后离开时酒店停车居然还收费！！！', '短评打分': 3}
{'短评内容': '酒店太老了，设施都已老旧，门框都是酥的…服务员水平尚可', '短评打分': 3}
{'短评内容': '还不错。', '短评打分': 4}
{'短评内容': '还行！', '短评打分': 4}
{'短评内容': '都不能愉快的开房了 朋友这样说的', '短评打分': 3}
{'短评内容': '卫生比较差，房间设备损坏没修理。', '短评打分': 3}
{'短评内容': '干净，房间大，交通方便', '短评打分': 3}
{'短评内容': '房间比较陈旧  但是面积挺大的   早晨一般  能吃饱', '短评打分': 3}
{'短评内容': '设施陈旧，服务态度差，餐食品种少，网络速度极慢。', '短评打分': 1}
{'短评内容': '地段不错房间太陈旧', '短评打分': 3}
{'短评内容': '酒店挺大，房间也不小，就是设施有点旧，走廊里有点味道，', '短评打分': 3}
{'短评内容': '酒店环境很好，不错。', '短评打分': 3}
{'短评内容': '晚上到信阳，也没发现有太好的酒店，这家还可以吧。', '短评打分': 5}
{'短评内容': '酒店很大，当地顶级，房间很老，设施非常陈旧，也就是个二星的标准吧，如果办事在那住这就图个方便了！', '短评打分': 5}
{'短评内容': '房间大，大堂很气派，周边环境很好，但是由于酒店开业时间比较长，设施陈旧', '短评打分': 3}
{'短评内容': '酒店外观大气，环境还不错', '短评打分': 3}
{'短评内容': '条件还不错，设施也还行,就是离市区稍微远点。下次还来。', '短评打分': 5}
{'短评内容': '酒店卫生条件好，大厅气派，地理位置好，交通方便，但是早餐一般。', '短评打分': 5}
