{'短评内容': '不错，下次还来。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '新装修很好', '短评打分': 5}
{'短评内容': '酒店很好，位置方便，入住挺顺利，以后还会再次入住。', '短评打分': 5}
{'短评内容': '去打个麻将而已，没住那..没家里舒服', '短评打分': 5}
{'短评内容': '日式，赶路休息一晚没多体验', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '有地毯，但也有异味，希望改进。 插电插槽找了半天，需要改进', '短评打分': 3}
{'短评内容': '房间有桌小，不知道永康是不是出事了？晚上查房，早上再来一次，有点频繁', '短评打分': 5}
{'短评内容': '一直住这里，感觉不错', '短评打分': 5}
{'短评内容': '我都已经退房了为什么订单还没确认成功呢？', '短评打分': 4}
{'短评内容': '还可以吧，……', '短评打分': 4}
{'短评内容': '不太好，有点偏，房间小，布局不好，窗子开在厕所里，想透气闻臭气。早餐更是没东西，就两样主食，包子和粥。', '短评打分': 4}
