{'短评内容': '周边环境不错，内窗相当于无窗，隔音差～', '短评打分': 4}
{'短评内容': '酒店位置位于商业区 周围都是商城 楼下有麦当劳 很方便 对面马路就是祖庙地铁站 便宜方便', '短评打分': 5}
{'短评内容': '服务很周到', '短评打分': 5}
{'短评内容': '交通出行便利，商业街道繁华！', '短评打分': 5}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '各方面都还不错，服务态度也很好！', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '价格优惠 位置便利 房间还是很干净', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '隔音差点，WiFi速度较慢', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '方便快捷', '短评打分': 4}
{'短评内容': '位置极佳，酒店地处市中心，饮食/购物/交通便利，房间及物品整洁无异味，舒适安静，服务好。满意的住宿，下次还选住如家。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '酒店位置很好，很方便。', '短评打分': 5}
{'短评内容': '很好，位置非常好，很繁华的地方  前台服务还行，可惜只有他一个人，有点服务不过来  里面的设施还行吧，厕所布局不太喜欢，而且靠近走廊，不够隔音，会听到其他顾客的声音，不太舒服', '短评打分': 5}
{'短评内容': '价格有点贵，房间算可以了！', '短评打分': 4}
{'短评内容': '酒店环境不怎样，有点脏脏的感觉，被子床单有点潮湿…', '短评打分': 3}
{'短评内容': '酒店名称:如家快捷酒店（佛山百花广场店）', '短评打分': 5}
{'短评内容': '酒店名称:如家快捷酒店（佛山百花广场店）', '短评打分': 5}
{'短评内容': '住了两天半，便宜', '短评打分': 5}
{'短评内容': '整体还是比较满意的，就是没有窗户的房间有点潮湿，气味有点大。', '短评打分': 5}
{'短评内容': '地裡位子不錯 \n每次來佛山都住這間\n這次來時 外面在裝修有一點吵  ', '短评打分': 5}
{'短评内容': '比较干净，但价格稍微贵些，地段还可以，房间够大', '短评打分': 5}
{'短评内容': '非常方便！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '在写字楼上，也好，挺安静，繁华地段，祖庙地铁和公交站方便，离祖庙、什么寺也近，不是旅游，如果旅游，这里住方便', '短评打分': 5}
{'短评内容': '这家如家是间很不错的店，如果隔音效果再好些就OK了', '短评打分': 5}
{'短评内容': '这家如家是间很不错的店，地处闹市但是却很安静。卫生条件也不错，值得推荐。', '短评打分': 3}
{'短评内容': '地點, 交通和飲時方便 對面就是百花廣場 房間乾淨 ', '短评打分': 5}
{'短评内容': '主要就是交通方便啦，地铁和公交车站都很近，周围环境也不错。就是酒店的隔音效果差了点。总体还是很满意的。', '短评打分': 5}
{'短评内容': '还行吧，就是有点吵，卫生阿姨很负责任的。', '短评打分': 5}
{'短评内容': '有很大的洗手间，对于平价连锁酒店是一个不错的选择！！', '短评打分': 5}
{'短评内容': '早餐挺好的，但是就是房间没有窗户，很是郁闷呀', '短评打分': 5}
{'短评内容': '  隔音太差太差！有窗的。', '短评打分': 3}
{'短评内容': '比昨天那间房小点，还是很好的，前台小虎牙美女服务态度很好', '短评打分': 5}
{'短评内容': '5分酒店，位置好，交通便利，房间设施配套挺好，以前各地跑都是住莫泰，第一次住如家，从房间大小，卫生，床垫、床单、被褥，卫生间，前台服务，如家都比莫泰168强太多了，高一个档次，不明白如家为什么要收购那么个玩意儿', '短评打分': 5}
{'短评内容': '訂了一間有窗戶的房 蠻好的 房間也很大 乾淨', '短评打分': 5}
{'短评内容': '不是第一次住这家酒店了，地处繁华地带，但是不方便停车。', '短评打分': 5}
{'短评内容': '酒店还不错，挺干净舒服的，性价比还可以。而且近地铁口，挺方便的。', '短评打分': 5}
{'短评内容': '该店地理位子好,出门逛街方便,又在地铁进出口,酒店很干净,服务态度好,下次我再来一定住此店', '短评打分': 5}
{'短评内容': '地点还是很方便的，设施挺全的，就是服务前台的态度好像不是很好。', '短评打分': 5}
{'短评内容': '住的还不错，挨着祖庙，去逛很方便', '短评打分': 3}
{'短评内容': '早餐真得很好吃，特别是蛋挞。房间一般般拉', '短评打分': 5}
{'短评内容': '交通比较方便，房间空间也不错，卫生情况好，性价比还是可以的，就是近来在修路，出门比较脏、乱一些。', '短评打分': 5}
