{'短评内容': '一直以来住这个', '短评打分': 5}
{'短评内容': '有停车场', '短评打分': 5}
{'短评内容': '12年14年两次培训都入住这个酒店，共计住了小半年。已经很熟悉了，非常好！', '短评打分': 5}
{'短评内容': '長時間出差都住這裡。', '短评打分': 5}
{'短评内容': 'd\u2006j\u2006d\u2006j\u2006d', '短评打分': 5}
{'短评内容': '酒店环境可以', '短评打分': 5}
{'短评内容': '很不错，下次还会光顾', '短评打分': 5}
{'短评内容': '比较古色古香的酒店，很干净就是洗澡如果是玻璃房就好了，窗帘式的很容易弄湿滑跤', '短评打分': 5}
{'短评内容': '服务好，环境不错', '短评打分': 5}
{'短评内容': '房间位于一楼，窗户锁是坏的，卫生还可以，总体感觉比较旧', '短评打分': 3}
{'短评内容': '环境幽静！', '短评打分': 5}
{'短评内容': '早餐不错，品种丰富，质量好。房间稍旧，但是设施齐全。喜欢酒店的园林式环境，停车也很方便。卫生不错，服务员的态度需提高。每次来萧山会入住。', '短评打分': 3}
{'短评内容': '热水有点凉 ，前后不热情，越来越差了。', '短评打分': 3}
{'短评内容': '挺好的。', '短评打分': 5}
{'短评内容': '考试需要入住，硬件虽然不是太新，但总体上还算干净，房间里的点心味道不错，就是吃完了，需要花钱再买，呵呵！应该还是算是物有所值的，毕竟携程有些折扣。', '短评打分': 5}
{'短评内容': '酒店内的环境不错，很安静。只是早餐品种不多，别的都还可以。', '短评打分': 4}
{'短评内容': '住萧山的首选，环境幽静，房间设施也很好，下次再来', '短评打分': 5}
{'短评内容': '酒店虽然有些年头，但环镜真好，适合情侣旅游', '短评打分': 5}
{'短评内容': '帮朋友定的，好像还可以。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境不错，准4星标准，据说是财政局开的，就是周围不太繁华', '短评打分': 5}
{'短评内容': '小花园不错，房间也足够幽静，只是这么偏的地方性价比不高。', '短评打分': 5}
{'短评内容': '这家酒店实在是太偏了。到机场要40分钟哦。而且我们那天去的时候是晚上9点多了，房间安排的也不是我们要求的了，也许人太多了。那时我们被告知萧山出租车大罢工，不知道第二天早上有没有车去机场，哎，订错酒店了。', '短评打分': 1}
{'短评内容': '这个酒店真的很好，服务好，房间也好，性价比超级高。早餐特别的丰富', '短评打分': 5}
{'短评内容': '不错，院子很大，有个小花园满精致的，还养了很多八哥，挺有意思的', '短评打分': 5}
{'短评内容': '很好的酒店，服务不错，以后还会入住的，也会推荐给朋友', '短评打分': 5}
{'短评内容': '房间蛮干净，虽然是老宾馆但重新装修过了', '短评打分': 3}
{'短评内容': '很低碳，很漂亮的酒店。有了导航的指引，找到酒店自然不在话下。很喜欢酒店中间的那块像绿绒毯似的草坪，古色古香的长廊里那会说话的鸟宝宝也挺逗人的！酒店服务周到、温馨，很满意！', '短评打分': 5}
{'短评内容': '环境不错，卫生也很好\n\n房间隔音效果一般，前台服务人员态度有待改进哦', '短评打分': 5}
{'短评内容': '酒店环境还可以 就是三岁小孩早餐还要收费', '短评打分': 3}
{'短评内容': '房间有电脑，蛮干净的。有个院子，蚊子多。', '短评打分': 5}
{'短评内容': '第四次入住了。环境不错。院子很漂亮，房间设施很好，就是烟味较大', '短评打分': 5}
{'短评内容': '房间里面有电脑。不错的电脑！很干净，就比较偏僻了一点！到西湖不方便，但是到杭州南站非常的方便！！！挺不错的酒店，\n', '短评打分': 5}
{'短评内容': '条件不错，挺干净的，下次来杭州还住这里。', '短评打分': 5}
{'短评内容': '环境好,服务周到,早餐价格适中, 非常丰盛. 房间内设施配备齐全\n', '短评打分': 5}
{'短评内容': '价格实惠，环境很好，服务也不错，下次还会入住。', '短评打分': 5}
{'短评内容': '环境还好，价格实惠，可以推荐。', '短评打分': 3}
{'短评内容': '环境还可以，服务不怎么的，评价它一般般吧。', '短评打分': 3}
{'短评内容': '环境非常好，比较幽静,是帮朋友订的，朋友说绝对超值', '短评打分': 5}
{'短评内容': '酒店环境很好,性价比比较高\n引导看板比较多,比较好找', '短评打分': 5}
{'短评内容': '萧山的一家非常不错的酒店。四星标准。浴室里有很多东西。。和杭州的不太一样。。这个价格以后如果去萧山的话还会选择！', '短评打分': 5}
{'短评内容': '环境很好，在萧山算是不错的了。              ', '短评打分': 5}
{'短评内容': '\n酒店环境好\n周围配套都比较齐全\n性价比高', '短评打分': 3}
{'短评内容': ' 环境很好 后花园超美 性价比非常之高 还会光顾', '短评打分': 3}
{'短评内容': '房间比较舒适，性价比高。地理位置也不错，公交很方便。', '短评打分': 5}
{'短评内容': '环境很好，房间很干净，用具都是新的。只是地点有些偏。  总体来说很喜欢。', '短评打分': 5}
{'短评内容': ' 不错的酒店，就是网络太慢', '短评打分': 5}
{'短评内容': '住的是2楼的标间，地毯又旧又脏，不过床很舒服，房间内物品配备很全，还算对得起四星级的标准。房间比较大，还配备有一个大大的浴缸，很不错。卫生方面还需要加强。早餐挺不错的，房间含双早餐，38元每位的自助早餐挺丰盛的，这一点还是挺超值的，交通也很便利，出门不远就到了萧山汽车站。离杭州南站也不算远。总起来说性价比还是蛮高的，以后去还会住的。', '短评打分': 5}
{'短评内容': '整体环境较好，算得上五星级享受。性价比高，值得推荐。', '短评打分': 5}
{'短评内容': '环境非常好，早餐也非常丰富，房间很干净，超值！强烈推荐', '短评打分': 5}
{'短评内容': '酒店性价比很高。设施很齐全。很贴心。网速也可以。值得入住', '短评打分': 5}
{'短评内容': '物有所值，超值的服务，舒适的环境，非常好。但愿将来没有地球牛皮癣——高层建筑出现在它的周围。', '短评打分': 3}
{'短评内容': '物有所值，超值的服务，舒适的环境，非常好。但愿将来没有地球牛皮癣——高层建筑出现在它的周围。', '短评打分': 3}
{'短评内容': '还算是不错的说。', '短评打分': 5}
{'短评内容': '：很高兴的。物有所值！', '短评打分': 5}
{'短评内容': '环境不错，房间很舒服', '短评打分': 5}
{'短评内容': '酒店交通有点偏，但是环境很好，房间设施很完善，卫生很好！！', '短评打分': 5}
{'短评内容': '三星价格，四星享受，下次还来。早餐很不错啊，晚餐价格也适中，口味可以', '短评打分': 5}
{'短评内容': '比的上5星级的', '短评打分': 5}
{'短评内容': '就是电视机太破了', '短评打分': 5}
{'短评内容': '环境相当好', '短评打分': 5}
{'短评内容': '酒店式老品牌了，性价比相对比较高。就是服务员的水平一般，走道上迎面看到宾客也不打招呼，可能是接待贵宾多了，小宾客不在眼里了。早餐不错，比较丰富。唯一的缺点就是位置稍有点偏僻，没车就不太方便了。最好的就是酒店里的花园了，那几个鸟宝宝特别喜欢。', '短评打分': 5}
{'短评内容': '比较好，3星级的价钱，4星级的酒店，不过没车的话不方便', '短评打分': 5}
{'短评内容': '不错的酒店\r\n喜欢它里面的花园\r\n还有花园里的鸟\r\n鸟语花香，床也挺软的\r\n下次还会来', '短评打分': 3}
{'短评内容': '很有性价比的酒店\r\n旁边就是红灯区\r\n各项设施都不错\r\n花园很赞', '短评打分': 5}
{'短评内容': '虽然没有星级，但无论是硬件还是软件，都可以达到4星级以上的水平。唯一的缺点是距离杭州市区太远，交通不是很方便。', '短评打分': 5}
{'短评内容': '环境不错，早餐也可以，值得推荐', '短评打分': 5}
{'短评内容': '300快的房间比萧山所有的4星级的宾馆都好，就是出租车有点不方便，但是房间真的舒服，每星期都会去一次，其他地方都不想去了', '短评打分': 5}
{'短评内容': '还不错了，性价比挺高，离机场挺近的，下次来还会住在这里', '短评打分': 3}
{'短评内容': '很安静的酒店，中间有个小花园，感觉挺不错的。\r\n房间设施还不错，赠送小橘子、苹果、饼干、糖果、矿泉水。\r\n前台服务业还好，挺热情的。', '短评打分': 5}
