{'短评内容': '价廉物不美，首先他们这没有什么豪华标间208元，只有标间158，却在网上说什么豪华间五折，一问还振振有词，说价格便宜，我们无理取闹要豪华间，呵呵，这不是欺骗消费者么，其次，服务态度差，付过钱了，来了要住说没订单，交完押金才勉强让入住，才住那，就邦邦邦敲门，非要再看一眼付款凭证，而且洗个澡吧，水一会热一会凉，根本不稳定，很容易感冒，早知道这样，我情愿加钱换一家。劝各位要住的慎重考虑，不要图便宜！不过', '短评打分': 2}
{'短评内容': '环境非常差，床单都是脏的，wifi也很慢，迄今为止住过最差的酒店，，，', '短评打分': 2}
{'短评内容': '差评差评差评，住过最差的宾馆都比这个传说中的酒店好，就这地方都能叫酒店，呵呵。床单是脏的，服务又差，让换个床单服务员还摆脸色，也就呵呵了。', '短评打分': 1}
{'短评内容': '条件简陋，环境也很差！！！！！！！！！！！总的来说就是一个差！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '挺好的，物美价廉，就是有点旧了，房间也挺大的，卫生还可以', '短评打分': 5}
{'短评内容': '帮朋友订的，她说感觉可以比旁边儿的那家家园假期好很多', '短评打分': 4}
{'短评内容': '房间味道很重，而且很旧', '短评打分': 1}
{'短评内容': ' 周围可能比较吵，不过还好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '环境不错，干净卫生，交通也便捷', '短评打分': 5}
{'短评内容': '就是有点吵   酒吧一条街  服务态度好', '短评打分': 3}
{'短评内容': '怎么说呢，  第一天去的时候 前台的态度一点都不好，网上订的怎么了？一种很看不起网上订的感觉  一进门 宾馆里有点臭臭的味道 周边环境真的太差了！全是酒吧KTV 半夜4点都有人在唱歌  还有宾馆的卫生 天哪！ 厕所的 地面上墙上好多灰 角落里也是脏的东西  房间里连个凳子都没有  第一天住的时候水龙头还是坏的往外呲水 弄的满身都是    门感觉好不安全 一推是动的，半夜外面有什么动静全能听见  好', '短评打分': 2}
{'短评内容': '酒店蛮舒服的，老板人很好，值得推荐', '短评打分': 5}
{'短评内容': '卫生太差劲了真心不想说床单都是脏的，睡不着，路边又吵，后悔死了', '短评打分': 2}
{'短评内容': '简陋，太吵，晚上旁边ktv吵到半夜。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '空调等于没有效果  环境不好。感觉不值。就是这些。', '短评打分': 1}
{'短评内容': '房间面积很大，交通便利。', '短评打分': 3}
{'短评内容': '卫生太脏，设施太差太简陋，小强满地跑，不值158元。我一大早就退房，下次坚决不定汇城酒店。', '短评打分': 3}
{'短评内容': '还算干净…就是东西年成久了…有点破破的…特别是地板', '短评打分': 3}
{'短评内容': '一般  有很多酒吧 很热闹  总的来说 还挺好的', '短评打分': 5}
{'短评内容': '地理位置尚好，酒店环境一般！', '短评打分': 3}
{'短评内容': '房间没有安全感  房间异味儿较重 设施一般  吃饭比较方便   一个人不推荐住', '短评打分': 3}
{'短评内容': '环境不是很好，比较陈旧，楼下KTV噪音严重，不是很舒服，', '短评打分': 1}
{'短评内容': '酒店位置很吵，楼下都是ktv酒吧，临一环路。\n看上去卫生程度一般，同等价位同地段还有7天啊凯宾啊之类的，不推荐这家。\n唯一的好处是交通便利。', '短评打分': 1}
{'短评内容': 'KTV很吵。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '性价比比较高，交通比较方便，总的来说不错', '短评打分': 3}
{'短评内容': '比较满意，性价比比较高，附近交通也比较方便', '短评打分': 5}
{'短评内容': ':不推荐此店。1、卫生还可以,但有“小强”列队迎宾。2、噪音太大,楼上歌厅鼓声振得心慌,夜里一点多还吵得无法睡觉。', '短评打分': 5}
{'短评内容': '酒店比较经济实惠，位置很好，出行很方便，服务卫生也还可以。', '短评打分': 5}
{'短评内容': '位置很好，出行很方便，房间挺大，挺干净，感觉挺舒适。', '短评打分': 5}
{'短评内容': '标间床大，干净。厕所小隔音不好。网速200多，可以。', '短评打分': 5}
{'短评内容': '卫生挺好，房间挺干净，硬件设施也不错，服务也挺周到，住的挺满意。', '短评打分': 5}
{'短评内容': '酒店周边挺繁华，吃饭购物娱乐都很方便，内部环境也不错，价格也不算贵。', '短评打分': 5}
{'短评内容': '酒店位于繁华地带，交通购物很便利。这点挺好。', '短评打分': 5}
{'短评内容': '电视太小了', '短评打分': 5}
{'短评内容': '位于繁华地带,周边购物餐饮挺多的,交通也挺便利的.', '短评打分': 5}
{'短评内容': '位置位于九眼桥，要是喜欢K歌和喜欢酒吧的朋友是个不错的选择。房间是之前的单身公寓改装的，房间和对外的出租办公间在一起。感觉环境很乱，晚上外面声音很吵。\r\n价位非常的便宜，另外按着川大和川音，周边吃饭的地方也多', '短评打分': 1}
{'短评内容': '干净卫生服务好！', '短评打分': 5}
{'短评内容': '这家酒店不是很好,硬件设施还可以,服务很麻烦,叫半天才来人,交通方便.', '短评打分': 3}
{'短评内容': '除了位置好一点,酒吧街好望角广场,其他都不满意,房间连个电话线也没有,找服务员要跑下楼,要不是那阵子酒店紧张,打死也不住那里.', '短评打分': 1}
