{'短评内容': '不知道好不好，帮别人订的', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '总体还行', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '总的来说还可以', '短评打分': 4}
{'短评内容': '酒店距离招标中心一步之遥，办事非常方便', '短评打分': 5}
{'短评内容': '住的是标间，房间超大，空间感很好，酒店前台服务态度很好，客房服务员素质很高，酒店用品很干净，酒店附近吃很方便，特别是鸭肠王自助餐超划算，29元的自助餐，超多火锅食物可选，过瘾，购物更方便，离黄河、大莹、富民服装、童装城、女人街就是几分钟的路程，对购物者来说，是最好的入住酒店酒店旁边是医院，酒店交通方便，在主要交通道旁，下次到虎门肯定选这家酒店。', '短评打分': 5}
{'短评内容': '环境 服务都不错', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '还不错。    ', '短评打分': 4}
{'短评内容': '要求1点退房，太坑了，推迟一小时加了20块。', '短评打分': 3}
{'短评内容': '酒店环境非常一般，大床房窗户正对着健身房。有点吵，走廊的人说话像扩音器一样，旁边房间的说话叫床声就像在身边一样。还好就一个字，便宜。', '短评打分': 3}
{'短评内容': '总体环境还可以 就是不是很好找', '短评打分': 5}
{'短评内容': '干净，卫生，环境不错', '短评打分': 5}
{'短评内容': '1、整个酒店都是浓厚的空气清新剂味道，极其浓厚，包括走廊与房间；\n2、原先是预定5楼，179元，结果到店后，5楼没有房间，给了我4楼房间，4楼房间是158元，并没有给我退差价。\n3、我是晚上8点20分入住，晚上9点47分退房，仅仅1个小时半就退房，要能凑合住，谁愿意大半夜的退房间？1个小时半里头，前40分钟是打开房间窗户透气，看是否能改善一下凑合住，后50分钟基本就是在打电话找附近的其它酒店。', '短评打分': 1}
