{'短评内容': '交通方便。周邊有步行街，沃爾瑪，飲食起居方便。', '短评打分': 5}
{'短评内容': '还行吧，房间比较大，设施比较久了', '短评打分': 4}
{'短评内容': '还行吧，价格实惠，交通方便', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '下水道好差，厕所又堵', '短评打分': 2}
{'短评内容': '价格便宜，周边环境不错，紧邻沃尔玛，但是房间wifi太差，几乎完全不能用', '短评打分': 4}
{'短评内容': '也就这样吧，卫生和房间大小，都挺好的，房间的设施有些旧，窗户隔音效果一般般，电视还是以前那种老旧的电视，画面都不清晰，最主要的是空调没有暖气，携程上没有标注，到店后前台服务人员才告知，冷的话可以加被子', '短评打分': 4}
{'短评内容': '附近有沃爾瑪商場，西鄉汽車客運站，寶安大道從酒店門前過，晚上附近還有步行街，有許多小吃可以品嘗。', '短评打分': 5}
{'短评内容': '交通方便，飲食，購物也非常方便。', '短评打分': 5}
{'短评内容': '厕所马桶不行，花洒水太小，其他还行', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '地理位置比较方便，在西乡客运站和西乡地铁站附近。酒店设施比较破旧，卫生条件差，有异味', '短评打分': 4}
{'短评内容': '房间味道有点重，门卡有点难开，其他还好', '短评打分': 4}
{'短评内容': '酒店有霉味，值得改进', '短评打分': 4}
{'短评内容': '非常好的服务和环境，下次还会再来！！！', '短评打分': 5}
{'短评内容': '交通、餐饮都很方便，\n工作平台很适用，\n很整洁，舒适！', '短评打分': 5}
