{'短评内容': '宝贝很好！！！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '还好就是那天过去电梯用不了爬了5楼', '短评打分': 5}
{'短评内容': '酒店还可以，服务也客气，主要是住的舒服。但WiFi不好经常断网', '短评打分': 5}
{'短评内容': '就是附近不方便，没什么吃饭地方', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店设施一般，有点旧，但是房间比较大，服务员态度好！', '短评打分': 4}
{'短评内容': '嗯，住过几次，不错', '短评打分': 5}
{'短评内容': '相对韶关房价比较不值这个价钱.', '短评打分': 5}
{'短评内容': '还行，性价比高', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '还不错，可惜面对着路边，吵死了，睡不好，窗帘也不是遮光布，太光了，不好睡，房间也比较小，这个价格，好像只是一般般罢了。', '短评打分': 3}
{'短评内容': '房间不错，只是那个水箱的声音太大了', '短评打分': 4}
{'短评内容': '酒店不错，停车为不多。', '短评打分': 5}
{'短评内容': '不错的酒店，', '短评打分': 5}
{'短评内容': '图方便就在这里住，在路边比较吵，配置也一般。不过服务态度很好，吃饭也方便。', '短评打分': 4}
{'短评内容': '环境不错，挺喜欢', '短评打分': 5}
{'短评内容': '小了一点，但是该有的都有，WIFI很给力，适合商务出差。', '短评打分': 3}
{'短评内容': '地点虽然离市中心有点远，但酒店服务与质量算从性价比来说非常好，酒店比较新，希望以后也能保持。', '短评打分': 5}
{'短评内容': '1、前台服务不错  2、房间大、简洁，有个很大的落地窗, 光线很足；3、大堂有个公共电脑上网, 让我觉得很人性化; 4、到市区打车大概要10分钟左右, 5、大堂都有无线网，房间却是宽带，建议酒店可以在房间安装无线网。比我之前住得酒店好.价格也实惠，值得推荐。', '短评打分': 5}
{'短评内容': '前台服务很细心，知道我不了解周边的地方后主动打印地图给我，服务很到位，房间很宽敞、简洁，酒店新开了没多久，各方面的设施设备都新，蛮不错的，晚上睡觉很安静，二楼正好有间餐馆，蛮方便，大堂还有部电脑专门给客人上网查询，非常贴心，唯一不足的就是没有停车场，不过还好有停车位，下次来韶关还是选择这家酒店。', '短评打分': 5}
