{'descr': '卫生差 设备差', 'star': 2}
{'descr': 'Wi-Fi信号弱，苹果手机一晚上不能连接，其他都还好，不错', 'star': 4}
{'descr': '没有停车位，周边停车的地方太贵。', 'star': 4}
{'descr': '还好吧，就是隔音差', 'star': 4}
{'descr': '非常垃圾的一个酒店，在携程上定比到店定更贵，酒店环境也很差，厕所差，床差，和招待所差不多，不会再来这酒店了，也不会推荐朋友来。', 'star': 1}
{'descr': '哈哈哈哈哈哈哈哈，好好啊好', 'star': 5}
{'descr': '环境不清楚  可能是前台小哥太负责了     我也是醉了', 'star': 2}
{'descr': '挺方便的，总体还可以。价格不贵', 'star': 5}
{'descr': '地点佳，老板人很好，价格也不高', 'star': 4}
{'descr': '设施太老旧了，只能将就过！', 'star': 4}
{'descr': '还不错，周边有公交站离地铁也不远。', 'star': 5}
{'descr': '挺好的一次', 'star': 5}
{'descr': '设施太老旧了，位置好，服务还好', 'star': 4}
{'descr': '说心里话，这家酒店环境卫生一般，电梯还坏了，服务还不错，挺热心的', 'star': 4}
{'descr': '位置好，设施有些老了。干净', 'star': 4}
{'descr': '性价比不错，第二次入住', 'star': 5}
{'descr': '位置优越，出行方便。', 'star': 4}
{'descr': '常住，还是蛮干净的', 'star': 4}
{'descr': '酒店位置和服务都非常好，但是设施十分陈旧，卫生堪忧，卫生间墙上和吹风机上有大面积淡红色不明物体。推门进去，气味难闻，好像没用除臭地漏。', 'star': 3}
{'descr': '条件一般，价格很贵', 'star': 3}
{'descr': '条件一般，价格很贵', 'star': 3}
{'descr': '真的不错，我喜欢', 'star': 5}
{'descr': '还在住，不错。', 'star': 5}
{'descr': '还可以，房间太小了。', 'star': 5}
{'descr': '真的是实惠，房间很干净，交通也挺便利，希望能经常有这样的优惠房！', 'star': 5}
{'descr': '酒店设施稍微有些陈旧 去的时候正好在换空调 早上稍微有些吵  街对面还有一家汉庭 设施新一些 大概贵个20左右吧', 'star': 5}
{'descr': '一条马路上两家汉庭,清明酒店紧张订这儿的', 'star': 3}
{'descr': '交通方便、服务热情、设施完善、住的温馨。\n', 'star': 5}
{'descr': '房间很大，但个人的感觉  室内装修有点陈旧\n 前台服务很好，', 'star': 5}
{'descr': '前台服务人员态度挺好的，不过我住的特价房，面积好小，以前从来没遇到过汉庭还有这么小的房间。水温不好调。', 'star': 5}
{'descr': '环境好，十分干净，服务态度很好，房间很大，需求能够及时满足', 'star': 5}
{'descr': '这家店很好啊，就是我朋友帮我过生日吵到了隔壁房的主人，有点歉意！！！！服务啊什么的都满好的啊！', 'star': 5}
{'descr': '很不错  后面一条街就是酒吧街  离拙政园和平江路也不远。房间很好 床很大。', 'star': 5}
{'descr': '是我住过的所有汉庭酒店中，房间最大的，也是最差的。房间墙壁斑驳，一进门就一股洗手间的味道，把窗户打开，12个小时后回来还是那股味道，真令人崩溃！！所谓收费停车场，是一个很小很小的地下停车位，建议车技不好的，还是不要考虑了。报销停车费也是报销10块钱，另外自己付10块钱。而且酒店处于古城区，相当难打出租车。下次到苏州不会选这里，以前对汉庭的印象一直不错，这次对其相当失望。', 'star': 1}
{'descr': '现在酒店天台在装修，很吵。这个可以原谅。但是6楼的房间，厕所那股味道，实在是受不了，183的价格，住这样一间大床房，非常不值得。不过床是非常的大。', 'star': 1}
{'descr': '干净整洁，出行方便，服务规范，总体均较好。但所住房间无窗户，稍有点不习惯。', 'star': 5}
{'descr': '房间墙壁很脏, 空调室外机声音很大, 轰隆轰隆的, 本来在这个酒店订了一个星期的房间, 实在没有办法住下去,最后换了汉庭', 'star': 1}
{'descr': '我住的是99元的特价房, 还可以. 位置不错, 出门方便', 'star': 5}
{'descr': '挺好的。可以选择，地理位置也还好。服务态度也很好！推荐！', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '虽然没有窗户，但是空间还是比较大的，而且通风还不错！', 'star': 5}
{'descr': '＋汉庭酒店非常好，各项设施都很不错。', 'star': 3}
{'descr': '还不错.交通方便', 'star': 3}
{'descr': '很干净 ，住的是假日百元房，意料之外个干净，服务很好，交通方便，下次如有机会还会选择入住', 'star': 5}
{'descr': '床很大,两米的,房间挺大,有二十个平方吧,卫生间带吹风,很方便', 'star': 3}
{'descr': '床很大,两米的,房间大,有二十个平方吧,卫生间带吹风,很方便,价格也实惠', 'star': 3}
