{'descr': '不错 ，挺干净的！服务也比较周到', 'star': 5}
{'descr': '帮家人来京订房，反映尚可。', 'star': 5}
{'descr': '感觉还可以。', 'star': 5}
{'descr': '很不错，就是不太好找', 'star': 5}
{'descr': '适合一人入住，地理位置不错', 'star': 5}
{'descr': '服务态度挺好的，位置还可以，主要是很便宜', 'star': 5}
{'descr': '还行吧，位置可以，房间味道很重', 'star': 5}
{'descr': '早餐不错，很实惠', 'star': 4}
{'descr': '房间不错', 'star': 5}
{'descr': '物超所值，非常满意。', 'star': 5}
{'descr': '服务态度好，环境一般。好评', 'star': 5}
{'descr': '服务很好', 'star': 4}
{'descr': '这个地方住房环境跟其他的酒店对比是最好的最实惠的。价格不高交通还便捷，唯一有一个不好的就是酒店的入口但是这个丝毫不影响酒店的住宿，极力推荐！', 'star': 5}
{'descr': '好', 'star': 4}
{'descr': '环境舒适，出行便捷', 'star': 5}
{'descr': '环境还可以', 'star': 3}
{'descr': '这门口入口有些老旧整体还是不错的 里面的设施什么还是很可以的 价格对比也很实惠是可以选择的！还有就是服务员的服务态度非常好', 'star': 5}
{'descr': '环境还不错就是房间小了点通风差', 'star': 5}
{'descr': '房间干净整洁 很舒服 如家一直不错', 'star': 5}
{'descr': '周边环境很好，离南锣鼓巷很近', 'star': 5}
{'descr': '地理位置不错，隔音比较差', 'star': 4}
{'descr': '距离地铁站较远，但是门口就是公交车。 周边南锣鼓巷，什刹海都很近，有很多好吃的~ 卫生感觉也不错的*o*', 'star': 5}
{'descr': '考试住到这边的，很干净，离地铁口有一段距离，但是出门就是公交站牌。离南锣鼓巷也很近，跟朋友考完试玩儿的也很欢实~', 'star': 5}
{'descr': '服务不错，明天还给收拾房间', 'star': 5}
{'descr': ' 房间很挤。一楼根本没法睡觉，服务员半夜在那边聊天，一晚上被吵醒很多次。卫生间的味道蛮屋子都是', 'star': 3}
{'descr': '当时是去考普通话所以定了这家酒店，挺安静的，设施齐全，服务到位', 'star': 5}
{'descr': '地点一般，虽然是在市区，但是交通不是很方便。酒店在个巷子里面，门口是个市场，感觉不是很安全似的。房间非常小，而且还有很多放小卡片的，感觉不好。', 'star': 1}
{'descr': '推荐是因为离故宫也好，簋街也好，后海也好，都很近，而且交通比较方便，但是住的周边环境不算太好，门口特别脏，夏天会比较臭，感觉好像是饭店的后门。。有很多污水。。臭臭的，不过内部还算是比较干净了，分2号楼和3号楼，朋友多的话可能不会被安排到一个楼上。还有就是，沐浴液没有了，打扫客房的居然都不知道。。。后面的房间有点潮湿。对潮湿比较敏感的朋友要注意下咯，被褥会明显感觉到潮潮的。不过总体的性价比还是可以的', 'star': 5}
{'descr': '房间设施比较简陋，住进去感觉不方便，酒店所在的位置不好找，到房间需要拐上几个弯。', 'star': 1}
{'descr': ' 服务还不错。环境交通方便。', 'star': 3}
{'descr': '前台服务态度比较好，房间比较阴，本人风湿，特意更换朝阳2楼的房间。', 'star': 5}
{'descr': '不错，就是打车不方便', 'star': 3}
{'descr': '很好！酒店服务人员很热情！！！交通也方便！性价比很高', 'star': 5}
{'descr': '墙壁和床单的颜色都很温馨 客房服务员面带笑容  会主动打招呼  服务不错', 'star': 5}
{'descr': ' 室内环境干净整洁 室外有点乱', 'star': 3}
{'descr': '很方便 门口是水果市场', 'star': 3}
{'descr': '屋子小而精致，有好几个楼，做的安全措施很好，比如刷卡进门什么的。床躺上去会有声音。。。楼道隔音效果不是很强。。。。', 'star': 5}
{'descr': '地理位置不错，离地铁站挺近，但周边环境太差，在一菜市场里   房间太小   隔音太差   旁边一字一句听的很清楚', 'star': 3}
{'descr': ' 交道口的如家位置很好！就是房间有点小啊！', 'star': 3}
{'descr': '干净 方便 快捷 离哪儿都近，挺好！干净 方便 快捷 离哪儿都近，挺好！', 'star': 5}
{'descr': '隔音效果很差，单间很小，可选房型太少。不太推荐入住。', 'star': 1}
{'descr': '酒店处在内环中心，方便去天安门广场，故宫和王府井购物街。服务不错。', 'star': 5}
{'descr': '很一般，小广告还很多，发了还敲门，下午要休息的话别定', 'star': 3}
{'descr': '当时住的一楼，觉得比较吵，外面的声音听得比较清楚。同等价位下环境应该更好一些', 'star': 1}
{'descr': '  地理位置不错  地理位置不错  地理位置不错', 'star': 5}
{'descr': '床和卫生间都很大很舒服，喜欢彩色房间设计，整体很干净，就是没有窗户比较闷', 'star': 3}
{'descr': '服务细致周到，有连锁酒店的风范，床铺整齐干净，一切都还不错。\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '不错 价格公道 位置也好 在簋街附近  去玩也方便', 'star': 5}
{'descr': '服务细致周到，有连锁酒店的风范，床铺整齐干净，一切都还不错。', 'star': 5}
{'descr': '挺好的 毕竟是连锁酒店 可是会有人塞一些乱七八糟的名片到屋里不知道怎么进来的 还有就是入口乱七八糟的全是小贩', 'star': 5}
{'descr': '价格贵房间小早餐不好吃', 'star': 3}
{'descr': '还不错 周围挺方便的', 'star': 3}
{'descr': '房间太小，服务态度不好。', 'star': 3}
{'descr': '特指无窗大床房：房间狭小、床舒适度一般、浴巾和马桶上有头发，隔音相当不好一整夜无数次被吵醒。\n酒店地理位置很好周边配套设施齐全，不看细节房间大致干净整洁很像新装修的。\n下次一定不会再住无窗的一层房间！', 'star': 5}
{'descr': '宾馆很舒服，也很干净。很好。每天都有人去打扫。态度也很好。', 'star': 5}
{'descr': '房间不错，安静干净！', 'star': 3}
