{'descr': '很不错的哦', 'star': 5}
{'descr': '很生气的一次', 'star': 1}
{'descr': '酒店位置可以，出行方便', 'star': 4}
{'descr': '挺好', 'star': 5}
{'descr': '房间不大，但是挺干净的', 'star': 5}
{'descr': '蛮干净的   隔音也不错', 'star': 5}
{'descr': '环境不错，服务态度好，离出差公司距离刚好。', 'star': 5}
{'descr': '位置很好，到其它景点方便。', 'star': 5}
{'descr': '房间蛮不错的  挺好的  携程价格也不错 ', 'star': 5}
{'descr': '价格实惠，就是有点霉味', 'star': 4}
{'descr': '卫生间设施太简便了', 'star': 4}
{'descr': '周边设施齐全，而且出行交通方便', 'star': 5}
{'descr': '位置挺好，靠近地铁站，就是比较吵', 'star': 5}
{'descr': '还可以吧还可以吧！!', 'star': 5}
{'descr': '还可以吧还可以吧还可以', 'star': 5}
{'descr': '环境很好，值得下次再来！！！！！！！', 'star': 5}
{'descr': '现住了一晚，觉着还行，就又续订一晚，交通挺方便的', 'star': 5}
{'descr': '酒店位置挺好找的，因为带着儿子，我预订的是1+2房，但进入房间时发现少一张床，前台竟不知道，工作人员解释是其他房间床坏了，暂时拿走了，没通知前台，折腾半天又给搬了张。也许是在网上订了，留的房间就是一楼，很潮的，南方好像都这样，不计较了。前台小姑娘和其他工作人员的态度倒是非常好。希望不仅态度好，服务也能跟上去。家庭旅游住这个店还是不错的。', 'star': 5}
{'descr': '总体还好，地理位置很好，去哪都方便。离东南大学，南京大学都很近。', 'star': 1}
{'descr': '1.服务态度很好，但感觉服务人员人手不够，每次有事叫人都要等很长时间。\n2.电视有问题，信号不好。', 'star': 1}
{'descr': '比较不错的一个商务快捷酒店，价格合理，也比较干净。', 'star': 5}
{'descr': '刚装修不太久的酒店，干净，房间面积不大，服务可以，清静，窗户避开了马路', 'star': 5}
{'descr': '酒店装修新，环境好，很喜欢，下次还住这。', 'star': 3}
{'descr': '这家酒店的地理位置不错.左边是中山陵,右边是珠江路(市中心).这样的价格,我觉得是已经比较便宜咯.', 'star': 5}
{'descr': '地点不是很好找 离地铁也比较远 房间不能用IPAD上网 别的还不错', 'star': 5}
{'descr': '房间较小、其他都可以，周围交通便利、吃饭也方便。', 'star': 5}
