{'短评内容': '酒店房间很小，很旧，整体一般', '短评打分': 3}
{'短评内容': '很舊式的家庭旅館，裡面就是簡簡單單的一張床和一張小桌，牆上電視機，勝在交通方便，在太子和旺角地鐵站中間', '短评打分': 4}
{'短评内容': '旺角区，购物方便', '短评打分': 4}
{'短评内容': '老板人很好很贴心 虽然房子不大 毕竟香港寸土寸金 但是房子还是很干净整洁！住的地方交通也很方便！', '短评打分': 5}
{'短评内容': '属于大陆家庭旅馆类型，但是很小，无窗，卫生间也很简陋，床铺还算干净整洁，老板娘态度挺好，地理位置很好交通方便购物方便。价格虽高也说的过去，香港寸土寸金 这宾馆地势很好，适合住一两天来购物的旅客。而且宾馆有WiFi！加分！', '短评打分': 3}
{'短评内容': '芙蓉賓館近香港太子地鐵站，出行購物非常方便，賓館的地理位置優越，近太子地鐵站，也不難找。賓館床挺軟熟的，老闆在洗手間放了沐浴露和洗髮水，很細心體貼。賓館熱水器是電熱水器，要電制好熱才有溫度。         芙蓉賓館的優點是:在香港寸金尺土的情況下，賓館房間雖然不大，但是房間非常乾淨，櫃和臺面一塵不染，墻壁裝修過也很新淨。給了旅客一絲應有的尊重的感受和體驗。不像別的賓館墻壁發霉。老闆娘安排很負責任', '短评打分': 5}
{'短评内容': '还不错哦', '短评打分': 5}
{'短评内容': '一般，挺贵的', '短评打分': 4}
{'短评内容': '地理位置极好，出门就是机场大巴，就是地铁入口。酒店的设施也不错，尤其是酒店的工作人员能尽力满足客人的需求，很人性。所住房间的卫生做得很好。    ', '短评打分': 3}
{'短评内容': '一般般…不过老板态度很多…', '短评打分': 4}
{'短评内容': '地点放便 老板态度很好', '短评打分': 3}
{'短评内容': '环境都好干净的，算是比较整洁，如果可以有窗就最好啦。', '短评打分': 5}
{'短评内容': '宾馆整洁,交通方便,住的是四人房,有一张双人床,两装单人床,有窗,向大街,还会再来.', '短评打分': 5}
