{'descr': '旁边施工，晚上没法休息，卫生成问题', 'star': 2}
{'descr': '服务很热情，只是门前在修地铁，经常施工到凌晨，临街一面非常吵', 'star': 4}
{'descr': '  不错', 'star': 5}
{'descr': '酒店的空调制冷不行，整晚出汗；电视除了“雪花”，就是几个卫视而且信号不好；网速也奇差。', 'star': 4}
{'descr': '挺好的', 'star': 5}
{'descr': '很好前台服务很好', 'star': 5}
{'descr': '还可以。隔音效果不太好。', 'star': 4}
{'descr': '隔音效果不太好', 'star': 4}
{'descr': '还可以。就是隔音效果不太好', 'star': 4}
{'descr': '还可以。隔音效果不太好。', 'star': 4}
{'descr': '还可以。就是隔音效果不太好。', 'star': 4}
{'descr': '真的不错每次都住这', 'star': 5}
{'descr': '除了网速都很好', 'star': 5}
{'descr': '早餐是楼下合作的驴肉火烧。周边交通很方便', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '挺好', 'star': 5}
{'descr': '就是隔音效果稍差一点隔壁一对ml的声音都听的清地板的毛毯是相当的脏', 'star': 4}
{'descr': '地里位置好，酒店装修也不错，房间没有吹风机，地毯比较脏，其他都还好', 'star': 5}
{'descr': '房间很不错，就是不太够大，但是很新，挺满意的~还有早餐是自助的，南方人表示吃得惯', 'star': 5}
{'descr': '房间很不错，就是不太够大，但是很新，挺满意的', 'star': 5}
{'descr': '环境、设施、服务都不错。周边吃饭地方较多，楼下还有一个24小时的超市，很方便。值得推荐', 'star': 5}
{'descr': '总体不错', 'star': 3}
{'descr': '酒店不错，床很大很软，浅灰色色调，女朋友不喜欢，但我觉得还行。楼下直接坐机场大巴，相当方便。送的早餐一般般，也就算是能吃吧。', 'star': 5}
{'descr': '和网上评价相符 不错', 'star': 3}
{'descr': '第一次住石家庄的富驿时尚，虽然不如北京的富驿好，依然非常不错', 'star': 5}
{'descr': '机场大巴20元直接到酒店对面，过个马路就到，很方便。要注意机场大巴晚班是21：00。到石家庄客运北站打的5元就到了。\n酒店对面有很多好吃的饭店，便宜实惠。\n酒店设施不错，有无线网络，还有自动上水泡茶，挺方便。如果价格没有太大变化的话还会入住。', 'star': 5}
{'descr': '什么都好，物超所值。可惜地面铺的地毯，时间长了总有清理不掉的污渍，和木地板相比视觉效果差远了。', 'star': 5}
{'descr': '酒店交通比较方便，离北站很近。服务也不错，物有所值。', 'star': 5}
{'descr': '性价比高，多次入住很满意,早餐很好，会推荐给朋友。', 'star': 5}
{'descr': '整体不错，适度高，用了消费券后性价比很高，早餐不错。就是酒店总找不到客人的信息反馈给ELONG，奇怪。', 'star': 5}
{'descr': '酒店干净卫生，服务不错，位置方便，交通便利。', 'star': 5}
{'descr': '干净整洁，典型的商务酒店还不错。结账效率很高', 'star': 5}
{'descr': '出差来到石家庄~之前一直住的别的酒店~ 这次在网上搜到这个酒店，被他的房间图片吸引，觉得屋子还不错，就来试试~ 结果果然没让我失望~ 房间比较大， 黑色的整体装修~ 屋内整体比较干净，服务态度也很好~  隔音稍差些~对面房的小孩大人在楼道说话听得清楚~ 出门交通还可以，算是比较方便的~ 还送了双早，就是早餐种类很少，就几个菜没得挑~倒是人少吃的舒心，如果单花钱来吃早饭我肯定不会考虑的~~', 'star': 5}
{'descr': '还挺好的，环境还可以，卫生间不错，早餐也不错.', 'star': 5}
{'descr': '第二次入住！一如既往的推荐和喜欢！干净，舒适，交通方便，服务好。', 'star': 5}
{'descr': '酒店位置不错，周围吃东西买东西都方便。\n没有提供瓶装水，桶装水是没见过打得牌子，不敢喝啊，电视天天播杂牌桶装水还不如自来水了。', 'star': 5}
{'descr': '总体还是不错的', 'star': 3}
{'descr': '性价比不错，早餐还行，房间挺整洁，周边吃饭也比较多', 'star': 5}
{'descr': '很好，非常好的，敢删很多，服务都很好，交通业不错，绝对值得入住', 'star': 5}
{'descr': '性价比不错的一家酒店，位置很好，出行方便，服务很周到，还提供纯净水，以后还会选择。', 'star': 5}
{'descr': '酒店装修时尚，服务态度也很好，早餐很棒，以后若有机会还会再去', 'star': 5}
{'descr': '环境好，安静舒适，交通便利，希望越来越好，还会光顾。', 'star': 5}
{'descr': '第二次入住该酒店，环境不错，很时尚，适合年轻人。', 'star': 5}
{'descr': '很好，都很不错，服务态度也好，里面环境也不错哦', 'star': 5}
{'descr': '酒店房间不错，很大，设施齐全。就是早餐一般。', 'star': 5}
{'descr': '时尚 干净 不错', 'star': 3}
{'descr': '配套齐全 交通方便 临近交通主干道稍微有些嘈杂', 'star': 5}
{'descr': '很整洁卫生.性价比高.第二天坐飞机楼下就是机场大巴.方便.但没有一次性拖鞋.鞋臭', 'star': 3}
{'descr': '价格还可以，酒店环境不错的,周围的饭店还可以，但临近不少便利店。', 'star': 5}
{'descr': '性价比较高，服务不错，以后还会去住', 'star': 3}
{'descr': '很好，下次会继续入驻，非常感谢周到的服务！很好，下次会继续入驻，非常感谢周到的服务！', 'star': 5}
{'descr': '没以前的感觉好了！！！不知道自己住了更好的 还是别的什么？\n', 'star': 5}
{'descr': '  房间有点小，床睡着还是蛮舒服，交通用餐都方便。', 'star': 3}
{'descr': '\n富驿时尙酒店客房卫生整洁，前台服务礼貌热情，餐厅服务周到，是出差入住首选酒店。', 'star': 3}
{'descr': '前台服务态度差，入住时速度太慢还可能理解，弄错了房价不说第二天问前台工作人员是怎么回事，直接回答三个字“不知道”，什么态度吗，这够差劲的。第二天出差邯郸，住宿的是汉庭，连锁酒店也有让人不满意的地方，但人家的工作态度比你们强太多了。\n\n', 'star': 1}
{'descr': ',酒店环境简约现代，住着舒适，位置交通便利八达，饮食购物娱乐都有多种选择。赞！', 'star': 3}
{'descr': '干净整洁，装修不错，服务也很好。机场大巴就在楼下，去机场非常方便。附近购物吃饭也很方便', 'star': 5}
{'descr': '位置：很好，出行方便，周边吃饭的地方很多。\n设施：装修不错，设施很新，房间也很大。\n卫生：很好。\n网速：时快时慢，不过还是够用。\n环境：紧邻中华北大街，过往车辆多比较吵。\n', 'star': 5}
{'descr': '住过很多次，位置好环境好，还有免费停车，早餐也不错，还会再住。', 'star': 5}
{'descr': '满不错的,,,床很舒服,,厕所也不错', 'star': 3}
{'descr': '服务不错，浴室水漏水流到外面房间了，设施一般，早餐也一般，', 'star': 3}
{'descr': '价廉物美吧！感觉很好，就是前台办事效率太低！', 'star': 5}
{'descr': '非常不错 交通方面 早饭很好 房间干净 服务也OK', 'star': 5}
{'descr': '干净卫生，服务周到，接待热情，停车位充足并且免费。很不错', 'star': 5}
{'descr': '很方便旁边就有商场及饭店而且房间安静。值得推荐给大家。', 'star': 5}
{'descr': '干净卫生服务周到热情价格合理', 'star': 3}
{'descr': '环境挺舒服，就是附近打车有点小麻烦，离我去的地方挺近～', 'star': 5}
{'descr': '可以，条件匀不错，下次去还在那。呵呵。。。。。。。。。。。。。', 'star': 5}
{'descr': '干净卫生，服务周到。停车方便，车位充足。餐厅的牛肉面是个亮点', 'star': 5}
{'descr': '特别舒服的大床', 'star': 3}
{'descr': '时尚大床房环境很好，很喜欢那种感觉，各方面都不错，下次还会去。', 'star': 5}
{'descr': '很好的酒店 值得推荐 时尚卫生 就是隔音不好了点', 'star': 5}
{'descr': '干净卫生，服务热情，停车方便，周边配套设施多。总的来说很满意', 'star': 5}
{'descr': '设施不错，就是毛巾脏，差。因为是自己带的毛巾，所以也无所谓了。地点很好找，离石家庄北站还近。值得推荐。', 'star': 5}
{'descr': '卫生不错，服务也还可以，硬件条件也不差\n只是一会儿能上网，一会不能上网', 'star': 5}
{'descr': '酒店很好，位置不错，打车难，房间不太大。下次不住这个了。', 'star': 5}
{'descr': '其他都好，就是隔音效果很差劲，晚上能听到隔壁的说话声音，标准间朝着马路很吵\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '其他都好，就是隔音效果很差劲，晚上能听到隔壁的说话声音，标准间朝着马路很吵', 'star': 5}
{'descr': '除了地毯有点脏其它真的不错。朋友来了一直住那里。特别是机场大巴直通，很方便', 'star': 5}
{'descr': '酒店不错，物有所值，服务也很周到，值得去哦~~~', 'star': 5}
{'descr': '位置好，环境好，早餐也不错。只是房间内信号不太好。我会再住。', 'star': 5}
{'descr': '房间干净卫生，服务人员热情周到。停车方便，价格合理', 'star': 3}
{'descr': '酒店位置不错。可以停放车辆。值得推荐给大家', 'star': 5}
{'descr': '很好,房间宽敞,古典装修, 很安静.交通方便,机场大巴有个站,酒店的餐厅也不错.', 'star': 5}
{'descr': '环境很好，房间很干净，就是周围打车比较不方便～ ', 'star': 5}
{'descr': '干净卫生，服务周到，停车方便，价格合理，值得一住', 'star': 3}
{'descr': '酒店的位置不错，离火车北站很近。餐厅的饭菜很便宜，适合我们出差的人用餐。', 'star': 5}
{'descr': '酒店干净卫生停车方便，热情周到，我每次来都住这里。', 'star': 3}
{'descr': '硬件挺好～ 环境很好～ 酒店还行～ 可以预定～', 'star': 5}
{'descr': '环境很时尚 也比较干净 就是希望有食品及烟提供 地位位置很好 吃饭方便', 'star': 5}
{'descr': '房间很好，床很舒服。机场大巴方便', 'star': 3}
{'descr': '酒店很温馨，网速很快，服务态度也很好，位置也不错，周边饭店很多，值得推荐。', 'star': 5}
{'descr': ' 酒店不错，同价位下环境还是最好的，希望隔音效果能好一点。', 'star': 3}
{'descr': '干净卫生，舒适，停车方便交通便利。服务人员热情', 'star': 5}
{'descr': '还不错，就是隔音太差了，晚上旁边的房间说话都听的一清二楚的。。。。', 'star': 5}
{'descr': '环境很好，服务很好。', 'star': 3}
{'descr': '早餐不错，就是地毯太脏了。还有，能不住临街的房间尽量不要住哈，晚上比较吵，还好我睡觉死，哈哈', 'star': 5}
{'descr': '不错的酒店，房间环境都不错。室内设计的色调我也很喜欢，就是因为看了酒店的图片才决定选择这家，早餐也还行，一般每个房间都有2张早餐券，虽然选择种类不是特别多，但也足够吃了。只是隔音效果差了点，希望店家可以改进。以后有机会还会选择。', 'star': 5}
{'descr': '干净，舒适，停车方便，车位数量多。服务周到热情。周边各种配套设施都有。我每次回到石家庄都住这里', 'star': 5}
{'descr': '干净，舒适，安全，服务热情，交通方便，停车方便值得来住', 'star': 5}
{'descr': '酒店环境整洁，服务热情，交通方便，早餐品种不多但还可以。有几个房间在装修白天有点吵。总之不错', 'star': 5}
{'descr': '服务挺好的，房间也干净，早餐还木有吃，还不晓得咋样，反正总体来说还行，推荐入住~~~', 'star': 5}
{'descr': '很干净，服务态度很好，就是隔音效果不太理想', 'star': 5}
{'descr': '酒店整体不错，位置方便，房间宽敞。早餐也比较丰富。会推荐给朋友。', 'star': 5}
{'descr': '隔音效果不太好，其他还可以..........................', 'star': 5}
{'descr': '交通便利，房间设备齐全，干净。只是淋浴的水压不够大，头发长的女士洗头有些困难。', 'star': 5}
{'descr': '我是第二次入住该酒店，我感觉这里的卫生很干净，早餐的品种很多，味道也不错，值得推荐！', 'star': 5}
{'descr': '住宿房间我选的是豪华大房,比较卫生,价格也便宜.酒店交通便利,不错.', 'star': 5}
{'descr': '比北京的富驿从设施上来讲还是差些的，北京的更加精致和时尚些，不过胜在价格便宜，推荐入住。', 'star': 5}
{'descr': '干净就，服务态度特别好。价格合理，停车免费交通方便', 'star': 5}
{'descr': '酒店很不错，早餐号好，离市中心不远，值的推荐。', 'star': 5}
{'descr': '感觉上还不错，值得一住。早餐也还可以。地毯还是比较脏。', 'star': 5}
{'descr': '干净舒适停车方便', 'star': 3}
{'descr': '干净，舒适，热情，停车方便。交通发达。值得推荐亲戚朋友', 'star': 5}
{'descr': '预定的给客户入住的，价位还是比较适中，朋友介绍的这家酒店，还算是比较满意', 'star': 5}
{'descr': '位置很方便，酒店服务不错。房间整洁,早餐比较丰富，性价比高。会推荐给其他朋友', 'star': 5}
{'descr': '酒店位置比较方便，房间很干净，早餐的品种比较多，味道还不错。值得推荐。', 'star': 5}
{'descr': '对于快捷酒店来说，条件已经很不错了，只是临街吵了点儿', 'star': 5}
{'descr': '房间还可以，..........只是不能刷卡。', 'star': 5}
{'descr': '帮朋友预定的，反映很好，交通方便，位置方便，房间整洁', 'star': 5}
{'descr': '不错的酒店，装修很好，很喜欢，下次带朋友一起过来住，价格也中等价格，比其他快捷酒店好', 'star': 5}
