{'短评内容': '服务很好，大堂高端大气上档次，早餐丰富，停车非常的方便，网路预定还有小礼物赠送。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店非常不错，服务态度好，早餐丰富，空调效果太好啦，房间好热，还有不少小礼物赠送，多次入住，去灌南唯一的选择。', '短评打分': 5}
{'短评内容': '酒店非常不错，服务态度好，早餐丰富，空调效果太好啦，房间好热，还有不少小礼物赠送，多次入住，去灌南唯一的选择。', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '早餐不错，住着很安静，整体服务很好。', '短评打分': 5}
{'短评内容': '空调好，环境不错，卫生也尽力。', '短评打分': 5}
{'短评内容': '灌南最好的酒店了。交通方便，环境也好，酒店软件硬件都不错。房间卫生干净，员工服务热情，早餐也可以。下次还入住。满意', '短评打分': 5}
{'短评内容': '灌南最好的酒店了。交通方便，环境也好，酒店软件硬件都不错。房间卫生干净，员工服务热情，早餐也可以。下次还入住。满意', '短评打分': 5}
{'短评内容': '好棒', '短评打分': 3}
{'短评内容': '房间的隔音差得一塌糊涂，隔壁房间打呼噜都听得一清二楚。最要命的是整晚房间里都有水流声，打电话给前台，说是房间正好在水管的位置，没有办法。真不知道当初是怎么设计的。', '短评打分': 3}
{'短评内容': '房间的隔音差得一塌糊涂，隔壁房间打呼噜都听得一清二楚。最要命的是整晚房间里都有水流声，打电话给前台，说是房间正好在水管的位置，没有办法。真不知道当初是怎么设计的。', '短评打分': 3}
{'短评内容': '灌南说实在的，没什么好宾馆，只有灌南宾馆和这家还算可以。硬件条件一般，晚上觉得空调的声音比较大。早饭一般。价格比较适中。', '短评打分': 4}
{'短评内容': '环境很好，交通方便，非常舒适。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '一如既往', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
