{'短评内容': '我已经入住 环境很好', '短评打分': 3}
{'短评内容': '条件还可以，早餐有待丰盛些，总体不错，服务挺好', '短评打分': 5}
{'短评内容': '＋房间宽敞干净，有暖气也有空调设施、用具全。比较满意。', '短评打分': 3}
{'短评内容': '不错 环境很好 离山师东路特别的近 附近吃的玩的也很多  离山师大也很近 \n真没想到竟然还包早餐，服务态度也很好，很感动啊。\n以后去济南还住在这里。', '短评打分': 5}
{'短评内容': '请再预留一个标间', '短评打分': 3}
{'短评内容': '周边环境一般，但服务员的服务态度较好。我们住的是三人间，晚上吃饭时忘记到酒店的餐厅看一看，结果回来时才发现有自助火锅，真是遗憾。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '条件还可以，位置也行，服务态度也挺好，下次还住。', '短评打分': 5}
{'短评内容': '卫生条件还可以，服务质量也行，下次还住。很不错。', '短评打分': 5}
{'短评内容': '不错 设施齐全   离风景区近   价格实惠  下次有机会还去', '短评打分': 5}
{'短评内容': '还不错 硬件设施不错 服务态度不错 我住那个房间空调好像有些问题', '短评打分': 5}
