{'短评内容': '不怎么样呀', '短评打分': 4}
{'短评内容': '酒店老板态度还行，房间一般，毕竟离北站近', '短评打分': 4}
{'短评内容': '此店套路很深，慎订。（望大家一定看完）他家这么多好评我真挺诧异是怎么办到的。预定之前先给他家打的电话，想问问有没有空调，电话里他家吧员说不让在携程订，携程价格是68，吧员说到店付现金可以给60。我要订两间，吧员也表示有房，直接来就可以入住，我就让吧员给留房了。等我到店吧员立马变脸了，说一间房最低98，第二间128。我说你电话里不告诉我60吗？她说我听错了。没有那个价。我草，你那是嘴还是屁眼子？我把', '短评打分': 1}
{'短评内容': '交通便利，离辽宁中医比较近，走路几分钟。附近有很多吃饭的地方，斜对面有超市，还是很方便的。', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务态度好环境干净。。。。。。', '短评打分': 5}
{'短评内容': '卫生条件像50块钱的，最开始说要一个带窗的，结果进去墙皮都掉的一块一块的了，申请换一间，服务员说你们整天对着墙看啊！真是醉了。屋子也很小，没热水，要自己拿壶烧，但一来没有做水的地方，二来壶是塑料的都已经掉渣了！安全起见喝了一天的矿泉水。无语了，不会再去。', '短评打分': 3}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '还行，半折了挺便宜', '短评打分': 5}
{'短评内容': 'OK吧', '短评打分': 4}
{'短评内容': '环境挺好的，服务也挺好的，一切都挺好的', '短评打分': 5}
{'短评内容': '卫生很好，一进房间有香香的洗衣粉味道~~~~价格实惠~~~', '短评打分': 5}
{'短评内容': ' 酒店地点很好找，性价比还好，隔音可能差点', '短评打分': 3}
{'短评内容': '还好就是稍微小点 隔音效果不太好', '短评打分': 3}
{'短评内容': '性价比不错，主要看在它交通算方便，临近火车站，而且最重要是价格便宜啊。', '短评打分': 5}
{'短评内容': '还算可以    相对于档次有点贵  各各方面得功能有待完善   ', '短评打分': 5}
{'短评内容': '房间比较小，卫生间的味道太大，很难闻。其它尚可。', '短评打分': 5}
